player,class,pos,summary,year,school,coach,Player,Class,Pos,Summary,Year,School,Coach
Christopher Buckner,SR,DB,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davon House,JR,DB,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Alphonso Powell,JR,DB,,2009,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Matt Christian,JR,QB,"114 Cmp, 237 Att, 1372 Yds, 8 TD",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andrew Manley,FR,QB,"63 Cmp, 121 Att, 604 Yds, 1 TD",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tanner Rust,FR,QB,"8 Cmp, 18 Att, 33 Yds, 0 TD",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kenny Turner,SO,RB,"115 Att, 461 Yds, 4.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Seth Smith,SR,RB,"101 Att, 385 Yds, 3.8 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Robert Clay,SO,RB,"54 Att, 226 Yds, 4.2 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Brandon Perez,SR,RB,"5 Att, 10 Yds, 2.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donavan Roberts,JR,RB,"3 Att, -7 Yds, -2.3 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Victor Johnson,SO,RB,"3 Att, 9 Yds, 3.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Marcus Allen,SR,WR,"42 Rec, 598 Yds, 14.2 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Todd Lee,JR,WR,"24 Rec, 280 Yds, 11.7 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Taveon Rogers,JR,WR,"18 Rec, 278 Yds, 15.4 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kenonte Howard,JR,WR,"1 Rec, 28 Yds, 28.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Darrius Preston,SO,WR,"8 Rec, 83 Yds, 10.4 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
William Frazier,JR,WR,"7 Rec, 51 Yds, 7.3 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Marcus Williams,FR,WR,"7 Rec, 56 Yds, 8.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Brandon Flanagan,FR,WR,"1 Rec, 6 Yds, 6.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Spencer Diaz,SR,TE,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kyle Nelson,SR,TE,"41 Rec, 371 Yds, 9.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Stephen McIntyre,JR,TE,"1 Rec, 1 Yds, 1.0 Avg",2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kyle Hipp,SR,TE,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davonte Wallace,FR,OL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jordan Davenport,JR,K,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jake Capraro,FR,K,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tyler Stampler,FR,K,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Pierre Fils,JR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
John Finau,SR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Mahoney,JR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Niumatalolo,JR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donte Savage,JR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kawika Shook,SR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tommy Stuart,SO,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Augafa Vaaulu,FR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Branden Warner,SR,DL,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Bryan Bonilla,FR,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Dylan Davis,FR,LB,,2010,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
