Player,Class,Pos,Summary,Year,School,Coach
Scott Harding,JR,WR,"56 Rec, 631 Yds, 11.3 Avg",2013,Hawaii,Norm Chow
Billy Ray Stutzmann,SR,WR,"22 Rec, 358 Yds, 16.3 Avg",2013,Hawaii,Norm Chow
Keith Kirkwood,FR,WR,"12 Rec, 250 Yds, 20.8 Avg",2013,Hawaii,Norm Chow
Marcus Kemp,FR,WR,"11 Rec, 110 Yds, 10.0 Avg",2013,Hawaii,Norm Chow
Donnie King Jr.,JR,WR,"11 Rec, 118 Yds, 10.7 Avg",2013,Hawaii,Norm Chow
Daniel Masifilo,SR,WR,,2013,Hawaii,Norm Chow
Clark Evans,SR,TE,"40 Rec, 373 Yds, 9.3 Avg",2013,Hawaii,Norm Chow
Harold Moleni,SO,TE,"7 Rec, 71 Yds, 10.1 Avg",2013,Hawaii,Norm Chow
Jordan Pu'U-Robinson,,TE,"2 Rec, 19 Yds, 9.5 Avg",2013,Hawaii,Norm Chow
Craig Cofer,SR,TE,,2013,Hawaii,Norm Chow
Calen Friel,SO,OL,,2013,Hawaii,Norm Chow
Marcus Malepeai,JR,DL,,2013,Hawaii,Norm Chow
Siasau Matagiese,SR,DL,,2013,Hawaii,Norm Chow
Moses Samia,JR,DL,,2013,Hawaii,Norm Chow
Haani Tulimaiau,SO,DL,,2013,Hawaii,Norm Chow
Kennedy Tulimasealii,FR,DL,,2013,Hawaii,Norm Chow
Niko Uti,JR,DL,,2013,Hawaii,Norm Chow
Tavita Woodard,SR,DL,,2013,Hawaii,Norm Chow
Beau Yap,JR,DL,,2013,Hawaii,Norm Chow
Kamalani Alo,SR,LB,,2013,Hawaii,Norm Chow
George Daily-Lyles,SR,LB,,2013,Hawaii,Norm Chow
Brenden Daley,SR,LB,,2013,Hawaii,Norm Chow
Benetton Fonua,SO,LB,,2013,Hawaii,Norm Chow
Jerrol Garcia-Williams,SO,LB,,2013,Hawaii,Norm Chow
Julian Gener,JR,LB,,2013,Hawaii,Norm Chow
Tevita Lataimua,JR,LB,,2013,Hawaii,Norm Chow
Art Laurel,SR,LB,,2013,Hawaii,Norm Chow
T.J. Taimatuia,JR,LB,,2013,Hawaii,Norm Chow
Iuta Tepa,JR,LB,,2013,Hawaii,Norm Chow
Lance Williams,SO,LB,,2013,Hawaii,Norm Chow
Kwamane Bowens,FR,DB,,2013,Hawaii,Norm Chow
Kawika Borden,JR,DB,,2013,Hawaii,Norm Chow
Brian Clay,SO,DB,,2013,Hawaii,Norm Chow
Joshua Donovan,SO,DB,,2013,Hawaii,Norm Chow
Tony Grimes,SR,DB,,2013,Hawaii,Norm Chow
John Hardy-Tuliau,SR,DB,,2013,Hawaii,Norm Chow
Trayvon Henderson,FR,DB,,2013,Hawaii,Norm Chow
Marrell Jackson,SO,DB,,2013,Hawaii,Norm Chow
Michael Martin,JR,DB,,2013,Hawaii,Norm Chow
Damien Packer,FR,DB,,2013,Hawaii,Norm Chow
Ne'Quan Phillips,SO,DB,,2013,Hawaii,Norm Chow
Anthony Pierce,FR,DB,,2013,Hawaii,Norm Chow
Ruben Guzman,JR,P,,2013,Hawaii,Norm Chow
Charles Clay,SR,S,,2013,Hawaii,Norm Chow
Dustin Elisara,JR,FB,,2013,Hawaii,Norm Chow
Tyler Hadden,JR,PK,,2013,Hawaii,Norm Chow
Dee Maggitt,JR,CB,,2013,Hawaii,Norm Chow
Ikaika Woolsey,SO,QB,"210 Cmp, 416 Att, 2538 Yds, 13 TD",2014,Hawaii,Norm Chow
Jeremy Higgins,SR,QB,"7 Cmp, 23 Att, 103 Yds, 0 TD",2014,Hawaii,Norm Chow
Taylor Graham,SR,QB,"12 Cmp, 22 Att, 133 Yds, 1 TD",2014,Hawaii,Norm Chow
Joey Iosefa,SR,RB,"151 Att, 617 Yds, 4.1 Avg",2014,Hawaii,Norm Chow
Steven Lakalaka,SO,RB,"159 Att, 646 Yds, 4.1 Avg",2014,Hawaii,Norm Chow
Diocemy Saint Juste,SO,RB,"73 Att, 372 Yds, 5.1 Avg",2014,Hawaii,Norm Chow
Pereese Joas,JR,RB,"7 Att, 67 Yds, 9.6 Avg",2014,Hawaii,Norm Chow
Dominique Small,JR,RB,"3 Att, 7 Yds, 2.3 Avg",2014,Hawaii,Norm Chow
Jason Muraoka,JR,RB,,2014,Hawaii,Norm Chow
Quinton Pedroza,JR,WR,"59 Rec, 674 Yds, 11.4 Avg",2014,Hawaii,Norm Chow
Marcus Kemp,SO,WR,"56 Rec, 797 Yds, 14.2 Avg",2014,Hawaii,Norm Chow
Keelan Ewaliko,FR,WR,"6 Rec, 141 Yds, 23.5 Avg",2014,Hawaii,Norm Chow
Scott Harding,SR,WR,"34 Rec, 457 Yds, 13.4 Avg",2014,Hawaii,Norm Chow
Donnie King Jr.,SR,WR,"14 Rec, 199 Yds, 14.2 Avg",2014,Hawaii,Norm Chow
Ammon Barker,FR,WR,"10 Rec, 162 Yds, 16.2 Avg",2014,Hawaii,Norm Chow
Ryan Pasoquen,JR,WR,,2014,Hawaii,Norm Chow
Harold Moleni,JR,TE,"10 Rec, 74 Yds, 7.4 Avg",2014,Hawaii,Norm Chow
Jordan Pu'U-Robinson,SR,TE,"7 Rec, 50 Yds, 7.1 Avg",2014,Hawaii,Norm Chow
Metuisela 'Unga,FR,TE,"1 Rec, 21 Yds, 21.0 Avg",2014,Hawaii,Norm Chow
Leo Koloamatangi,SO,OL,,2014,Hawaii,Norm Chow
Kody Afusia,SR,OL,,2014,Hawaii,Norm Chow
Calen Friel,JR,DL,,2014,Hawaii,Norm Chow
Marcus Malepeai,SR,DL,,2014,Hawaii,Norm Chow
Moses Samia,SR,DL,,2014,Hawaii,Norm Chow
Luke Shawley,JR,DL,,2014,Hawaii,Norm Chow
Haani Tulimaiau,JR,DL,,2014,Hawaii,Norm Chow
Kennedy Tulimasealii,SO,DL,,2014,Hawaii,Norm Chow
Niko Uti,SR,DL,,2014,Hawaii,Norm Chow
Beau Yap,SR,DL,,2014,Hawaii,Norm Chow
T.J. Taimatuia,SR,LB,,2014,Hawaii,Norm Chow
Jeremy Castro,SO,LB,,2014,Hawaii,Norm Chow
Benetton Fonua,JR,LB,,2014,Hawaii,Norm Chow
Jerrol Garcia-Williams,JR,LB,,2014,Hawaii,Norm Chow
Julian Gener,SR,LB,,2014,Hawaii,Norm Chow
Tevita Lataimua,SR,LB,,2014,Hawaii,Norm Chow
Simon Poti,JR,LB,,2014,Hawaii,Norm Chow
Austin Slade-Matautia,SO,LB,,2014,Hawaii,Norm Chow
Jamie Tago,FR,LB,,2014,Hawaii,Norm Chow
Lance Williams,JR,LB,,2014,Hawaii,Norm Chow
Daniel Lewis Jr.,FR,DB,,2014,Hawaii,Norm Chow
Gaetano Demattei,JR,DB,,2014,Hawaii,Norm Chow
Trayvon Henderson,SO,DB,,2014,Hawaii,Norm Chow
Jerrell Jackson,FR,DB,,2014,Hawaii,Norm Chow
Marrell Jackson,JR,DB,,2014,Hawaii,Norm Chow
Dee Maggitt,SR,DB,,2014,Hawaii,Norm Chow
Michael Martin,SR,DB,,2014,Hawaii,Norm Chow
Nick Nelson,FR,DB,,2014,Hawaii,Norm Chow
Damien Packer,SO,DB,,2014,Hawaii,Norm Chow
Ne'Quan Phillips,JR,DB,,2014,Hawaii,Norm Chow
Jalen Rogers,SO,DB,,2014,Hawaii,Norm Chow
Taz Stevenson,JR,DB,,2014,Hawaii,Norm Chow
Justin Vele,JR,FB,,2014,Hawaii,Norm Chow
Tyler Hadden,SR,PK,,2014,Hawaii,Norm Chow
Brian Hittner,JR,LS,,2014,Hawaii,Norm Chow
Ikaika Woolsey,JR,QB,"73 Cmp, 149 Att, 908 Yds, 5 TD",2015,Hawaii,Norm Chow
Eric Prater,SO,QB,,2015,Hawaii,Norm Chow
Beau Reilly,FR,QB,,2015,Hawaii,Norm Chow
Aaron Zwahlen,FR,QB,,2015,Hawaii,Norm Chow
Max Wittek,SR,QB,"128 Cmp, 271 Att, 1542 Yds, 7 TD",2015,Hawaii,Norm Chow
Paul Harris,JR,RB,"198 Att, 1143 Yds, 5.8 Avg",2015,Hawaii,Norm Chow
Melvin Davis,JR,RB,"58 Att, 218 Yds, 3.8 Avg",2015,Hawaii,Norm Chow
Steven Lakalaka,JR,RB,"47 Att, 176 Yds, 3.7 Avg",2015,Hawaii,Norm Chow
Ryan Tuiasoa,SO,RB,"18 Att, 79 Yds, 4.4 Avg",2015,Hawaii,Norm Chow
Pereese Joas,SR,RB,"2 Att, 2 Yds, 1.0 Avg",2015,Hawaii,Norm Chow
Jason Muraoka,SR,RB,,2015,Hawaii,Norm Chow
Casey Lambert,JR,RB,,2015,Hawaii,Norm Chow
Diocemy Saint Juste,JR,RB,,2015,Hawaii,Norm Chow
Dominique Small,SR,RB,,2015,Hawaii,Norm Chow
Makoa Camanse-Stevens,JR,WR,"13 Rec, 191 Yds, 14.7 Avg",2015,Hawaii,Norm Chow
Quinton Pedroza,SR,WR,"23 Rec, 294 Yds, 12.8 Avg",2015,Hawaii,Norm Chow
Dylan Collie,FR,WR,"29 Rec, 342 Yds, 11.8 Avg",2015,Hawaii,Norm Chow
Marcus Kemp,JR,WR,"36 Rec, 563 Yds, 15.6 Avg",2015,Hawaii,Norm Chow
Devan Stubblefield,FR,WR,"30 Rec, 351 Yds, 11.7 Avg",2015,Hawaii,Norm Chow
Isaiah Bernard,,WR,"21 Rec, 219 Yds, 10.4 Avg",2015,Hawaii,Norm Chow
Vasquez Haynes,JR,WR,"1 Rec, 2 Yds, 2.0 Avg",2015,Hawaii,Norm Chow
Ammon Barker,SO,WR,,2015,Hawaii,Norm Chow
Keelan Ewaliko,SO,WR,,2015,Hawaii,Norm Chow
Ryan Pasoquen,SR,WR,,2015,Hawaii,Norm Chow
Duke Bukoski,SR,WR,,2015,Hawaii,Norm Chow
Andrew Ho,SO,WR,,2015,Hawaii,Norm Chow
Kalei Letoto,JR,WR,,2015,Hawaii,Norm Chow
Dakota Torres,FR,TE,"11 Rec, 98 Yds, 8.9 Avg",2015,Hawaii,Norm Chow
Harold Moleni,SR,TE,"3 Rec, 31 Yds, 10.3 Avg",2015,Hawaii,Norm Chow
Davasyia Hagger,SO,TE,"1 Rec, 13 Yds, 13.0 Avg",2015,Hawaii,Norm Chow
Brennen Brooks,FR,TE,,2015,Hawaii,Norm Chow
Sione Kauhi,FR,TE,,2015,Hawaii,Norm Chow
Metuisela 'Unga,SO,TE,"11 Rec, 170 Yds, 15.5 Avg",2015,Hawaii,Norm Chow
Dejon Allen,SO,OL,,2015,Hawaii,Norm Chow
Arona Amosa,FR,OL,,2015,Hawaii,Norm Chow
Ben Clarke,SR,OL,,2015,Hawaii,Norm Chow
Asotui Eli,FR,OL,,2015,Hawaii,Norm Chow
RJ Hollis,JR,OL,,2015,Hawaii,Norm Chow
Leo Koloamatangi,JR,OL,,2015,Hawaii,Norm Chow
