Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
105,1956,NFL,27,314,DET,Bryan Burnthorne,G,Tulane,Wally English
106,1955,NFL,16,187,RAM,Charley Coates,T,Tulane,Wally English
107,1955,NFL,30,352,GNB,Bob Saia,B,Tulane,Wally English
108,1954,NFL,5,51,GNB,Max McGee,E,Tulane,Wally English
109,1954,NFL,13,156,CLE,George Cummins,T,Tulane,Wally English
110,1954,NFL,28,329,NYG,Jim Partridge,B,Tulane,Wally English
111,1953,NFL,14,165,PHI,Roy Bailey,B,Tulane,Wally English
112,1953,NFL,23,267,BAL,Mike Housepian,G,Tulane,Wally English
113,1953,NFL,23,276,CLE,Ronnie Kent,B,Tulane,Wally English
114,1952,NFL,5,51,CRD,Dick Fugler,T,Tulane,Wally English
115,1952,NFL,10,111,GNB,Art Kleinschmidt,G,Tulane,Wally English
116,1952,NFL,25,301,RAM,Len Teeuws,DT,Tulane,Wally English
117,1951,NFL,2,18,CRD,Don Joyce,DE,Tulane,Wally English
118,1951,NFL,3,38,CLE,Jerry Helluin,DT,Tulane,Wally English
119,1951,NFL,4,48,RAM,George Kinek,E,Tulane,Wally English
120,1951,NFL,6,74,CLE,Dan Rogas,G,Tulane,Wally English
121,1951,NFL,7,84,CHI,Paul Lea,DT,Tulane,Wally English
122,1951,NFL,9,104,PHI,Denny Doyle,G,Tulane,Wally English
123,1951,NFL,15,172,GNB,Joe Ernst,B,Tulane,Wally English
124,1951,NFL,17,202,PHI,Hal Waggoner,B,Tulane,Wally English
125,1951,NFL,30,359,NYY,Joe Shinn,E,Tulane,Wally English
126,1950,NFL,2,20,NYG,Eddie Price,FB,Tulane,Wally English
127,1950,NFL,3,29,CRD,Bill Svoboda,LB,Tulane,Wally English
128,1950,NFL,9,112,PIT,Max Druen,T,Tulane,Wally English
129,1950,NFL,15,192,CHI,Jimmy Glisson,B,Tulane,Wally English
130,1950,NFL,17,219,SFO,Cliff Van Meter,B,Tulane,Wally English
131,1950,NFL,23,289,NYY,Dick Sheffield,E,Tulane,Wally English
132,1949,NFL,17,167,RAM,Dick Sheffield,E,Tulane,Wally English
133,1948,NFL,28,264,PHI,Benny Ellender,B,Tulane,Wally English
134,1947,NFL,30,276,DET,Howard McAfee,T,Tulane,Wally English
135,1946,NFL,5,32,BOS,Gaston Bourgeois,B,Tulane,Wally English
136,1946,NFL,22,202,BOS,Elliot (Ike) Igleheart,G,Tulane,Wally English
137,1945,NFL,1,3,BOS,Joe Renfroe,B,Tulane,Wally English
138,1945,NFL,8,71,WAS,Art Porter,E,Tulane,Wally English
139,1945,NFL,17,171,DET,O.J. Key,B,Tulane,Wally English
140,1945,NFL,23,237,DET,Ray Olsen,B,Tulane,Wally English
141,1944,NFL,5,43,BOS,Larry Rice,C,Tulane,Wally English
142,1943,NFL,5,34,BKN,Marty Comer,DE,Tulane,Wally English
143,1943,NFL,8,68,GNB,Les Gatewood,C,Tulane,Wally English
144,1943,NFL,10,90,WAS,Walt McDonald,B,Tulane,Wally English
145,1943,NFL,12,103,BKN,Lou Thomas,B,Tulane,Wally English
146,1943,NFL,25,240,WAS,Roman Bentz,G,Tulane,Wally English
147,1942,NFL,5,33,PHI,Ernie Blandin,T,Tulane,Wally English
