Player,Class,Pos,Summary,Year,School,Coach
Phil Jensen*,,LB,,1973,Brigham Young,LaVell Edwards
Mike Preston*,,LB,,1973,Brigham Young,LaVell Edwards
Doug Adams,,LB,,1973,Brigham Young,LaVell Edwards
Dave Atkinson*,,DB,,1973,Brigham Young,LaVell Edwards
Mike Russell*,,DB,,1973,Brigham Young,LaVell Edwards
Gary Shaw*,,DB,,1973,Brigham Young,LaVell Edwards
Dana Wilgar*,,DB,,1973,Brigham Young,LaVell Edwards
Tom Echohawk,,DB,,1973,Brigham Young,LaVell Edwards
Gary Shiede*,,QB,,1974,Brigham Young,LaVell Edwards
Mark Giles,,QB,"10 Cmp, 18 Att, 129 Yds, 2 TD",1974,Brigham Young,LaVell Edwards
Jeff Blanc*,,RB,"199 Att, 784 Yds, 3.9 Avg",1974,Brigham Young,LaVell Edwards
Tim Mahoney*,,RB,"46 Att, 169 Yds, 3.7 Avg",1974,Brigham Young,LaVell Edwards
Charlie Ah You,,RB,"91 Att, 271 Yds, 3.0 Avg",1974,Brigham Young,LaVell Edwards
Todd Christensen,,RB,"41 Att, 150 Yds, 3.7 Avg",1974,Brigham Young,LaVell Edwards
Dave Lowry,,RB,"21 Att, 45 Yds, 2.1 Avg",1974,Brigham Young,LaVell Edwards
Larry Kemp,,RB,"2 Att, 11 Yds, 5.5 Avg",1974,Brigham Young,LaVell Edwards
Jim Goodenberger,,RB,,1974,Brigham Young,LaVell Edwards
John Betham*,,WR,"38 Rec, 569 Yds, 15.0 Avg",1974,Brigham Young,LaVell Edwards
Jeff Nilsson*,,WR,"14 Rec, 243 Yds, 17.4 Avg",1974,Brigham Young,LaVell Edwards
Sam Lobue,,WR,"14 Rec, 220 Yds, 15.7 Avg",1974,Brigham Young,LaVell Edwards
Tom Digman,,WR,,1974,Brigham Young,LaVell Edwards
Tom Dignan,,WR,"2 Rec, 18 Yds, 9.0 Avg",1974,Brigham Young,LaVell Edwards
Craig VanLeeuwen,,WR,"6 Rec, 120 Yds, 20.0 Avg",1974,Brigham Young,LaVell Edwards
Jay Miller,,WR,"2 Rec, 33 Yds, 16.5 Avg",1974,Brigham Young,LaVell Edwards
Tom Toolson*,,TE,"11 Rec, 140 Yds, 12.7 Avg",1974,Brigham Young,LaVell Edwards
Kirk Tanner,,TE,"16 Rec, 103 Yds, 6.4 Avg",1974,Brigham Young,LaVell Edwards
Brian Billick,,TE,"7 Rec, 82 Yds, 11.7 Avg",1974,Brigham Young,LaVell Edwards
Lloyd Fairbanks*,,OL,,1974,Brigham Young,LaVell Edwards
Dave Meteer*,,OL,,1974,Brigham Young,LaVell Edwards
Brad Oates*,,OL,,1974,Brigham Young,LaVell Edwards
Orrin Olsen*,,OL,,1974,Brigham Young,LaVell Edwards
Dean Paynter*,,OL,,1974,Brigham Young,LaVell Edwards
Dave Hubbard,,OL,,1974,Brigham Young,LaVell Edwards
Wayne Baker*,,DL,,1974,Brigham Young,LaVell Edwards
Paul Linford*,,DL,,1974,Brigham Young,LaVell Edwards
Keith Rivera*,,DL,,1974,Brigham Young,LaVell Edwards
Stan Varner*,,DL,,1974,Brigham Young,LaVell Edwards
Doug Adams*,,LB,,1974,Brigham Young,LaVell Edwards
Larry Carr*,,LB,,1974,Brigham Young,LaVell Edwards
Phil Jensen*,,LB,,1974,Brigham Young,LaVell Edwards
Clark Carlson,,LB,,1974,Brigham Young,LaVell Edwards
Mark McCluskey*,,DB,,1974,Brigham Young,LaVell Edwards
Mike Russell*,,DB,,1974,Brigham Young,LaVell Edwards
Gary Shaw*,,DB,,1974,Brigham Young,LaVell Edwards
Dana Wilgar*,,DB,,1974,Brigham Young,LaVell Edwards
Gary Sheide,,,,1974,Brigham Young,LaVell Edwards
Gary Scheide,,,,1974,Brigham Young,LaVell Edwards
Gifford Nielson*,,QB,,1975,Brigham Young,LaVell Edwards
Mark Giles,,QB,"39 Cmp, 75 Att, 396 Yds, 3 TD",1975,Brigham Young,LaVell Edwards
Gifford Nielsen,,QB,"110 Cmp, 180 Att, 1471 Yds, 10 TD",1975,Brigham Young,LaVell Edwards
Jeff Duva,,QB,"6 Cmp, 25 Att, 84 Yds, 0 TD",1975,Brigham Young,LaVell Edwards
Danny Hartwig,,QB,"1 Cmp, 1 Att, 3 Yds, 0 TD",1975,Brigham Young,LaVell Edwards
Jeff Blanc*,,RB,"216 Att, 984 Yds, 4.6 Avg",1975,Brigham Young,LaVell Edwards
Todd Christensen*,,RB,"59 Att, 273 Yds, 4.6 Avg",1975,Brigham Young,LaVell Edwards
Charlie Ah You,,RB,"79 Att, 309 Yds, 3.9 Avg",1975,Brigham Young,LaVell Edwards
Roger Gourley,,RB,"34 Att, 115 Yds, 3.4 Avg",1975,Brigham Young,LaVell Edwards
Dave Lowry,,RB,"41 Att, 199 Yds, 4.9 Avg",1975,Brigham Young,LaVell Edwards
Pisa Finai,,RB,"8 Att, 32 Yds, 4.0 Avg",1975,Brigham Young,LaVell Edwards
Clay Blackwell,,RB,"5 Att, 13 Yds, 2.6 Avg",1975,Brigham Young,LaVell Edwards
John Van Der Wouden*,,WR,"29 Rec, 621 Yds, 21.4 Avg",1975,Brigham Young,LaVell Edwards
Jeff Nilsson*,,WR,"18 Rec, 236 Yds, 13.1 Avg",1975,Brigham Young,LaVell Edwards
Tom Dignan,,WR,"13 Rec, 135 Yds, 10.4 Avg",1975,Brigham Young,LaVell Edwards
George Harris,,WR,"1 Rec, 11 Yds, 11.0 Avg",1975,Brigham Young,LaVell Edwards
Bob Biddy,,WR,"2 Rec, 20 Yds, 10.0 Avg",1975,Brigham Young,LaVell Edwards
Brian Billick*,,TE,"19 Rec, 207 Yds, 10.9 Avg",1975,Brigham Young,LaVell Edwards
Bill Allen,,TE,"3 Rec, 30 Yds, 10.0 Avg",1975,Brigham Young,LaVell Edwards
Mike House,,TE,"3 Rec, 38 Yds, 12.7 Avg",1975,Brigham Young,LaVell Edwards
Kirk Tanner,,TE,"3 Rec, 36 Yds, 12.0 Avg",1975,Brigham Young,LaVell Edwards
Brad Oates*,,OL,,1975,Brigham Young,LaVell Edwards
Tom Bell*,,OL,,1975,Brigham Young,LaVell Edwards
Dave Hubbard*,,OL,,1975,Brigham Young,LaVell Edwards
Steve Miller*,,OL,,1975,Brigham Young,LaVell Edwards
Orrin Olsen*,,OL,,1975,Brigham Young,LaVell Edwards
Dave Meteer,,OL,,1975,Brigham Young,LaVell Edwards
Keith Uperesa,,OL,,1975,Brigham Young,LaVell Edwards
Mekeli Ieremia*,,DL,,1975,Brigham Young,LaVell Edwards
Marcus Kanahele*,,DL,,1975,Brigham Young,LaVell Edwards
Bill Rice*,,DL,,1975,Brigham Young,LaVell Edwards
Stan Varner*,,DL,,1975,Brigham Young,LaVell Edwards
Phil Jensen*,,LB,,1975,Brigham Young,LaVell Edwards
Blake Murdock*,,LB,,1975,Brigham Young,LaVell Edwards
Sid Smith*,,LB,,1975,Brigham Young,LaVell Edwards
Tim Halvorson*,,DB,,1975,Brigham Young,LaVell Edwards
Craig Jensen*,,DB,,1975,Brigham Young,LaVell Edwards
Gary Shaw*,,DB,,1975,Brigham Young,LaVell Edwards
Dana Wilgar*,,DB,,1975,Brigham Young,LaVell Edwards
Mark McCluskey,,DB,,1975,Brigham Young,LaVell Edwards
Gifford Nielsen*,,QB,"230 Cmp, 406 Att, 3401 Yds, 30 TD",1976,Brigham Young,LaVell Edwards
Terry McEwen,,QB,"16 Cmp, 31 Att, 194 Yds, 2 TD",1976,Brigham Young,LaVell Edwards
Jeff Blanc*,,RB,"149 Att, 594 Yds, 4.0 Avg",1976,Brigham Young,LaVell Edwards
Todd Christensen*,,RB,"91 Att, 353 Yds, 3.9 Avg",1976,Brigham Young,LaVell Edwards
Dave Lowry,,RB,"75 Att, 308 Yds, 4.1 Avg",1976,Brigham Young,LaVell Edwards
Roger Gourley,,RB,"36 Att, 172 Yds, 4.8 Avg",1976,Brigham Young,LaVell Edwards
Roy Ward,,RB,"17 Att, 69 Yds, 4.1 Avg",1976,Brigham Young,LaVell Edwards
John Van Der Wouden*,,WR,"42 Rec, 669 Yds, 15.9 Avg",1976,Brigham Young,LaVell Edwards
Mike Chronister*,,WR,"31 Rec, 706 Yds, 22.8 Avg",1976,Brigham Young,LaVell Edwards
Jeff Nilsson,,WR,"7 Rec, 94 Yds, 13.4 Avg",1976,Brigham Young,LaVell Edwards
George Harris,,WR,"12 Rec, 327 Yds, 27.3 Avg",1976,Brigham Young,LaVell Edwards
Brian Billick*,,TE,"6 Rec, 70 Yds, 11.7 Avg",1976,Brigham Young,LaVell Edwards
Tod Thompson,,TE,"16 Rec, 290 Yds, 18.1 Avg",1976,Brigham Young,LaVell Edwards
Chuck Carlson*,,OL,,1976,Brigham Young,LaVell Edwards
Dave Hubbard*,,OL,,1976,Brigham Young,LaVell Edwards
Steve Miller*,,OL,,1976,Brigham Young,LaVell Edwards
Lance Reynolds*,,OL,,1976,Brigham Young,LaVell Edwards
Keith Uperesa*,,OL,,1976,Brigham Young,LaVell Edwards
John Dowell,,OL,,1976,Brigham Young,LaVell Edwards
Dave Meteer,,OL,,1976,Brigham Young,LaVell Edwards
Dave Taylor,,K,,1976,Brigham Young,LaVell Edwards
Steve Dewey*,,DL,,1976,Brigham Young,LaVell Edwards
Mekeli Ieremia*,,DL,,1976,Brigham Young,LaVell Edwards
Marcus Kanahele*,,DL,,1976,Brigham Young,LaVell Edwards
Bill Rice*,,DL,,1976,Brigham Young,LaVell Edwards
Ross Varner,,DL,,1976,Brigham Young,LaVell Edwards
Larry Miller*,,LB,,1976,Brigham Young,LaVell Edwards
