Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
105,1977,NFL,8,199,NYG,Bill Rice,DT,Brigham Young,LaVell Edwards
106,1977,NFL,11,295,SFO,Brian Billick,TE,Brigham Young,LaVell Edwards
107,1976,NFL,3,83,STL,Brad Oates,T,Brigham Young,LaVell Edwards
108,1976,NFL,6,169,ATL,Stan Varner,DT,Brigham Young,LaVell Edwards
109,1976,NFL,8,222,KAN,Orrin Olsen,C,Brigham Young,LaVell Edwards
110,1976,NFL,10,267,TAM,Sid Smith,LB,Brigham Young,LaVell Edwards
111,1976,NFL,17,485,RAM,Gary Shaw,DB,Brigham Young,LaVell Edwards
112,1975,NFL,3,64,CIN,Gary Sheide,QB,Brigham Young,LaVell Edwards
113,1975,NFL,3,74,SFO,Wayne Baker,DT,Brigham Young,LaVell Edwards
114,1975,NFL,4,93,BAL,Paul Linford,DT,Brigham Young,LaVell Edwards
115,1974,NFL,10,254,PIT,Dave Atkinson,DB,Brigham Young,LaVell Edwards
118,1973,NFL,3,54,DEN,Paul Howard,G,Brigham Young,LaVell Edwards
119,1973,NFL,3,66,NOR,Pete Van Valkenberg,RB,Brigham Young,LaVell Edwards
120,1973,NFL,15,383,DET,Dan Hansen,DB,Brigham Young,LaVell Edwards
