,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Tackles,Tackles,,Def Interceptions,Def Interceptions,Def Interceptions,Scoring,Scoring,Scoring,Scoring,-additional
Rk,Player,Pos,From,To,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Ast,Sk,Int,Yds,TD,FGA,FGM,XPA,XPM,-9999
49,Aaron Elling,K,2005,2005,9,,,,0,,,,0,,,0,,,0.0,0,0,0,1,,,,ellinaar01
50,Charles Evans,RB,1999,2000,17,,,,0,,38,134,0,32,235,1,0,0,0.0,0,0,0,,,,,EvanCh00
51,Yamon Figurs,WR,2007,2007,14,,,,0,,1,-1,0,1,36,0,0,0,0.0,0,0,0,,,,,FiguYa00
52,Mike Flynn,C-G,1999,2007,131,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,FlynMi20
53,Spencer Folau,T,1999,2000,16,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,FolaSp20
54,Aubrayo Franklin,DT,2003,2006,36,,,,0,,,,0,,,0,35,5,1.0,0,0,0,,,,,FranAu20
55,Corey Fuller,DB,2003,2004,28,,,,0,,,,0,,,0,48,11,0.0,0,0,0,,,,,FullCo20
56,Jared Gaither,T,2007,2007,6,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,GaitJa20
57,Sam Gash,FB,2000,2002,42,,,,0,,4,1,0,15,110,2,0,0,0.0,0,0,0,,,,,GashSa00
58,Willie Gaston,DB,2007,2007,4,,,,0,,,,0,,,0,8,0,0.0,0,0,0,,,,,GastWi99
59,Amon Gordon,DT,2007,2007,1,,,,0,,,,0,,,0,2,1,0.0,0,0,0,,,,,GordAm20
60,Jay Graham,RB,1999,1999,4,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,GrahJa00
61,Elvis Grbac,QB,2001,2001,14,265,467,3033,15,18,21,18,1,,,0,0,0,0.0,0,0,0,,,,,GrbaEl00
62,Howard Green,DT,2002,2002,1,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,GreeHo20
63,Justin Green,FB,2005,2007,39,,,,0,,5,4,0,13,65,0,21,1,0.0,0,0,0,,,,,GreeJu00
64,Roderick Green,LB,2004,2005,25,,,,0,,,,0,,,0,12,5,2.0,0,0,0,,,,,GreeRo20
65,Kelly Gregg,NT-DT,2001,2007,102,,,,0,,,,0,,,0,303,129,16.5,0,0,0,,,,,GregKe20
66,Nick Greisen,LB,2007,2007,14,,,,0,,,,0,,,0,24,6,0.0,0,0,0,,,,,GreiNi20
67,Ben Grubbs,G,2007,2007,16,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,GrubBe20
68,Dennis Haley,LB,2005,2007,15,,,,0,,,,0,,,0,11,7,0.0,0,0,0,,,,,HaleDe20
69,Bernardo Harris,LB,2002,2002,13,,,,0,,,,0,,,0,62,15,2.0,2,11,0,,,,,HarrBe20
70,Corey Harris,DB,1999,2001,48,,,,0,,,,0,,,0,163,20,1.0,5,69,1,,,,,HarrCo20
71,Ed Hartwell,LB,2001,2004,64,,,,0,,,,0,,,0,234,107,6.0,1,26,0,,,,,HartEd20
72,Todd Heap,TE,2001,2007,88,0,1,0,0,0,7,59,0,339,3897,27,1,0,0.0,0,0,0,,,,,HeapTo00
73,Dale Hellestrae,T-G-C,2001,2001,1,,,,0,,,,0,,,0,1,0,0.0,0,0,0,,,,,HellDa20
74,Kim Herring,DB,1999,2000,32,,,,0,,,,0,,,0,107,21,1.0,3,74,0,,,,,HerrKi20
75,Priest Holmes,RB,1999,2000,25,,,,0,,226,1094,3,45,325,1,0,0,0.0,0,0,0,,,,,HolmPr00
76,John Hudson,G-C,2000,2000,8,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,HudsJo20
77,Dameon Hunter,RB,2002,2002,1,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,HuntDa21
78,Javin Hunter,WR,2002,2002,12,,,,0,,1,9,0,5,35,0,,,0.0,0,0,0,,,,,HuntJa00
79,Randy Hymes,WR,2002,2005,37,0,3,0,0,0,,,0,43,578,4,0,0,0.0,0,0,0,,,,,HymeRa00
80,Qadry Ismail,WR,1999,2001,47,,,,0,,1,4,0,191,2819,18,0,0,0.0,0,0,0,,,,,IsmaQa00
81,Corey Ivy,DB,2006,2007,29,,,,0,,,,0,,,0,77,8,5.0,2,22,0,,,,,IvyxCo20
82,Brad Jackson,OLB,1999,2001,39,,,,0,,,,0,,,0,34,11,0.0,0,0,0,,,,,JackBr20
83,DeRon Jenkins,DB,1999,1999,16,,,,0,,,,0,,,0,60,3,1.0,0,0,0,,,,,JenkDe20
84,J.R. Jenkins,K,2002,2002,7,,,,0,,,,0,,,0,1,0,0.0,0,0,0,1,,,,JenkJ.20
85,J.R. Johnson,LB,2002,2002,4,,,,0,,,,0,,,0,3,1,0.0,0,0,0,,,,,JohnJ.20
86,Jarret Johnson,DE,2003,2007,79,,,,0,,,,0,,,0,119,47,5.0,1,6,1,,,,,JohnJa23
87,Kevin Johnson,WR,2004,2004,16,,,,0,,1,0,0,35,373,1,0,0,0.0,0,0,0,,,,,JohnKe01
88,Patrick Johnson,WR,1999,2005,32,,,,0,,3,33,0,48,770,6,1,0,0.0,0,0,0,,,,,JohnPa00
89,Ron Johnson,WR,2002,2003,22,,,,0,,,,0,11,126,1,4,0,0.0,0,0,0,,,,,JohnRo03
90,Tim Johnson,OLB,2006,2006,4,,,,0,,,,0,,,0,4,0,0.0,0,0,0,,,,,JohnTi21
91,Edgar Jones,DE,2007,2007,4,,,,0,,,,0,,,0,2,1,1.0,0,0,0,,,,,JoneEd22
92,John Jones,TE,2000,2003,49,,,,0,,,,0,8,60,1,20,5,0.0,0,0,0,,,,,JoneJo00
93,Terry Jones,TE,2002,2005,46,,,,0,,,,0,50,417,5,2,0,0.0,0,0,0,,,,,JoneTe00
94,Matt Katula,C,2005,2007,48,,,,0,,,,0,,,0,11,3,0.0,0,0,0,,,,,KatuMa20
95,Ma'ake Kemoeatu,DT,2002,2005,61,,,,0,,,,0,,,0,87,25,4.0,0,0,0,,,,,KemoMa20
96,Danny Kight,K,2001,2001,10,,,,0,,,,0,,,0,2,0,0.0,0,0,0,,,,,KighDa20
97,Tom Knight,DB,2003,2003,10,,,,0,,,,0,,,0,16,0,0.5,0,0,0,,,,,KnigTo20
98,Sam Koch,P,2006,2007,32,,,,0,,,,0,,,0,4,0,0.0,0,0,0,,,,,KochSa20
99,Michael Kracalik,T,2006,2007,3,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,KracMi20
100,Carnell Lake,DB,2001,2001,15,,,,0,,,,0,,,0,29,2,0.0,0,0,0,,,,,LakeCa00
101,Dawan Landry,DB,2006,2007,32,,,,0,,,,0,,,0,116,36,4.0,5,101,1,,,,,LandDa21
102,Jamal Lewis,RB,2000,2006,91,,,,0,,1822,7801,45,160,1365,2,0,0,0.0,0,0,0,,,,,LewiJa00
103,Jermaine Lewis,WR,1999,2001,45,1,1,3,0,0,17,82,0,48,474,3,0,0,0.0,0,0,0,,,,,LewiJe00
104,Ray Lewis,LB,1999,2007,118,,,,0,,,,0,,,0,818,284,20.5,21,378,2,,,,,LewiRa00
105,Everett Lindsay,T-G,1999,1999,16,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,LindEv20
106,Rhys Lloyd,K,2007,2007,2,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,LloyRh44
107,Clarence Love,DB,2000,2000,1,,,,0,,,,0,,,0,2,0,0.0,0,0,0,,,,,LoveCl20
108,Joe Maese,C,2001,2004,62,,,,0,,,,0,,,0,5,2,0.0,0,0,0,,,,,MaesJo20
109,Derrick Martin,DB,2006,2007,24,,,,0,,,,0,,,0,36,9,0.0,2,3,0,,,,,MartDe22
110,Derrick Mason,WR,2005,2007,48,,,,0,,1,-4,0,257,2910,10,0,0,0.0,0,0,0,,,,,MasoDe00
111,Chris McAlister,DB,1999,2007,129,,,,0,,,,0,,,0,375,43,0.0,23,458,5,,,,,McAlCh00
112,Le'Ron McClain,RB,2007,2007,16,,,,0,,8,18,0,9,55,1,2,0,0.0,0,0,0,,,,,McClLe00
113,Michael McCrary,DE,1999,2002,47,,,,0,,,,0,,,0,115,43,27.5,1,1,0,,,,,McCrMi00
114,Robert McCune,LB,2007,2007,2,,,,0,,,,0,,,0,4,0,0.0,0,0,0,,,,,McCuRo20
115,Willis McGahee,RB,2007,2007,15,,,,0,,294,1207,7,43,231,1,0,0,0.0,0,0,0,,,,,McGaWi00
116,Steve McNair,QB,2006,2007,22,428,673,4163,18,16,55,151,1,,,0,0,0,0.0,0,0,0,,,,,McNaSt00
117,Anthony Mitchell,DB,2000,2002,48,,,,0,,,,0,1,-11,0,65,26,0.0,3,62,0,,,,,MitcAn20
118,Jeff Mitchell,C,1999,2000,30,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,MitcJe20
119,Scott Mitchell,QB,1999,1999,2,24,56,236,1,4,1,1,0,,,0,,,0.0,0,0,0,,,,,MitcSc00
120,Clarence Moore,WR,2004,2006,29,,,,0,,,,0,29,353,5,1,0,0.0,0,0,0,,,,,MoorCl00
121,Stevon Moore,DB,1999,1999,8,,,,0,,,,0,,,0,5,2,0.0,0,0,0,,,,,MoorSt21
122,Harold Morrow,FB,2003,2004,29,,,,0,,,,0,,,0,15,1,0.0,0,0,0,,,,,MorrHa00
123,Ovie Mughelli,FB,2003,2006,38,,,,0,,12,50,0,24,195,2,24,5,0.0,0,0,0,,,,,MughOv00
124,Edwin Mulitalo,G,1999,2006,106,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,MuliEd20
125,Nick Murphy,P,2004,2004,3,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,MurpNi20
