Player,Pos,Summary,Year
Marc Sherman,DB,,1985
Jeff Sprowls,DB,,1985
Rodney Thomas,DB,,1985
Troy Long,DB,,1985
Shane Shumway,DB,,1985
Jeff Wilcox,DB,,1985
Kevin Towle,P,,1985
Pat Thompson,P,,1985
John Oates,KR,,1985
Steve Lindsley,QB,"180 Cmp, 287 Att, 2247 Yds, 12 TD",1986
Bob Jensen,QB,"25 Cmp, 54 Att, 465 Yds, 3 TD",1986
Mike Young,QB,"8 Cmp, 14 Att, 115 Yds, 1 TD",1986
Lakei Heimuli,RB,"230 Att, 966 Yds, 4.2 Avg",1986
Robert Parker,RB,"86 Att, 542 Yds, 6.3 Avg",1986
Bruce Hansen,RB,"71 Att, 406 Yds, 5.7 Avg",1986
Roger Price,RB,"10 Att, 54 Yds, 5.4 Avg",1986
Mike O'Brien,RB,"4 Att, 15 Yds, 3.8 Avg",1986
Mark Bellini,WR,"46 Rec, 839 Yds, 18.2 Avg",1986
David Miles,WR,"6 Rec, 104 Yds, 17.3 Avg",1986
Rich Zayas,WR,"8 Rec, 176 Yds, 22.0 Avg",1986
Kevin Doman,WR,"5 Rec, 83 Yds, 16.6 Avg",1986
Chuck Cutler,WR,"3 Rec, 13 Yds, 4.3 Avg",1986
Jim Edwards,WR,"1 Rec, 4 Yds, 4.0 Avg",1986
Trevor Molini,TE,"34 Rec, 444 Yds, 13.1 Avg",1986
Darren Handley,TE,"11 Rec, 178 Yds, 16.2 Avg",1986
Ralph Martini,TE,"2 Rec, 6 Yds, 3.0 Avg",1986
Chris Bisho,OL,,1986
David King,OL,,1986
Chris Matau,OL,,1986
Brian White,OL,,1986
Brian Rodoni,OL,,1986
Leonard Chitty,K,,1986
Chris Germann,K,,1986
Jason Buck,DL,,1986
David Futrell,DL,,1986
Shawn Knight,DL,,1986
Ladd Akeo,LB,,1986
Richard Hobbs,LB,,1986
Thor Salanoa,LB,,1986
J.C. VonColln,LB,,1986
Steve Kaufusi,LB,,1986
Regan Hansen,LB,,1986
Andy Katoa,LB,,1986
Korey Rasmussen,DB,,1986
Shane Shumway,DB,,1986
Rodney Thomas,DB,,1986
Jeff Wilcox,DB,,1986
Troy Long,DB,,1986
Scott Peterson,DB,,1986
Pat Thompson,P,,1986
Sean Covey,QB,"132 Cmp, 217 Att, 1688 Yds, 8 TD",1987
Bob Jensen,QB,"144 Cmp, 259 Att, 1833 Yds, 10 TD",1987
Fred Whittingham,RB,"129 Att, 418 Yds, 3.2 Avg",1987
Matt Bellini,RB,"51 Rec, 548 Yds, 10.7 Avg",1987
Thor Salanoa,RB,"1 Att, 1 Yds, 1.0 Avg",1987
Mike O'Brien,RB,"87 Att, 309 Yds, 3.6 Avg",1987
Mike Salido,RB,"48 Att, 239 Yds, 5.0 Avg",1987
Peter Tuipulotu,RB,"24 Att, 77 Yds, 3.2 Avg",1987
Alema Harrington,RB,"6 Att, -8 Yds, -1.3 Avg",1987
David Miles,WR,"34 Rec, 581 Yds, 17.1 Avg",1987
Chuck Cutler,WR,"30 Rec, 444 Yds, 14.8 Avg",1987
Rich Zayas,WR,"25 Rec, 489 Yds, 19.6 Avg",1987
Jeff Frandsen,WR,"3 Rec, 28 Yds, 9.3 Avg",1987
Garen Jeppesen,WR,"1 Rec, 7 Yds, 7.0 Avg",1987
Darren Handley,TE,"52 Rec, 636 Yds, 12.2 Avg",1987
Travis McBeth,TE,"10 Rec, 230 Yds, 23.0 Avg",1987
Brian White,OL,,1987
John Borgia,OL,,1987
Don Busenbark,OL,,1987
John Hunter,OL,,1987
Phil Nauahi,OL,,1987
Brian Rodoni,OL,,1987
Warren Wheat,OL,,1987
Leonard Chitty,K,,1987
Tim Clark,DL,,1987
David Futrell,DL,,1987
Craig Patterson,DL,,1987
Steve Kaufusi,DL,,1987
Bob Davis,LB,,1987
Regan Hansen,LB,,1987
Richard Hobbs,LB,,1987
Chad Robinson,LB,,1987
J.C. VonColln,LB,,1987
David Porter,LB,,1987
Paul Sinclair,LB,,1987
Troy Long,DB,,1987
Scott Peterson,DB,,1987
Rodney Rice,DB,,1987
Rodney Thomas,DB,,1987
Darrin Lambert,DB,,1987
Courtney Rogers,DB,,1987
Pat Thompson,P,,1987
Sean Covey,QB,"174 Cmp, 319 Att, 2607 Yds, 13 TD",1988
Ty Detmer,QB,"83 Cmp, 153 Att, 1252 Yds, 13 TD",1988
Matt Bellini,RB,"98 Att, 488 Yds, 5.0 Avg",1988
Fred Whittingham,RB,"88 Att, 513 Yds, 5.8 Avg",1988
Mike O'Brien,RB,"30 Att, 87 Yds, 2.9 Avg",1988
Mike Salido,RB,"61 Att, 336 Yds, 5.5 Avg",1988
Eric Mortensen,RB,"20 Att, 116 Yds, 5.8 Avg",1988
Stacey Corley,RB,"15 Att, 76 Yds, 5.1 Avg",1988
Alema Harrington,RB,"10 Att, 68 Yds, 6.8 Avg",1988
Michael Brooks,RB,"7 Att, 13 Yds, 1.9 Avg",1988
Sim Tiatia,RB,,1988
Chuck Cutler,WR,"64 Rec, 1039 Yds, 16.2 Avg",1988
Jeff Frandsen,WR,"20 Rec, 417 Yds, 20.9 Avg",1988
Bryce Doman,WR,"10 Rec, 237 Yds, 23.7 Avg",1988
Tyler Anderson,WR,"6 Rec, 159 Yds, 26.5 Avg",1988
Mail Odle,WR,"3 Rec, 30 Yds, 10.0 Avg",1988
Darren Handley,TE,"34 Rec, 430 Yds, 12.6 Avg",1988
Travis McBeth,TE,"12 Rec, 123 Yds, 10.3 Avg",1988
Chris Smith,TE,"9 Rec, 121 Yds, 13.4 Avg",1988
Don Busenbark,OL,,1988
John Hunter,OL,,1988
Phil Nauahi,OL,,1988
Warren Wheat,OL,,1988
Brian White,OL,,1988
Mohammed Elewonibi,OL,,1988
Jason Chaffetz,K,,1988
Earl Kauffman,K,,1988
Tim Clark,DL,,1988
Tim Knight,DL,,1988
Budd Orr,DL,,1988
Pete Harston,DL,,1988
Mark Smith,DL,,1988
Bob Davis,LB,,1988
Regan Hansen,LB,,1988
Duane Johnson,LB,,1988
Chad Robinson,LB,,1988
Marc Neal,LB,,1988
Rocky Biegel,LB,,1988
Eric Bergeson,DB,,1988
Troy Long,DB,,1988
Scott Peterson,DB,,1988
Rodney Rice,DB,,1988
Norm Dixon,DB,,1988
Brian Mitchell,DB,,1988
Josh Arnold,DB,,1988
Tony Crutchfield,DB,,1988
Ervin Lee,DB,,1988
Pat Thompson,P,,1988
Ty Detmer,QB,"265 Cmp, 412 Att, 4560 Yds, 32 TD",1989
Sean Covey,QB,"14 Cmp, 21 Att, 172 Yds, 1 TD",1989
Fred Whittingham,RB,"109 Att, 582 Yds, 5.3 Avg",1989
Matt Bellini,RB,"90 Att, 389 Yds, 4.3 Avg",1989
Stacey Corley,RB,"53 Att, 457 Yds, 8.6 Avg",1989
Eric Mortensen,RB,"32 Att, 164 Yds, 5.1 Avg",1989
Peter Tuipulotu,RB,"30 Att, 195 Yds, 6.5 Avg",1989
Scott Charlton,RB,"9 Att, 43 Yds, 4.8 Avg",1989
Brad Clark,RB,"4 Att, 26 Yds, 6.5 Avg",1989
Chad Knowles,RB,"1 Att, 8 Yds, 8.0 Avg",1989
Andy Boyce,WR,"39 Rec, 712 Yds, 18.3 Avg",1989
Jeff Frandsen,WR,"32 Rec, 596 Yds, 18.6 Avg",1989
Nati Valdez,WR,"6 Rec, 76 Yds, 12.7 Avg",1989
Brent Nyberg,WR,"18 Rec, 315 Yds, 17.5 Avg",1989
Matt Odle,WR,"16 Rec, 330 Yds, 20.6 Avg",1989
Micah Matsuzaki,WR,"9 Rec, 174 Yds, 19.3 Avg",1989
Chris Smith,TE,"60 Rec, 1090 Yds, 18.2 Avg",1989
Matt Zundel,TE,"3 Rec, 49 Yds, 16.3 Avg",1989
Fotu Katoa,TE,"1 Rec, 15 Yds, 15.0 Avg",1989
Jim Balmforth,OL,,1989
Mohammed Elewonibi,OL,,1989
Neal Fort,OL,,1989
Robert Stephens,OL,,1989
Mike Keim,OL,,1989
Jason Chaffetz,K,,1989
Tim Adams,DL,,1989
Rich Kaufusi,DL,,1989
Budd Orr,DL,,1989
Rocky Biegel,LB,,1989
Bob Davis,LB,,1989
Duane Johnson,LB,,1989
Chad Robinson,LB,,1989
Mark Smith,LB,,1989
Byron Beatty,LB,,1989
Shad Hansen,LB,,1989
Eric Bergeson,DB,,1989
Tony Crutchfield,DB,,1989
Norm Dixon,DB,,1989
Brian Mitchell,DB,,1989
Troy Fuller,DB,,1989
Josh Arnold,DB,,1989
Derwin Gray,DB,,1989
David Henderson,DB,,1989
Earl Kauffman,P,,1989
Ty Detmer,QB,"361 Cmp, 562 Att, 5188 Yds, 41 TD",1990
Joe Evans,QB,"11 Cmp, 16 Att, 148 Yds, 0 TD",1990
Brent Smith,QB,,1990
Brock Spencer,QB,,1990
Matt Bellini,RB,"59 Rec, 601 Yds, 10.2 Avg",1990
Peter Tuipulotu,RB,"98 Att, 637 Yds, 6.5 Avg",1990
Stacey Corley,RB,"70 Att, 288 Yds, 4.1 Avg",1990
Mike Salido,RB,"68 Att, 410 Yds, 6.0 Avg",1990
Scott Charlton,RB,"37 Att, 168 Yds, 4.5 Avg",1990
Eric Mortensen,RB,"18 Att, 70 Yds, 3.9 Avg",1990
Brad Clark,RB,"7 Att, 25 Yds, 3.6 Avg",1990
Andy Boyce,WR,"79 Rec, 1241 Yds, 15.7 Avg",1990
Brent Nyberg,WR,"47 Rec, 816 Yds, 17.4 Avg",1990
Micah Matsuzaki,WR,"26 Rec, 493 Yds, 19.0 Avg",1990
Nati Valdez,WR,"8 Rec, 106 Yds, 13.3 Avg",1990
Eric Drage,WR,"6 Rec, 87 Yds, 14.5 Avg",1990
Chris Smith,TE,"68 Rec, 1156 Yds, 17.0 Avg",1990
Matt Zundel,TE,"5 Rec, 92 Yds, 18.4 Avg",1990
Byron Rex,TE,"4 Rec, 50 Yds, 12.5 Avg",1990
Neal Fort,OL,,1990
Jim Balmforth,OL,,1990
Mike Keim,OL,,1990
Brian May,OL,,1990
Robert Stephens,OL,,1990
Earl Kauffman,K,,1990
Keith Lever,K,,1990
Pete Harston,DL,,1990
Rich Kaufusi,DL,,1990
Mark Smith,DL,,1990
Eddie Green,DL,,1990
Rick Wilson,DL,,1990
Rocky Biegel,LB,,1990
Alema Fitisemanu,LB,,1990
Scott Giles,LB,,1990
Shad Hansen,LB,,1990
Jared Leavitt,LB,,1990
Josh Arnold,DB,,1990
Tony Crutchfield,DB,,1990
Derwin Gray,DB,,1990
Brian Mitchell,DB,,1990
Norm Dixon,DB,,1990
Tau Harrington,DB,,1990
David Henderson,DB,,1990
Ervin Lee,DB,,1990
Joe Herrick,P,,1990
Brad Hunter,P,,1990
Sim Tiatia,KR,,1990
Ty Detmer,QB,"249 Cmp, 403 Att, 4031 Yds, 35 TD",1991
John Walsh,QB,"8 Cmp, 16 Att, 94 Yds, 0 TD",1991
Peter Tuipulotu,RB,"125 Att, 619 Yds, 5.0 Avg",1991
Jamal Willis,RB,"86 Att, 520 Yds, 6.0 Avg",1991
Mark Atuaia,RB,"76 Att, 361 Yds, 4.8 Avg",1991
Eric Mortensen,RB,"21 Att, 92 Yds, 4.4 Avg",1991
Brad Clark,RB,"10 Att, 45 Yds, 4.5 Avg",1991
Scott Charlton,RB,,1991
Micah Matsuzaki,WR,"26 Rec, 437 Yds, 16.8 Avg",1991
Eric Drage,WR,"46 Rec, 1018 Yds, 22.1 Avg",1991
Tyler Anderson,WR,"14 Rec, 293 Yds, 20.9 Avg",1991
Itula Mili,WR,"10 Rec, 128 Yds, 12.8 Avg",1991
Erik Hughes,WR,"2 Rec, 11 Yds, 5.5 Avg",1991
Nati Valdez,WR,"24 Rec, 338 Yds, 14.1 Avg",1991
Otis Sterling,WR,"5 Rec, 66 Yds, 13.2 Avg",1991
Bryce Doman,WR,"4 Rec, 88 Yds, 22.0 Avg",1991
Tim Nowatzke,WR,"4 Rec, 58 Yds, 14.5 Avg",1991
Byron Rex,TE,"38 Rec, 547 Yds, 14.4 Avg",1991
Matt Zundel,TE,"1 Rec, 1 Yds, 1.0 Avg",1991
Tom Ladd,OL,,1991
Eli Herring,OL,,1991
Bryan May,OL,,1991
Garry Pay,OL,,1991
Garett Tujague,OL,,1991
Scott Brumfield,OL,,1991
Mike Empey,OL,,1991
Earl Kauffman,K,,1991
Keith Lever,K,,1991
Randy Brock,DL,,1991
Lenny Gomes,DL,,1991
Greg Pitts,DL,,1991
Scott Sralla,DL,,1991
Rocky Biegel,LB,,1991
Scott Giles,LB,,1991
Shad Hansen,LB,,1991
Jared Leavitt,LB,,1991
Kevin Nicoll,LB,,1991
Bill Bryant,LB,,1991
Josh Arnold,DB,,1991
Tony Crutchfield,DB,,1991
Derwin Gray,DB,,1991
Ervin Lee,DB,,1991
Patrick Mitchell,DB,,1991
Paul Pitts,DB,,1991
Kapi Sikahema,DB,,1991
Joe Herrick,P,,1991
Brad Hunter,P,,1991
Jason Schmidt,KR,,1991
Ryan Hancock,QB,"165 Cmp, 288 Att, 2635 Yds, 17 TD",1992
John Walsh,QB,"52 Cmp, 100 Att, 857 Yds, 9 TD",1992
Steve Clements,QB,"3 Cmp, 13 Att, 57 Yds, 0 TD",1992
Tom Young,QB,"1 Cmp, 3 Att, 7 Yds, 0 TD",1992
Jamal Willis,RB,"204 Att, 1004 Yds, 4.9 Avg",1992
Kalin Hall,RB,"138 Att, 742 Yds, 5.4 Avg",1992
Hema Heimuli,RB,"41 Att, 156 Yds, 3.8 Avg",1992
Steve Christensen,RB,"22 Att, 128 Yds, 5.8 Avg",1992
Chad Knowles,RB,"3 Att, 13 Yds, 4.3 Avg",1992
Tyler Anderson,WR,"11 Rec, 249 Yds, 22.6 Avg",1992
Eric Drage,WR,"56 Rec, 1093 Yds, 19.5 Avg",1992
Otis Sterling,WR,"25 Rec, 553 Yds, 22.1 Avg",1992
Bryce Doman,WR,"19 Rec, 275 Yds, 14.5 Avg",1992
Tim Nowatzke,WR,"6 Rec, 119 Yds, 19.8 Avg",1992
Nati Valdez,WR,"1 Rec, 4 Yds, 4.0 Avg",1992
Erik Hughes,WR,,1992
Mike Johnston,WR,,1992
Byron Rex,TE,"45 Rec, 612 Yds, 13.6 Avg",1992
Terence Saluone,TE,"4 Rec, 73 Yds, 18.3 Avg",1992
Scott Brumfield,OL,,1992
Jim Edwards,OL,,1992
Garry Pay,OL,,1992
Evan Pilgrim,OL,,1992
Eli Herring,OL,,1992
David Lauder,K,,1992
Randy Brock,DL,,1992
Lenny Gomes,DL,,1992
Kevin Nicoll,DL,,1992
Greg Pitts,DL,,1992
Nathan Hall,LB,,1992
Shad Hansen,LB,,1992
Todd Herget,LB,,1992
Barrett Awai,LB,,1992
Ted Dawson,LB,,1992
Scott Merkley,LB,,1992
Brad Clark,DB,,1992
Derwin Gray,DB,,1992
Patrick Mitchell,DB,,1992
Vic Tarleton,DB,,1992
Hassan McCullough,DB,,1992
Brad Hunter,P,,1992
Joe Herrick,P,,1992
John Walsh,QB,"244 Cmp, 397 Att, 3727 Yds, 28 TD",1993
Tom Young,QB,"17 Cmp, 32 Att, 130 Yds, 2 TD",1993
Steve Clements,QB,"17 Cmp, 29 Att, 203 Yds, 1 TD",1993
Kalin Hall,RB,"113 Att, 567 Yds, 5.0 Avg",1993
Jamal Willis,RB,"90 Att, 404 Yds, 4.5 Avg",1993
Hema Heimuli,RB,"50 Att, 269 Yds, 5.4 Avg",1993
Steve Christensen,RB,"26 Att, 107 Yds, 4.1 Avg",1993
Chad Knowles,RB,"7 Att, 14 Yds, 2.0 Avg",1993
Rob Morris,RB,"2 Att, 0 Yds, 0.0 Avg",1993
T.D. Biegel,RB,"1 Att, 7 Yds, 7.0 Avg",1993
Eric Drage,WR,"54 Rec, 867 Yds, 16.1 Avg",1993
Bryce Doman,WR,"36 Rec, 455 Yds, 12.6 Avg",1993
Tyler Anderson,WR,"21 Rec, 358 Yds, 17.0 Avg",1993
Tim Nowatzke,WR,"23 Rec, 364 Yds, 15.8 Avg",1993
Micah Matsuzaki,WR,"30 Rec, 500 Yds, 16.7 Avg",1993
Kaipo McGuire,WR,"1 Rec, 12 Yds, 12.0 Avg",1993
Terence Saluone,TE,"25 Rec, 344 Yds, 13.8 Avg",1993
Chad Lewis,TE,"11 Rec, 172 Yds, 15.6 Avg",1993
Tom Baldwin,TE,,1993
Jim Edwards,OL,,1993
Mike Empey,OL,,1993
Eli Herring,OL,,1993
Evan Pilgrim,OL,,1993
Ron Simmons,OL,,1993
Tim Hanshaw,OL,,1993
Joe Herrick,K,,1993
Randy Brock,DL,,1993
Lenny Gomes,DL,,1993
Travis Hall,DL,,1993
Greg Pitts,DL,,1993
Brian Hughes,DL,,1993
Nathan Hall,LB,,1993
Todd Herget,LB,,1993
Shay Muirbrook,LB,,1993
Wayland Hickman,LB,,1993
Cory Cook,DB,,1993
Jack Damuni,DB,,1993
Patrick Mitchell,DB,,1993
Vic Tarleton,DB,,1993
Frank Christianson,DB,,1993
Casey Mazzotta,DB,,1993
Jeff Lindstrom,DB,,1993
Alan Boardman,P,,1993
Mike Johnston,KR,,1993
John Walsh,QB,"284 Cmp, 463 Att, 3712 Yds, 29 TD",1994
Steve Clements,QB,"2 Cmp, 10 Att, 25 Yds, 0 TD",1994
Jamal Willis,RB,"204 Att, 1042 Yds, 5.1 Avg",1994
Hema Heimuli,RB,"126 Att, 552 Yds, 4.4 Avg",1994
Mark Atuaia,RB,"38 Att, 147 Yds, 3.9 Avg",1994
Kalani Fifita,RB,"16 Att, 112 Yds, 7.0 Avg",1994
Tefua Bloomfield,RB,"12 Att, 77 Yds, 6.4 Avg",1994
Chad Knowles,RB,"1 Att, 5 Yds, 5.0 Avg",1994
Bryce Doman,WR,"35 Rec, 502 Yds, 14.3 Avg",1994
Tim Nowatzke,WR,"47 Rec, 601 Yds, 12.8 Avg",1994
Kaipo McGuire,WR,"15 Rec, 201 Yds, 13.4 Avg",1994
Mike Johnston,WR,"31 Rec, 423 Yds, 13.6 Avg",1994
Tyler Bolli,WR,"2 Rec, 32 Yds, 16.0 Avg",1994
Jason Cooper,WR,"1 Rec, 14 Yds, 14.0 Avg",1994
Chad Lewis,TE,"32 Rec, 328 Yds, 10.3 Avg",1994
Itula Mili,TE,"33 Rec, 503 Yds, 15.2 Avg",1994
Tom Baldwin,TE,,1994
Jim Edwards,OL,,1994
Tim Hanshaw,OL,,1994
Eli Herring,OL,,1994
James Johnson,OL,,1994
Evan Pilgrim,OL,,1994
David Lauder,K,,1994
Randy Brock,DL,,1994
Travis Hall,DL,,1994
John Raass,DL,,1994
Mike Ulufale,DL,,1994
Greg Pitts,DL,,1994
Scott Albrecht,LB,,1994
Shay Muirbrook,LB,,1994
Stan Raass,LB,,1994
Dennis Simmons,LB,,1994
Cory Cook,DB,,1994
Patrick Mitchell,DB,,1994
Jon Pollack,DB,,1994
Dermmell Reed,DB,,1994
Jamie Cook,DB,,1994
Jack Damuni,DB,,1994
Lane Hale,DB,,1994
James Heggins,DB,,1994
Eddie Sampson,DB,,1994
Alan Boardman,P,,1994
Steve Sarkisian,QB,"250 Cmp, 385 Att, 3437 Yds, 20 TD",1995
Paul Shoemaker,QB,"2 Cmp, 3 Att, 32 Yds, 0 TD",1995
Chris Bisgaard,QB,,1995
Mark Atuaia,RB,"101 Att, 374 Yds, 3.7 Avg",1995
Hema Heimula,RB,,1995
Hema Heimuli,RB,"112 Att, 449 Yds, 4.0 Avg",1995
Tefua Bloomfield,RB,"54 Att, 263 Yds, 4.9 Avg",1995
Itula Mili,RB,"36 Rec, 440 Yds, 12.2 Avg",1995
Dustin Johnson,RB,"5 Att, 71 Yds, 14.2 Avg",1995
Aaron Cupp,RB,"3 Att, 16 Yds, 5.3 Avg",1995
Mike Johnston,WR,"40 Rec, 650 Yds, 16.3 Avg",1995
Kaipo McGuire,WR,"24 Rec, 359 Yds, 15.0 Avg",1995
K.O. Kealaluhi,WR,"28 Rec, 483 Yds, 17.3 Avg",1995
Jason Cooper,WR,"20 Rec, 295 Yds, 14.8 Avg",1995
Chad Lewis,TE,"31 Rec, 456 Yds, 14.7 Avg",1995
Tom Baldwin,TE,"6 Rec, 65 Yds, 10.8 Avg",1995
Noah Parks,TE,"1 Rec, 23 Yds, 23.0 Avg",1995
Elias Faupula,OL,,1995
James Johnson,OL,,1995
Matt Meservey,OL,,1995
Larry Moore,OL,,1995
Morris Unutoa,OL,,1995
Matt Cox,OL,,1995
Bill Hansen,K,,1995
Henry Bloomfield,DL,,1995
Ed Kehl,DL,,1995
John Raass,DL,,1995
Matt Redden,DL,,1995
Mike Ulufale,DL,,1995
Brad Martin,LB,,1995
Shay Muirbrook,LB,,1995
Stan Raass,LB,,1995
Dennis Simmons,LB,,1995
Jamie Cook,DB,,1995
Tim McTyer,DB,,1995
Dermmell Reed,DB,,1995
Eddie Sampson,DB,,1995
James Dye,DB,,1995
Alan Boardman,P,,1995
Steve Sarkisian,QB,"278 Cmp, 404 Att, 4027 Yds, 33 TD",1996
Paul Shoemaker,QB,"7 Cmp, 10 Att, 73 Yds, 2 TD",1996
Kevin Feterik,QB,"5 Cmp, 8 Att, 26 Yds, 1 TD",1996
Chris Bisgaard,QB,"1 Cmp, 1 Att, 17 Yds, 0 TD",1996
Mark Atuaia,RB,"86 Att, 365 Yds, 4.2 Avg",1996
Dustin Johnson,RB,"45 Att, 249 Yds, 5.5 Avg",1996
Brian McKenzie,RB,"167 Att, 950 Yds, 5.7 Avg",1996
Ronney Jenkins,RB,"128 Att, 733 Yds, 5.7 Avg",1996
Chris Stevens,RB,"38 Att, 138 Yds, 3.6 Avg",1996
Ned Stearns,RB,"7 Att, 17 Yds, 2.4 Avg",1996
Aaron Cupp,RB,"5 Att, 40 Yds, 8.0 Avg",1996
K.O. Kealaluhi,WR,"49 Rec, 901 Yds, 18.4 Avg",1996
Kaipo McGuire,WR,"42 Rec, 658 Yds, 15.7 Avg",1996
James Dye,WR,"15 Rec, 182 Yds, 12.1 Avg",1996
Ben Cahoon,WR,"11 Rec, 166 Yds, 15.1 Avg",1996
R.J. Anderson,WR,"1 Rec, 9 Yds, 9.0 Avg",1996
Tyler Bolli,WR,"1 Rec, 4 Yds, 4.0 Avg",1996
Cliff Doman,WR,,1996
Chad Lewis,TE,"37 Rec, 420 Yds, 11.4 Avg",1996
Itula Mili,TE,"46 Rec, 692 Yds, 15.0 Avg",1996
Brandon Condie,TE,"1 Rec, 6 Yds, 6.0 Avg",1996
John Moala,TE,"1 Rec, 18 Yds, 18.0 Avg",1996
Eric Bateman,OL,,1996
Matt Cox,OL,,1996
James Johnson,OL,,1996
Larry Moore,OL,,1996
John Tait,OL,,1996
Jason Anderson,OL,,1996
Ethan Pochman,K,,1996
Courtney Smith,K,,1996
Harland Ah You,DL,,1996
Henry Bloomfield,DL,,1996
Byron Frisch,DL,,1996
Ed Kehl,DL,,1996
Ed Lamp,DL,,1996
Daren Yancey,DL,,1996
Brad Martin,LB,,1996
Shay Muirbrook,LB,,1996
Spencer Reid,LB,,1996
Jeff Ellis,LB,,1996
Dennis Simmons,LB,,1996
Derik Stevenson,LB,,1996
Chris Ellison,DB,,1996
Tim McTyer,DB,,1996
Omarr Morgan,DB,,1996
Jason Walker,DB,,1996
Ben Cook,DB,,1996
Lane Hale,DB,,1996
Eddie Sampson,DB,,1996
Alan Boardman,P,,1996
Kevin Feterik,QB,"125 Cmp, 208 Att, 1767 Yds, 11 TD",1997
Drew Miller,QB,"37 Cmp, 67 Att, 430 Yds, 3 TD",1997
Paul Shoemaker,QB,"22 Cmp, 50 Att, 303 Yds, 1 TD",1997
Shane Barlow,QB,,1997
Brian McKenzie,RB,"218 Att, 1004 Yds, 4.6 Avg",1997
Aaron Cupp,RB,"20 Rec, 251 Yds, 12.6 Avg",1997
Will Snowden,RB,"36 Att, 122 Yds, 3.4 Avg",1997
Jaron Dabney,RB,"19 Att, 117 Yds, 6.2 Avg",1997
Kalani Sitake,RB,"8 Att, 12 Yds, 1.5 Avg",1997
Tyrone Brown,RB,"1 Att, -2 Yds, -2.0 Avg",1997
Chris Stevens,RB,"1 Att, 6 Yds, 6.0 Avg",1997
Ben Cahoon,WR,"57 Rec, 931 Yds, 16.3 Avg",1997
Aaron Roderick,WR,"14 Rec, 250 Yds, 17.9 Avg",1997
Margin Hooks,WR,"19 Rec, 324 Yds, 17.1 Avg",1997
R.J. Anderson,WR,"3 Rec, 33 Yds, 11.0 Avg",1997
Cliff Doman,WR,"1 Rec, 9 Yds, 9.0 Avg",1997
Ben Horton,WR,,1997
Dustin Johnson,TE,"33 Rec, 394 Yds, 11.9 Avg",1997
John Moala,TE,"3 Rec, 38 Yds, 12.7 Avg",1997
Tevita Ofahengaue,TE,,1997
Jason Anderson,OL,,1997
Eric Bateman,OL,,1997
Matt Cox,OL,,1997
John Tait,OL,,1997
Joe Young,OL,,1997
J.D. Hartsfield,K,,1997
Owen Pochman,K,,1997
Byron Frisch,DL,,1997
Ed Kehl,DL,,1997
Issiah Magalei,DL,,1997
Daren Yancey,DL,,1997
Brad Martin,LB,,1997
Rob Morris,LB,,1997
Spencer Reid,LB,,1997
Donny Atuaia,LB,,1997
Omarr Morgan,DB,,1997
Ben Cook,DB,,1997
Tyler Nelson,DB,,1997
Jason Walker,DB,,1997
Derik Bates,DB,,1997
Jack Williams,DB,,1997
Tony Fields,DB,,1997
Tevita Liava'a,DB,,1997
Jesse Sowards,P,,1997
Kevin Feterik,QB,"202 Cmp, 336 Att, 2718 Yds, 16 TD",1998
Drew Miller,QB,"23 Cmp, 45 Att, 332 Yds, 2 TD",1998
Brandon Doman,QB,"1 Cmp, 2 Att, 30 Yds, 0 TD",1998
Ronney Jenkins,RB,"252 Att, 1307 Yds, 5.2 Avg",1998
Kalani Sitake,RB,"15 Rec, 129 Yds, 8.6 Avg",1998
Reno Mahe,RB,"98 Att, 481 Yds, 4.9 Avg",1998
Aaron Cupp,RB,"26 Att, 140 Yds, 5.4 Avg",1998
Will Snowden,RB,"15 Att, 81 Yds, 5.4 Avg",1998
Donny Atuaia,RB,"8 Rec, 59 Yds, 7.4 Avg",1998
Tyrone Brown,RB,"2 Att, 5 Yds, 2.5 Avg",1998
Mike Shiffler,RB,,1998
Margin Hooks,WR,"49 Rec, 732 Yds, 14.9 Avg",1998
Ben Horton,WR,"25 Rec, 468 Yds, 18.7 Avg",1998
Mike Rigell,WR,"18 Rec, 331 Yds, 18.4 Avg",1998
Aaron Roderick,WR,"11 Rec, 143 Yds, 13.0 Avg",1998
Michael Westbrook,WR,"1 Rec, 14 Yds, 14.0 Avg",1998
Tevita Ofahengame,TE,,1998
Tevita Ofahengaue,TE,"19 Rec, 264 Yds, 13.9 Avg",1998
Carlos Nuno,TE,"13 Rec, 207 Yds, 15.9 Avg",1998
Matt Johnson,OL,,1998
Jimmy Richards,OL,,1998
Kalani Skiba,OL,,1998
John Tait,OL,,1998
Joe Wong,OL,,1998
Owen Pochman,K,,1998
Byron Frisch,DL,,1998
Ed Kehl,DL,,1998
Issiah Magalei,DL,,1998
Daren Yancey,DL,,1998
Chris Hoke,DL,,1998
Hans Olsen,DL,,1998
Brad Martin,LB,,1998
Rob Morris,LB,,1998
Derik Stevenson,LB,,1998
Justin Ena,LB,,1998
Chris Ellison,DB,,1998
Brian Gray,DB,,1998
Heshi Robertson,DB,,1998
Jason Walker,DB,,1998
Jason Anderson,DB,,1998
J.D. Hartsfield,P,,1998
Jesse Sowards,P,,1998
Kevin Feterik,QB,"277 Cmp, 452 Att, 3554 Yds, 25 TD",1999
Bret Engemann,QB,"3 Cmp, 4 Att, 13 Yds, 0 TD",1999
Brandon Doman,QB,"0 Cmp, 2 Att, 0 Yds, 0 TD",1999
Charlie Peterson,QB,,1999
