Player,Pos,Summary,Year
Todd Christensen,RB,"59 Att, 273 Yds, 4.6 Avg",1975
Charlie Ah You,RB,"79 Att, 309 Yds, 3.9 Avg",1975
Roger Gourley,RB,"34 Att, 115 Yds, 3.4 Avg",1975
Dave Lowry,RB,"41 Att, 199 Yds, 4.9 Avg",1975
Pisa Finai,RB,"8 Att, 32 Yds, 4.0 Avg",1975
Clay Blackwell,RB,"5 Att, 13 Yds, 2.6 Avg",1975
John Van Der Wouden,WR,"29 Rec, 621 Yds, 21.4 Avg",1975
Jeff Nilsson,WR,"18 Rec, 236 Yds, 13.1 Avg",1975
Tom Dignan,WR,"13 Rec, 135 Yds, 10.4 Avg",1975
George Harris,WR,"1 Rec, 11 Yds, 11.0 Avg",1975
Bob Biddy,WR,"2 Rec, 20 Yds, 10.0 Avg",1975
Brian Billick,TE,"19 Rec, 207 Yds, 10.9 Avg",1975
Bill Allen,TE,"3 Rec, 30 Yds, 10.0 Avg",1975
Mike House,TE,"3 Rec, 38 Yds, 12.7 Avg",1975
Kirk Tanner,TE,"3 Rec, 36 Yds, 12.0 Avg",1975
Brad Oates,OL,,1975
Tom Bell,OL,,1975
Dave Hubbard,OL,,1975
Steve Miller,OL,,1975
Orrin Olsen,OL,,1975
Dave Meteer,OL,,1975
Keith Uperesa,OL,,1975
Mekeli Ieremia,DL,,1975
Marcus Kanahele,DL,,1975
Bill Rice,DL,,1975
Stan Varner,DL,,1975
Phil Jensen,LB,,1975
Blake Murdock,LB,,1975
Sid Smith,LB,,1975
Tim Halvorson,DB,,1975
Craig Jensen,DB,,1975
Gary Shaw,DB,,1975
Dana Wilgar,DB,,1975
Mark McCluskey,DB,,1975
Gifford Nielsen,QB,"230 Cmp, 406 Att, 3401 Yds, 30 TD",1976
Terry McEwen,QB,"16 Cmp, 31 Att, 194 Yds, 2 TD",1976
Jeff Blanc,RB,"149 Att, 594 Yds, 4.0 Avg",1976
Todd Christensen,RB,"91 Att, 353 Yds, 3.9 Avg",1976
Dave Lowry,RB,"75 Att, 308 Yds, 4.1 Avg",1976
Roger Gourley,RB,"36 Att, 172 Yds, 4.8 Avg",1976
Roy Ward,RB,"17 Att, 69 Yds, 4.1 Avg",1976
John Van Der Wouden,WR,"42 Rec, 669 Yds, 15.9 Avg",1976
Mike Chronister,WR,"31 Rec, 706 Yds, 22.8 Avg",1976
Jeff Nilsson,WR,"7 Rec, 94 Yds, 13.4 Avg",1976
George Harris,WR,"12 Rec, 327 Yds, 27.3 Avg",1976
Brian Billick,TE,"6 Rec, 70 Yds, 11.7 Avg",1976
Tod Thompson,TE,"16 Rec, 290 Yds, 18.1 Avg",1976
Chuck Carlson,OL,,1976
Dave Hubbard,OL,,1976
Steve Miller,OL,,1976
Lance Reynolds,OL,,1976
Keith Uperesa,OL,,1976
John Dowell,OL,,1976
Dave Meteer,OL,,1976
Dave Taylor,K,,1976
Steve Dewey,DL,,1976
Mekeli Ieremia,DL,,1976
Marcus Kanahele,DL,,1976
Bill Rice,DL,,1976
Ross Varner,DL,,1976
Larry Miller,LB,,1976
Blake Murdock,LB,,1976
Rod Wood,LB,,1976
Mark Berntsen,LB,,1976
Tony Hernandez,DB,,1976
Craig Jensen,DB,,1976
Marc Swenson,DB,,1976
Dana Wilgar,DB,,1976
Bob Biddy,DB,,1976
Jason Coloma,DB,,1976
Marc Wilson,QB,"164 Cmp, 277 Att, 2418 Yds, 24 TD",1977
Gifford Nielsen,QB,"98 Cmp, 156 Att, 1167 Yds, 16 TD",1977
