Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos
28,2003,NFL,6,204,OAK,Dustin Rykert,T
30,2002,NFL,2,55,OAK,Doug Jolley,TE
31,2002,NFL,2,61,BUF,Ryan Denney,DE
32,2002,NFL,5,163,SFO,Brandon Doman,QB
33,2002,NFL,7,214,DET,Luke Staley,RB
34,2002,NFL,7,242,PIT,Brett Keisel,DE
35,2001,NFL,7,216,NWE,Owen Pochman,K
36,2001,NFL,7,246,ARI,Tevita Ofahengaue,TE
37,2000,NFL,1,28,IND,Rob Morris,LB
38,2000,NFL,3,93,TEN,Byron Frisch,DE
39,2000,NFL,5,138,IND,Matt Johnson,G
40,1999,NFL,1,14,KAN,John Tait,T
41,1999,NFL,6,188,OAK,Daren Yancey,DT
42,1999,NFL,7,244,MIA,Joe Wong,G
43,1998,NFL,5,149,NYJ,Eric Bateman,T
44,1998,NFL,6,183,NYJ,Dustin Johnson,FB
46,1997,NFL,6,174,SEA,Itula Mili,TE
47,1996,NFL,3,95,DAL,Mike Ulufale,DT
48,1995,NFL,3,87,CHI,Evan Pilgrim,G
49,1995,NFL,4,127,SFO,Tim Hanshaw,G
50,1995,NFL,6,181,ATL,Travis Hall,DT
51,1995,NFL,6,190,OAK,Eli Herring,T
52,1995,NFL,7,213,CIN,John Walsh,QB
53,1993,NFL,4,92,IND,Derwin Gray,DB
54,1992,NFL,9,230,GNB,Ty Detmer,QB
55,1991,NFL,6,143,RAM,Neal Fort,T
56,1991,NFL,7,172,ATL,Brian Mitchell,DB
57,1991,NFL,11,295,CIN,Chris Smith,TE
58,1990,NFL,3,76,WAS,Mohammed Elewonibi,T
59,1989,NFL,3,80,MIN,John Hunter,T
60,1989,NFL,8,210,NWE,Rodney Rice,DB
61,1989,NFL,8,215,RAM,Warren Wheat,G
62,1988,NFL,5,126,MIA,Rodney Thomas,DB
63,1988,NFL,12,313,NYG,David Futrell,DT
64,1988,NFL,12,319,PHI,Steve Kaufusi,DE
65,1987,NFL,1,11,NOR,Shawn Knight,DE
66,1987,NFL,1,17,CIN,Jason Buck,DE
67,1987,NFL,7,170,IND,Mark Bellini,WR
68,1987,NFL,9,249,CHI,Lakei Heimuli,RB
69,1986,NFL,3,72,GNB,Robbie Bosco,QB
70,1986,NFL,5,123,CIN,Leon White,LB
71,1986,NFL,8,213,WAS,Kurt Gouveia,LB
72,1986,NFL,9,230,CIN,Cary Whittingham,LB
73,1986,NFL,10,254,STL,Vai Sikahema,RB
74,1986,NFL,11,305,CHI,Glen Kozlowski,WR
75,1986,NFL,12,320,SDG,Jeff Sprowls,DB
76,1985,NFL,1,28,NWE,Trevor Matich,C
77,1985,NFL,4,106,MIN,Kyle Morrell,DB
78,1985,NFL,5,131,STL,Louis Wong,G
79,1985,NFL,5,138,HOU,Lee Johnson,P
80,1985,NFL,7,184,DAL,Jim Herrmann,DE
81,1984,NFL,1*,1,TAM,Steve Young,QB
82,1984,NFL,1*,22,SEA,Gordon Hudson,TE
83,1984,NFL,1,24,SFO,Todd Shell,LB
84,1984,NFL,11,307,SFO,Kirk Pendleton,WR
85,1983,NFL,4,90,SFO,Tom Holmoe,DB
86,1983,NFL,12,329,SDG,Chuck Ehin,NT
87,1982,NFL,1,5,CHI,Jim McMahon,QB
88,1982,NFL,4,106,DEN,Dan Plater,WR
89,1981,NFL,2,42,DEN,Clay Brown,TE
90,1981,NFL,3,81,DAL,Glen Titensor,G
91,1981,NFL,4,87,SEA,Scott Phillips,WR
92,1981,NFL,4,106,HOU,Nick Eyre,T
93,1981,NFL,6,166,NOR,Glen Redd,LB
94,1981,NFL,8,195,NYJ,Lloyd Jones,WR
95,1981,NFL,8,196,SEA,Eric Lane,RB
96,1980,NFL,1,15,OAK,Marc Wilson,QB
97,1980,NFL,2,55,WAS,Mat Mendenhall,DE
98,1979,NFL,8,199,STL,Larry Miller,LB
99,1979,NFL,10,275,PIT,Tod Thompson,TE
100,1978,NFL,2,56,DAL,Todd Christensen,TE
101,1978,NFL,3,73,HOU,Gifford Nielsen,QB
102,1978,NFL,6,158,CHI,Mekeli Ieremia,DT
103,1978,NFL,9,241,PIT,Lance Reynolds,T
104,1977,NFL,5,136,NOR,Dave Hubbard,T
105,1977,NFL,8,199,NYG,Bill Rice,DT
106,1977,NFL,11,295,SFO,Brian Billick,TE
107,1976,NFL,3,83,STL,Brad Oates,T
108,1976,NFL,6,169,ATL,Stan Varner,DT
109,1976,NFL,8,222,KAN,Orrin Olsen,C
110,1976,NFL,10,267,TAM,Sid Smith,LB
111,1976,NFL,17,485,RAM,Gary Shaw,DB
112,1975,NFL,3,64,CIN,Gary Sheide,QB
113,1975,NFL,3,74,SFO,Wayne Baker,DT
114,1975,NFL,4,93,BAL,Paul Linford,DT
115,1974,NFL,10,254,PIT,Dave Atkinson,DB
118,1973,NFL,3,54,DEN,Paul Howard,G
119,1973,NFL,3,66,NOR,Pete Van Valkenberg,RB
120,1973,NFL,15,383,DET,Dan Hansen,DB
