source,player,class,pos,summary,year,school,coach
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Barry Moore*,NA,DL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Steve Little,NA,DL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Jim Luebbers,NA,DL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Roger Youngblut,NA,DL,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Dwayne Gilyard*,NA,LB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Chris Washington*,NA,LB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Lester Williams*,NA,LB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Ralph Conner,NA,LB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Tim Iversen,NA,LB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Alvin Baker*,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Billy McCue*,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,George Walker*,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Kevin Williams*,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Sam Clear,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Anthony Davis,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Joe Jackson,NA,DB,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Kelly Goodburn,NA,P,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Doug Myers,NA,P,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1983_iowa-state_roster.csv,Kent Anderson,NA,KR,,1983,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1984_iowa-state_roster.csv,Alan Hood,NA,QB,"54 Cmp, 103 Att, 559 Yds, 3 TD",1984,Iowa State,Jim Criner
https://raw.githubusercontent.com/RKRoberts97/byu_football_tree/refs/heads/main/College/Coaches/College%20Head%20Coaches/Jim_Criner/1984_iowa-state_roster.csv,Derek DeGennaro,NA,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",1984,Iowa State,Jim Criner
