Awards & Honors
1972 WAC Coach of the Year
1979 WAC Coach of the Year
1980 WAC Coach of the Year
1983 WAC Coach of the Year
1984 AFCA Coach of the Year Award
1984 FWAA Coach of the Year Award
1984 WAC Coach of the Year
1990 WAC Coach of the Year
1996 WAC Coach of the Year
