Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
75,2003,NFL,3,76,CAR,Mike Seidman,TE,UCLA,DeWayne Walker
76,2003,NFL,3,82,CAR,Ricky Manning,DB,UCLA,DeWayne Walker
77,2002,NFL,1,31,STL,Robert Thomas,LB,UCLA,DeWayne Walker
78,2002,NFL,2,34,CAR,DeShaun Foster,RB,UCLA,DeWayne Walker
79,2002,NFL,3,92,GNB,Marques Anderson,DB,UCLA,DeWayne Walker
80,2002,NFL,5,147,OAK,Kenyon Coleman,DE,UCLA,DeWayne Walker
81,2002,NFL,6,210,CHI,Bryan Fletcher,TE,UCLA,DeWayne Walker
82,2002,NFL,7,230,WAS,Jeff Grau,C,UCLA,DeWayne Walker
83,2001,NFL,1,25,PHI,Freddie Mitchell,WR,UCLA,DeWayne Walker
84,2000,NFL,4,103,PIT,Danny Farmer,WR,UCLA,DeWayne Walker
85,1999,NFL,1,12,CHI,Cade McNown,QB,UCLA,DeWayne Walker
86,1999,NFL,3,74,PIT,Kris Farris,T,UCLA,DeWayne Walker
87,1999,NFL,3,84,KAN,Larry Atkins,LB,UCLA,DeWayne Walker
88,1998,NFL,1,24,NYG,Shaun Williams,DB,UCLA,DeWayne Walker
89,1998,NFL,3,69,WAS,Skip Hicks,RB,UCLA,DeWayne Walker
90,1998,NFL,7,217,CHI,Chad Overhauser,T,UCLA,DeWayne Walker
91,1996,NFL,1,4,BAL,Jonathan Ogden,T,UCLA,DeWayne Walker
92,1996,NFL,3,80,MIA,Karim Abdul-Jabbar,RB,UCLA,DeWayne Walker
93,1996,NFL,3,90,GNB,Mike Flanagan,C,UCLA,DeWayne Walker
94,1996,NFL,4,98,KAN,Donnie Edwards,LB,UCLA,DeWayne Walker
95,1995,NFL,1,10,SFO,J.J. Stokes,WR,UCLA,DeWayne Walker
96,1995,NFL,5,142,NYJ,Carl Greenwood,DB,UCLA,DeWayne Walker
97,1994,NFL,1,10,ARI,Jamir Miller,LB,UCLA,DeWayne Walker
98,1994,NFL,2,37,PHI,Bruce Walker,NT,UCLA,DeWayne Walker
99,1994,NFL,2,63,SDG,Vaughn Parker,T,UCLA,DeWayne Walker
100,1994,NFL,5,143,NOR,Craig Novitsky,G,UCLA,DeWayne Walker
101,1994,NFL,5,144,PHI,Marvin Goodwin,DB,UCLA,DeWayne Walker
102,1993,NFL,2,30,SEA,Carlton Gray,DB,UCLA,DeWayne Walker
103,1993,NFL,5,122,RAM,Sean LaChapelle,WR,UCLA,DeWayne Walker
104,1993,NFL,5,126,DEN,Kevin Williams,RB,UCLA,DeWayne Walker
105,1993,NFL,7,193,NOR,Othello Henderson,DB,UCLA,DeWayne Walker
106,1992,NFL,1,25,DEN,Tommy Maddox,QB,UCLA,DeWayne Walker
107,1992,NFL,4,90,NWE,Dion Lambert,DB,UCLA,DeWayne Walker
108,1992,NFL,5,113,IND,Maury Toy,RB,UCLA,DeWayne Walker
109,1992,NFL,5,139,BUF,Matt Darby,DB,UCLA,DeWayne Walker
110,1992,NFL,6,148,TAM,James Malone,LB,UCLA,DeWayne Walker
111,1992,NFL,7,185,RAI,Kevin Smith,TE,UCLA,DeWayne Walker
112,1991,NFL,1,2,CLE,Eric Turner,DB,UCLA,DeWayne Walker
113,1991,NFL,2,31,RAM,Roman Phifer,LB,UCLA,DeWayne Walker
114,1991,NFL,8,199,ATL,Randy Austin,TE,UCLA,DeWayne Walker
115,1991,NFL,9,246,MIA,Scott Miller,WR,UCLA,DeWayne Walker
116,1991,NFL,11,288,NYJ,Rocen Keeton,LB,UCLA,DeWayne Walker
117,1990,NFL,5,125,NOR,Charles Arbuckle,TE,UCLA,DeWayne Walker
118,1990,NFL,6,143,SDG,Frank Cornish,C,UCLA,DeWayne Walker
119,1990,NFL,8,208,BUF,Marvcus Patton,LB,UCLA,DeWayne Walker
120,1990,NFL,10,265,BUF,Mike Lodish,NT,UCLA,DeWayne Walker
121,1990,NFL,12,325,GNB,Kirk Maggio,P,UCLA,DeWayne Walker
122,1989,NFL,1,1,DAL,Troy Aikman,QB,UCLA,DeWayne Walker
123,1989,NFL,2,34,PIT,Carnell Lake,DB,UCLA,DeWayne Walker
