Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Player-additional
,Offensive Starters,,,,,,-9999
QB,Matt Hasselbeck,27,3,10,267 for 419 3075 yards 15 td 10 int & 40 rushes for 202 yards and 1 td,,HassMa00
RB,Shaun Alexander,25,2,16,295 rushes for 1175 yards 16 td & 59 catches for 460 yards and 2 td,,AlexSh00
FB,Mack Strong,31,8,12,23 rushes for 94 yards 0 td & 22 catches for 120 yards and 2 td,,StroMa00
WR,Darrell Jackson,24,2,13,62 catches for 877 yards 4 td & 3 rushes for 3 yards and 0 td,,JackDa00
WR,Koren Robinson,22,1,16,78 catches for 1240 yards 5 td & 8 rushes for 56 yards and 0 td,,RobiKo00
TE,Itula Mili,29,4,12,43 catches for 508 yards 2 td,,MiliIt00
LT,Walter Jones*,28,5,14,,,JoneWa00
LG,Chris Gray,32,9,16,,,GrayCh20
C,Robbie Tobeck,32,8,16,,,TobeRo55
RG,Floyd Wedderburn,26,2,10,,,WeddFl20
RT,Floyd Womack,24,1,10,,,WomaFl20
,Defensive Starters,,,,,,-9999
LDE,Lamar King,27,3,12,1.0 sacks 0 interceptions 0 fumbles recovered,,KingLa20
LDT,Chad Eaton,30,6,16,1.0 sacks 0 interceptions 2 fumbles recovered,,EatoCh20
RDT,John Randle,35,12,12,7.0 sacks 0 interceptions 0 fumbles recovered,,RandJo00
RDE,Antonio Cochran,26,3,16,3.0 sacks 1 interception 0 fumbles recovered,,CochAn20
LLB,Marcus Bell,25,2,9,1.0 sacks 0 interceptions 2 fumbles recovered,,BellMa21
MLB,Isaiah Kacyvenski,25,2,9,0.0 sacks 1 interception 0 fumbles recovered,,KacyIs20
RLB,Chad Brown,32,9,8,6.0 sacks 0 interceptions 0 fumbles recovered,,BrowCh04
LCB,Shawn Springs,27,5,15,0.0 sacks 3 interceptions 1 fumble recovered,,SpriSh00
RCB,Ken Lucas,23,1,16,0.0 sacks 3 interceptions 0 fumbles recovered,,LucaKe20
SS,Reggie Tongue,29,6,16,0.0 sacks 5 interceptions 2 fumbles recovered,,TongRe20
FS,Marcus Robertson,33,11,15,0.0 sacks 0 interceptions 2 fumbles recovered,,RobeMa21
