Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
80,1975,NFL,11,282,WAS,Jerry Hackenbruck,DE,Oregon State,Dave Kragthorpe
81,1975,NFL,15,385,RAM,Alvin White,QB,Oregon State,Dave Kragthorpe
82,1973,NFL,7,161,RAM,Steve Brown,LB,Oregon State,Dave Kragthorpe
83,1973,NFL,17,440,PIT,Mike Shannon,DT,Oregon State,Dave Kragthorpe
84,1972,NFL,7,165,NWE,Clark Hoss,TE,Oregon State,Dave Kragthorpe
85,1972,NFL,10,247,CHI,Jack Turnbull,C,Oregon State,Dave Kragthorpe
86,1972,NFL,10,256,BAL,Dave Schilling,RB,Oregon State,Dave Kragthorpe
87,1972,NFL,16,404,PHI,Steve Bielenberg,LB,Oregon State,Dave Kragthorpe
88,1971,NFL,6,138,PIT,Craig Hanneman,DE,Oregon State,Dave Kragthorpe
89,1970,NFL,6,140,NOR,Mel Easley,DB,Oregon State,Dave Kragthorpe
90,1970,NFL,7,168,RAM,Bill Nelson,DT,Oregon State,Dave Kragthorpe
91,1970,NFL,13,313,PIT,Billy Main,RB,Oregon State,Dave Kragthorpe
92,1970,NFL,13,326,HOU,Jess Lewis,LB,Oregon State,Dave Kragthorpe
93,1969,NFL,2,27,BUF,Bill Enyart,RB,Oregon State,Dave Kragthorpe
94,1969,NFL,3,67,ATL,Jon Sandstrom,G,Oregon State,Dave Kragthorpe
95,1969,NFL,7,173,WAS,John Didion,C,Oregon State,Dave Kragthorpe
96,1969,NFL,9,216,DET,Rocky Rasley,G,Oregon State,Dave Kragthorpe
97,1969,NFL,9,229,RAM,Mike Foote,LB,Oregon State,Dave Kragthorpe
98,1968,NFL,3,69,SFO,Skip Vanderbundt,LB,Oregon State,Dave Kragthorpe
99,1968,NFL,8,193,CIN,Harry Gunner,DE,Oregon State,Dave Kragthorpe
100,1968,NFL,9,236,NYJ,Gary Houser,TE,Oregon State,Dave Kragthorpe
101,1967,NFL,2,28,MIN,Bob Grim,WR,Oregon State,Dave Kragthorpe
102,1967,NFL,3,73,PIT,Rocky Freitas,T,Oregon State,Dave Kragthorpe
103,1967,NFL,8,187,NYG,Scott Eaton,DB,Oregon State,Dave Kragthorpe
104,1967,NFL,11,265,NYG,Pete Pifer,FB,Oregon State,Dave Kragthorpe
105,1967,NFL,16,416,DAL,Paul Brothers,QB,Oregon State,Dave Kragthorpe
106,1967,NFL,17,425,DEN,Wayne Valley,T,Oregon State,Dave Kragthorpe
107,1966,AFL,4,30,DEN,Mark Gartung,T,Oregon State,Dave Kragthorpe
