Player,Class,Pos,Summary,Year,School,Coach
Jake Locker*,JR,QB,"230 Cmp, 395 Att, 2800 Yds, 21 TD",2009,Washington,Steve Sarkisian
Ronnie Fouch,SO,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",2009,Washington,Steve Sarkisian
Chris Polk*,FR,RB,"226 Att, 1113 Yds, 4.9 Avg",2009,Washington,Steve Sarkisian
Demitrius Bronson,FR,RB,"19 Att, 89 Yds, 4.7 Avg",2009,Washington,Steve Sarkisian
Johri Fogerson,SO,RB,"17 Rec, 191 Yds, 11.2 Avg",2009,Washington,Steve Sarkisian
Curtis Shaw,SO,RB,"8 Att, 32 Yds, 4.0 Avg",2009,Washington,Steve Sarkisian
Willie Griffin,SO,RB,"3 Att, 11 Yds, 3.7 Avg",2009,Washington,Steve Sarkisian
Paul Homer,SR,RB,"9 Rec, 63 Yds, 7.0 Avg",2009,Washington,Steve Sarkisian
Cole Sager,FR,RB,,2009,Washington,Steve Sarkisian
Jermaine Kearse*,SO,WR,"50 Rec, 866 Yds, 17.3 Avg",2009,Washington,Steve Sarkisian
Devin Aguilar*,SO,WR,"42 Rec, 593 Yds, 14.1 Avg",2009,Washington,Steve Sarkisian
James Johnson*,FR,WR,"39 Rec, 422 Yds, 10.8 Avg",2009,Washington,Steve Sarkisian
Cody Bruns,SO,WR,,2009,Washington,Steve Sarkisian
Jordan Polk,SO,WR,"5 Rec, 42 Yds, 8.4 Avg",2009,Washington,Steve Sarkisian
D'Andre Goodwin,JR,WR,"14 Rec, 227 Yds, 16.2 Avg",2009,Washington,Steve Sarkisian
Kavario Middleton*,SO,TE,"26 Rec, 257 Yds, 9.9 Avg",2009,Washington,Steve Sarkisian
Chris Izbicki,SO,TE,"3 Rec, 7 Yds, 2.3 Avg",2009,Washington,Steve Sarkisian
Ben Ossai*,SR,OL,,2009,Washington,Steve Sarkisian
Gregory Christine*,,OL,,2009,Washington,Steve Sarkisian
Cody Habben*,,OL,,2009,Washington,Steve Sarkisian
Senio Kelemete*,,OL,,2009,Washington,Steve Sarkisian
Ryan Tolar*,,OL,,2009,Washington,Steve Sarkisian
Mykenna Ikehara,,OL,,2009,Washington,Steve Sarkisian
Morgan Rosborough,,OL,,2009,Washington,Steve Sarkisian
Drew Schaefer,,OL,,2009,Washington,Steve Sarkisian
Nick Wood,,OL,,2009,Washington,Steve Sarkisian
Erik Folk,SO,K,,2009,Washington,Steve Sarkisian
Cameron Elisara*,JR,DL,,2009,Washington,Steve Sarkisian
Darrion Jones*,SR,DL,,2009,Washington,Steve Sarkisian
Alameda Ta'Amu*,SO,DL,,2009,Washington,Steve Sarkisian
Daniel Te'o-Nesheim*,SR,DL,,2009,Washington,Steve Sarkisian
Kalani Aldrich,SO,DL,,2009,Washington,Steve Sarkisian
Talia Crichton,FR,DL,,2009,Washington,Steve Sarkisian
Tyrone Duncan,SO,DL,,2009,Washington,Steve Sarkisian
De'Shon Matthews,JR,DL,,2009,Washington,Steve Sarkisian
Everrette Thompson,SO,DL,,2009,Washington,Steve Sarkisian
Fred Wiggs,JR,DL,,2009,Washington,Steve Sarkisian
Andru Pulu,FR,DL,,2009,Washington,Steve Sarkisian
E.J. Savannah*,SR,LB,,2009,Washington,Steve Sarkisian
Donald Butler*,SR,LB,,2009,Washington,Steve Sarkisian
Mason Foster*,JR,LB,,2009,Washington,Steve Sarkisian
Cort Dennison,SO,LB,,2009,Washington,Steve Sarkisian
Joshua Gage,SR,LB,,2009,Washington,Steve Sarkisian
Brandon Huppert,JR,LB,,2009,Washington,Steve Sarkisian
T.J. Poe,SR,LB,,2009,Washington,Steve Sarkisian
Trenton Tuiasosopo,SR,LB,,2009,Washington,Steve Sarkisian
Adam Long*,FR,DB,,2009,Washington,Steve Sarkisian
Nate Williams*,JR,DB,,2009,Washington,Steve Sarkisian
Nathan Fellner*,,DB,,2009,Washington,Steve Sarkisian
Desmond Trufant*,FR,DB,,2009,Washington,Steve Sarkisian
Victor Aiyewa,JR,DB,,2009,Washington,Steve Sarkisian
Nate Fellner,FR,DB,,2009,Washington,Steve Sarkisian
Justin Glenn,FR,DB,,2009,Washington,Steve Sarkisian
Taylor Lappano,FR,DB,,2009,Washington,Steve Sarkisian
Vonzell McDowell,JR,DB,,2009,Washington,Steve Sarkisian
Semisi Tokolahi,FR,DB,,2009,Washington,Steve Sarkisian
Greg Walker,FR,DB,,2009,Washington,Steve Sarkisian
Quinton Richardson,SO,DB,,2009,Washington,Steve Sarkisian
Jason Wells,SR,DB,,2009,Washington,Steve Sarkisian
Will Mahan,JR,P,,2009,Washington,Steve Sarkisian
_ Johnson,,,,2009,Washington,Steve Sarkisian
