Player,Class,Pos,Summary,Year,School,Coach
Marshall Landwehr,JR,LB,,2023,Texas,Steve Sarkisian
Liona Lefau,FR,LB,,2023,Texas,Steve Sarkisian
Tannahill Love,SR,LB,,2023,Texas,Steve Sarkisian
Ben Armstrong,SO,LB,,2023,Texas,Steve Sarkisian
S'Maje Burrell,FR,LB,,2023,Texas,Steve Sarkisian
Michael Flanagan,SO,LB,,2023,Texas,Steve Sarkisian
Derion Gullette,FR,LB,,2023,Texas,Steve Sarkisian
Brady Sarkisian,FR,LB,,2023,Texas,Steve Sarkisian
Winston Smith,SO,LB,,2023,Texas,Steve Sarkisian
BJ Allen Jr.,FR,DB,,2023,Texas,Steve Sarkisian
Jahdae Barron,SR,DB,,2023,Texas,Steve Sarkisian
Morice Blackwell Jr.,JR,DB,,2023,Texas,Steve Sarkisian
X'Avion Brice,FR,DB,,2023,Texas,Steve Sarkisian
Terrance Brooks,SO,DB,,2023,Texas,Steve Sarkisian
Jalen Catalon,SR,DB,,2023,Texas,Steve Sarkisian
Kitan Crawford,SR,DB,,2023,Texas,Steve Sarkisian
Jaylon Guilbeau,SO,DB,,2023,Texas,Steve Sarkisian
Gavin Holmes,JR,DB,,2023,Texas,Steve Sarkisian
Austin Jordan,SO,DB,,2023,Texas,Steve Sarkisian
Jelani McDonald,FR,DB,,2023,Texas,Steve Sarkisian
Malik Muhammad,FR,DB,,2023,Texas,Steve Sarkisian
Warren Roberson,FR,DB,,2023,Texas,Steve Sarkisian
Michael Taaffe,SO,DB,,2023,Texas,Steve Sarkisian
Jerrin Thompson,SR,DB,,2023,Texas,Steve Sarkisian
Larry Turner-Gooden,FR,DB,,2023,Texas,Steve Sarkisian
Ryan Watts,SR,DB,,2023,Texas,Steve Sarkisian
Derek Williams Jr.,FR,DB,,2023,Texas,Steve Sarkisian
Graham Gillespie,SO,DB,,2023,Texas,Steve Sarkisian
Ja'Faar Johnson Jr.,SO,DB,,2023,Texas,Steve Sarkisian
Carson Marshall,SO,DB,,2023,Texas,Steve Sarkisian
Ryan Sanborn,SR,P,,2023,Texas,Steve Sarkisian
Ian Ratliff,FR,P,,2023,Texas,Steve Sarkisian
Lance St. Louis,SO,LS,,2023,Texas,Steve Sarkisian
Tate Haver,FR,LS,,2023,Texas,Steve Sarkisian
Christian Rizzi,JR,LS,,2023,Texas,Steve Sarkisian
