Player,Class,Pos,Summary,Year,School,Coach
Quinn Ewers,JR,QB,"293 Cmp, 445 Att, 3472 Yds, 31 TD",2024,Texas,Steve Sarkisian
Arch Manning,FR,QB,"61 Cmp, 90 Att, 939 Yds, 9 TD",2024,Texas,Steve Sarkisian
Trey Owens,FR,QB,"2 Cmp, 4 Att, 19 Yds, 0 TD",2024,Texas,Steve Sarkisian
Cole Lourd,SR,QB,,2024,Texas,Steve Sarkisian
Joe Tatum,JR,QB,,2024,Texas,Steve Sarkisian
Tre Wisner,SO,RB,"226 Att, 1064 Yds, 4.7 Avg",2024,Texas,Steve Sarkisian
Jaydon Blue,JR,RB,"134 Att, 730 Yds, 5.4 Avg",2024,Texas,Steve Sarkisian
Jerrick Gibson,FR,RB,"78 Att, 377 Yds, 4.8 Avg",2024,Texas,Steve Sarkisian
Colin Page,JR,RB,"18 Att, 99 Yds, 5.5 Avg",2024,Texas,Steve Sarkisian
Velton Gardner,SR,RB,"8 Att, 26 Yds, 3.3 Avg",2024,Texas,Steve Sarkisian
Reid Watkins,FR,RB,"4 Att, 15 Yds, 3.8 Avg",2024,Texas,Steve Sarkisian
CJ Baxter,SO,RB,,2024,Texas,Steve Sarkisian
Christian Clark,FR,RB,,2024,Texas,Steve Sarkisian
Nik Sanders,FR,RB,,2024,Texas,Steve Sarkisian
Matthew Golden,JR,WR,"58 Rec, 987 Yds, 17.0 Avg",2024,Texas,Steve Sarkisian
Ryan Niblett,FR,WR,"3 Rec, 24 Yds, 8.0 Avg",2024,Texas,Steve Sarkisian
Ryan Wingo,FR,WR,"29 Rec, 472 Yds, 16.3 Avg",2024,Texas,Steve Sarkisian
Isaiah Bond,JR,WR,"34 Rec, 540 Yds, 15.9 Avg",2024,Texas,Steve Sarkisian
Silas Bolden,SR,WR,"23 Rec, 267 Yds, 11.6 Avg",2024,Texas,Steve Sarkisian
DeAndre Moore Jr.,SO,WR,"39 Rec, 456 Yds, 11.7 Avg",2024,Texas,Steve Sarkisian
Johntay Cook II,SO,WR,"8 Rec, 137 Yds, 17.1 Avg",2024,Texas,Steve Sarkisian
Rett Andersen,SO,WR,,2024,Texas,Steve Sarkisian
Aaron Butler,FR,WR,,2024,Texas,Steve Sarkisian
Parker Livingstone,FR,WR,,2024,Texas,Steve Sarkisian
Hamilton McMartin,JR,WR,,2024,Texas,Steve Sarkisian
Quinn Merritt,JR,WR,,2024,Texas,Steve Sarkisian
Thatcher Milton,SR,WR,,2024,Texas,Steve Sarkisian
Remy Patson,JR,WR,,2024,Texas,Steve Sarkisian
Reece Beauchamp,JR,WR,,2024,Texas,Steve Sarkisian
Ty Boatright,SO,WR,,2024,Texas,Steve Sarkisian
Bryce Chambers,SO,WR,,2024,Texas,Steve Sarkisian
Freddie Dubose,FR,WR,,2024,Texas,Steve Sarkisian
Hudson Powell,FR,WR,,2024,Texas,Steve Sarkisian
Gunnar Helm,SR,TE,"60 Rec, 786 Yds, 13.1 Avg",2024,Texas,Steve Sarkisian
Juan Davis,SR,TE,"9 Rec, 54 Yds, 6.0 Avg",2024,Texas,Steve Sarkisian
Amari Niblack,JR,TE,"5 Rec, 33 Yds, 6.6 Avg",2024,Texas,Steve Sarkisian
Spencer Shannon,FR,TE,,2024,Texas,Steve Sarkisian
Jordan Washington,FR,TE,,2024,Texas,Steve Sarkisian
Ridge Barker,FR,TE,,2024,Texas,Steve Sarkisian
Will Randle,FR,TE,,2024,Texas,Steve Sarkisian
Malik Agbo,SO,OL,,2024,Texas,Steve Sarkisian
Brandon Baker,FR,OL,,2024,Texas,Steve Sarkisian
Kelvin Banks Jr.,JR,OL,,2024,Texas,Steve Sarkisian
DJ Campbell,JR,OL,,2024,Texas,Steve Sarkisian
Jaydon Chatman,FR,OL,,2024,Texas,Steve Sarkisian
Andre Cojoe,FR,OL,,2024,Texas,Steve Sarkisian
Hayden Conner,SR,OL,,2024,Texas,Steve Sarkisian
Trevor Goosby,FR,OL,,2024,Texas,Steve Sarkisian
Cole Hutson,JR,OL,,2024,Texas,Steve Sarkisian
Jake Majors,SR,OL,,2024,Texas,Steve Sarkisian
Connor Robertson,SO,OL,,2024,Texas,Steve Sarkisian
Neto Umeozulu,SO,OL,,2024,Texas,Steve Sarkisian
Cameron Williams,JR,OL,,2024,Texas,Steve Sarkisian
Daniel Cruz,FR,OL,,2024,Texas,Steve Sarkisian
Nate Kibble,FR,OL,,2024,Texas,Steve Sarkisian
Brooks Kieschnick Jr.,SO,OL,,2024,Texas,Steve Sarkisian
Patrick McBroom,JR,OL,,2024,Texas,Steve Sarkisian
Max Merril,JR,OL,,2024,Texas,Steve Sarkisian
Connor Stroh,FR,OL,,2024,Texas,Steve Sarkisian
Robert Sweeney,SO,OL,,2024,Texas,Steve Sarkisian
Bert Auburn,SR,K,,2024,Texas,Steve Sarkisian
Will Stone,JR,K,,2024,Texas,Steve Sarkisian
Charles Feris,JR,K,,2024,Texas,Steve Sarkisian
Tausili Akana,FR,DL,,2024,Texas,Steve Sarkisian
Dorian Black,SR,DL,,2024,Texas,Steve Sarkisian
Jaray Bledsoe,SO,DL,,2024,Texas,Steve Sarkisian
Vernon Broughton,SR,DL,,2024,Texas,Steve Sarkisian
Aaron Bryant,SO,DL,,2024,Texas,Steve Sarkisian
Ethan Burke,JR,DL,,2024,Texas,Steve Sarkisian
Alfred Collins,SR,DL,,2024,Texas,Steve Sarkisian
Justice Finkley,JR,DL,,2024,Texas,Steve Sarkisian
Alex January,FR,DL,,2024,Texas,Steve Sarkisian
Jermayne Lole,SR,DL,,2024,Texas,Steve Sarkisian
Sydir Mitchell,FR,DL,,2024,Texas,Steve Sarkisian
Trey Moore,JR,DL,,2024,Texas,Steve Sarkisian
Bill Norton,SR,DL,,2024,Texas,Steve Sarkisian
Tiaoalii Savea,SR,DL,,2024,Texas,Steve Sarkisian
Colin Simmons,FR,DL,,2024,Texas,Steve Sarkisian
Barryn Sorrell,SR,DL,,2024,Texas,Steve Sarkisian
Zina Umeozulu,FR,DL,,2024,Texas,Steve Sarkisian
Colton Vasek,FR,DL,,2024,Texas,Steve Sarkisian
Melvin Hills III,FR,DL,,2024,Texas,Steve Sarkisian
David Gbenda,SR,LB,,2024,Texas,Steve Sarkisian
Derion Gullette,FR,LB,,2024,Texas,Steve Sarkisian
Anthony Hill Jr.,SO,LB,,2024,Texas,Steve Sarkisian
Marshall Landwehr,SR,LB,,2024,Texas,Steve Sarkisian
Liona Lefau,SO,LB,,2024,Texas,Steve Sarkisian
Brady Sarkisian,SO,LB,,2024,Texas,Steve Sarkisian
Ty'Anthony Smith,FR,LB,,2024,Texas,Steve Sarkisian
Michael Flanagan,JR,LB,,2024,Texas,Steve Sarkisian
Jahdae Barron,SR,DB,,2024,Texas,Steve Sarkisian
Kobe Black,FR,DB,,2024,Texas,Steve Sarkisian
Morice Blackwell Jr.,SR,DB,,2024,Texas,Steve Sarkisian
Jay'Vion Cole,JR,DB,,2024,Texas,Steve Sarkisian
Xavier Filsaime,FR,DB,,2024,Texas,Steve Sarkisian
Graham Gillespie,JR,DB,,2024,Texas,Steve Sarkisian
Jaylon Guilbeau,JR,DB,,2024,Texas,Steve Sarkisian
Gavin Holmes,SR,DB,,2024,Texas,Steve Sarkisian
Jordan Johnson-Rubell,FR,DB,,2024,Texas,Steve Sarkisian
Wardell Mack,FR,DB,,2024,Texas,Steve Sarkisian
Carson Marshall,JR,DB,,2024,Texas,Steve Sarkisian
Jelani McDonald,SO,DB,,2024,Texas,Steve Sarkisian
Malik Muhammad,SO,DB,,2024,Texas,Steve Sarkisian
Andrew Mukuba,SR,DB,,2024,Texas,Steve Sarkisian
Warren Roberson,FR,DB,,2024,Texas,Steve Sarkisian
Michael Taaffe,JR,DB,,2024,Texas,Steve Sarkisian
Derek Williams Jr.,SO,DB,,2024,Texas,Steve Sarkisian
McCoy Bruce,FR,DB,,2024,Texas,Steve Sarkisian
Jackson Duffey,FR,DB,,2024,Texas,Steve Sarkisian
Eric Garza,FR,DB,,2024,Texas,Steve Sarkisian
Ziky Umeozulu,FR,DB,,2024,Texas,Steve Sarkisian
Santana Wilson,FR,DB,,2024,Texas,Steve Sarkisian
Michael Kern,FR,P,,2024,Texas,Steve Sarkisian
Ian Ratliff,SO,P,,2024,Texas,Steve Sarkisian
Spencer Barnett,FR,P,,2024,Texas,Steve Sarkisian
Tate Haver,SO,LS,,2024,Texas,Steve Sarkisian
Lance St. Louis,JR,LS,,2024,Texas,Steve Sarkisian
Christian Rizzi,SR,LS,,2024,Texas,Steve Sarkisian
