Player,Class,Pos,Summary,Year,School,Coach
Keith Price,JR,QB,"263 Cmp, 432 Att, 2728 Yds, 19 TD",2012,Washington,Steve Sarkisian
Derrick Brown,FR,QB,"2 Cmp, 5 Att, 23 Yds, 0 TD",2012,Washington,Steve Sarkisian
Cole Sager,SR,RB,,2012,Washington,Steve Sarkisian
Bishop Sankey,SO,RB,"289 Att, 1439 Yds, 5.0 Avg",2012,Washington,Steve Sarkisian
Dezden Petty,FR,RB,"29 Att, 99 Yds, 3.4 Avg",2012,Washington,Steve Sarkisian
Erich Wilson,FR,RB,"25 Att, 140 Yds, 5.6 Avg",2012,Washington,Steve Sarkisian
Willis Wilson,SO,RB,"4 Att, 6 Yds, 1.5 Avg",2012,Washington,Steve Sarkisian
Jesse Callier,JR,RB,"2 Rec, 8 Yds, 4.0 Avg",2012,Washington,Steve Sarkisian
Erich Wilson II,,RB,"25 Att, 140 Yds, 5.6 Avg",2012,Washington,Steve Sarkisian
Kendyl Taylor,FR,WR,"14 Rec, 110 Yds, 7.9 Avg",2012,Washington,Steve Sarkisian
Jaydon Mickens,FR,WR,"20 Rec, 190 Yds, 9.5 Avg",2012,Washington,Steve Sarkisian
Cody Bruns,SR,WR,"13 Rec, 103 Yds, 7.9 Avg",2012,Washington,Steve Sarkisian
Marvin Hall,FR,WR,"2 Rec, 21 Yds, 10.5 Avg",2012,Washington,Steve Sarkisian
Kasen Williams,SO,WR,"77 Rec, 878 Yds, 11.4 Avg",2012,Washington,Steve Sarkisian
Diandre Campbell,SO,WR,"16 Rec, 167 Yds, 10.4 Avg",2012,Washington,Steve Sarkisian
Kevin Smith,JR,WR,"6 Rec, 68 Yds, 11.3 Avg",2012,Washington,Steve Sarkisian
Joshua Perkins,FR,TE,,2012,Washington,Steve Sarkisian
Austin Seferian-Jenkins,SO,TE,"69 Rec, 852 Yds, 12.3 Avg",2012,Washington,Steve Sarkisian
Michael Hartvigson,SO,TE,"6 Rec, 55 Yds, 9.2 Avg",2012,Washington,Steve Sarkisian
Evan Hudson,SO,TE,"5 Rec, 31 Yds, 6.2 Avg",2012,Washington,Steve Sarkisian
Mike Criste,SO,OL,,2012,Washington,Steve Sarkisian
Micah Hatchie,SO,OL,,2012,Washington,Steve Sarkisian
Ryan Masel,FR,OL,,2012,Washington,Steve Sarkisian
Travis Coons,JR,K,,2012,Washington,Steve Sarkisian
Josh Banks,JR,DL,,2012,Washington,Steve Sarkisian
Talia Crichton,SR,DL,,2012,Washington,Steve Sarkisian
Jarett Finau,FR,DL,,2012,Washington,Steve Sarkisian
Andrew Hudson,SO,DL,,2012,Washington,Steve Sarkisian
Lawrence Lagafuaina,SO,DL,,2012,Washington,Steve Sarkisian
Sione Potoa'E,JR,DL,,2012,Washington,Steve Sarkisian
Danny Shelton,SO,DL,,2012,Washington,Steve Sarkisian
Josh Shirley,SO,DL,,2012,Washington,Steve Sarkisian
Pio Vatuvei,FR,DL,,2012,Washington,Steve Sarkisian
Nate Fellner,SR,LB,,2012,Washington,Steve Sarkisian
Princeton Fuimaono,JR,LB,,2012,Washington,Steve Sarkisian
Jamaal Kearse,SO,LB,,2012,Washington,Steve Sarkisian
Cory Littleton,FR,LB,,2012,Washington,Steve Sarkisian
Cory Littleton,FR,LB,,2012,Washington,Steve Sarkisian
Taz Stevenson,JR,LB,,2012,Washington,Steve Sarkisian
Thomas Tutogi,JR,LB,,2012,Washington,Steve Sarkisian
Jonathan Amosa,SR,LB,,2012,Washington,Steve Sarkisian
Travis Feeney,FR,LB,,2012,Washington,Steve Sarkisian
John Timu,SO,LB,,2012,Washington,Steve Sarkisian
Anthony Gobern,SR,DB,,2012,Washington,Steve Sarkisian
Adam Long,SR,DB,,2012,Washington,Steve Sarkisian
Will Shamburger,JR,DB,,2012,Washington,Steve Sarkisian
Semisi Tokolahi,SR,DB,,2012,Washington,Steve Sarkisian
Sean Parker,JR,DB,,2012,Washington,Steve Sarkisian
Gregory Ducre,JR,DB,,2012,Washington,Steve Sarkisian
Justin Glenn,SR,DB,,2012,Washington,Steve Sarkisian
Marcus Peters,FR,DB,,2012,Washington,Steve Sarkisian
Shaq Thompson,FR,DB,,2012,Washington,Steve Sarkisian
Desmond Trufant,SR,DB,,2012,Washington,Steve Sarkisian
Tre Watson,JR,DB,,2012,Washington,Steve Sarkisian
Korey Durkee,FR,P,,2012,Washington,Steve Sarkisian
