Player,Class,Pos,Summary,Year,School,Coach
Mike Dorff,,LB,,1986,Long Beach State,Mike Sheppard
Mauricio Gutierrez,,LB,,1986,Long Beach State,Mike Sheppard
Ron Knight,,LB,,1986,Long Beach State,Mike Sheppard
Phillip Morrison,,LB,,1986,Long Beach State,Mike Sheppard
Steve Rahon,,LB,,1986,Long Beach State,Mike Sheppard
Stacey Alexander,,DB,,1986,Long Beach State,Mike Sheppard
Roger Beavers,,DB,,1986,Long Beach State,Mike Sheppard
Stan Davis,,DB,,1986,Long Beach State,Mike Sheppard
Val James,,DB,,1986,Long Beach State,Mike Sheppard
Lane McCarthy,,DB,,1986,Long Beach State,Mike Sheppard
Gene Lemmers,,P,,1986,Long Beach State,Mike Sheppard
Dana Ramsey,,P,,1986,Long Beach State,Mike Sheppard
Dave Verette,,KR,,1986,Long Beach State,Mike Sheppard
Barry Garrison,,QB,"277 Cmp, 489 Att, 3163 Yds, 17 TD",1987,New Mexico,Mike Sheppard
Duffy Daugherty,,QB,"7 Cmp, 24 Att, 67 Yds, 0 TD",1987,New Mexico,Mike Sheppard
Shane Hall,,RB,"83 Att, 315 Yds, 3.8 Avg",1987,New Mexico,Mike Sheppard
Scott Howard,,RB,"65 Att, 301 Yds, 4.6 Avg",1987,New Mexico,Mike Sheppard
Reggie Rodgers,,RB,"44 Att, 108 Yds, 2.5 Avg",1987,New Mexico,Mike Sheppard
Tony Jones,,RB,"38 Att, 143 Yds, 3.8 Avg",1987,New Mexico,Mike Sheppard
Aaron Givens,,RB,,1987,New Mexico,Mike Sheppard
Terance Mathis,,WR,"73 Rec, 1132 Yds, 15.5 Avg",1987,New Mexico,Mike Sheppard
Al Owens,,WR,"27 Rec, 439 Yds, 16.3 Avg",1987,New Mexico,Mike Sheppard
Mike Henderson,,WR,"19 Rec, 235 Yds, 12.4 Avg",1987,New Mexico,Mike Sheppard
Kerry Maull,,WR,"3 Rec, 31 Yds, 10.3 Avg",1987,New Mexico,Mike Sheppard
Thomas Crum,,WR,"2 Rec, 14 Yds, 7.0 Avg",1987,New Mexico,Mike Sheppard
John Duff,,TE,"51 Rec, 701 Yds, 13.7 Avg",1987,New Mexico,Mike Sheppard
Guy Collura,,OL,,1987,New Mexico,Mike Sheppard
Jeff Howes,,OL,,1987,New Mexico,Mike Sheppard
Rick Walsh,,K,,1987,New Mexico,Mike Sheppard
Musa Kannike,,DL,,1987,New Mexico,Mike Sheppard
Kirk Allen,,LB,,1987,New Mexico,Mike Sheppard
Clay Orrison,,LB,,1987,New Mexico,Mike Sheppard
Troy Clewis,,DB,,1987,New Mexico,Mike Sheppard
Brett Heber,,DB,,1987,New Mexico,Mike Sheppard
Randy Johnson,,DB,,1987,New Mexico,Mike Sheppard
Danny Lara,,DB,,1987,New Mexico,Mike Sheppard
Steve Albrecht,,P,,1987,New Mexico,Mike Sheppard
Charleston Fobbs,,,,1987,New Mexico,Mike Sheppard
Jeremy Leach,,QB,"165 Cmp, 323 Att, 1986 Yds, 10 TD",1988,New Mexico,Mike Sheppard
Ed Larson,,QB,"24 Cmp, 67 Att, 299 Yds, 1 TD",1988,New Mexico,Mike Sheppard
Carl Thompson,,QB,"2 Cmp, 5 Att, 15 Yds, 0 TD",1988,New Mexico,Mike Sheppard
Derek Coffman,,QB,,1988,New Mexico,Mike Sheppard
Andre Wooten,,RB,"160 Att, 801 Yds, 5.0 Avg",1988,New Mexico,Mike Sheppard
Scott Howard,,RB,"56 Att, 154 Yds, 2.8 Avg",1988,New Mexico,Mike Sheppard
Willie Owens,,RB,"50 Att, 235 Yds, 4.7 Avg",1988,New Mexico,Mike Sheppard
Myron Ashley,,RB,"20 Att, 30 Yds, 1.5 Avg",1988,New Mexico,Mike Sheppard
Aaron Givens,,RB,"6 Att, 25 Yds, 4.2 Avg",1988,New Mexico,Mike Sheppard
Ralph Johnson,,RB,"6 Att, 12 Yds, 2.0 Avg",1988,New Mexico,Mike Sheppard
Tony Jones,,RB,"20 Rec, 313 Yds, 15.7 Avg",1988,New Mexico,Mike Sheppard
Mike Henderson,,WR,"30 Rec, 336 Yds, 11.2 Avg",1988,New Mexico,Mike Sheppard
Al Owens,,WR,"49 Rec, 774 Yds, 15.8 Avg",1988,New Mexico,Mike Sheppard
Tony Kemp,,WR,"5 Rec, 55 Yds, 11.0 Avg",1988,New Mexico,Mike Sheppard
Tori Brown,,WR,"4 Rec, 89 Yds, 22.3 Avg",1988,New Mexico,Mike Sheppard
Jeff Scott,,WR,"1 Rec, 7 Yds, 7.0 Avg",1988,New Mexico,Mike Sheppard
John Duff,,TE,"26 Rec, 394 Yds, 15.2 Avg",1988,New Mexico,Mike Sheppard
Mitch White,,TE,"7 Rec, 101 Yds, 14.4 Avg",1988,New Mexico,Mike Sheppard
Mark Moores,,OL,,1988,New Mexico,Mike Sheppard
Jeff Howes,,OL,,1988,New Mexico,Mike Sheppard
Rick Walsh,,K,,1988,New Mexico,Mike Sheppard
Rick Tiedemann,,LB,,1988,New Mexico,Mike Sheppard
Steve Webster,,LB,,1988,New Mexico,Mike Sheppard
Darius Harris,,DB,,1988,New Mexico,Mike Sheppard
Donald Levingston,,DB,,1988,New Mexico,Mike Sheppard
Jimmy Marshall,,DB,,1988,New Mexico,Mike Sheppard
Dion Morrow,,DB,,1988,New Mexico,Mike Sheppard
James Stewart,,DB,,1988,New Mexico,Mike Sheppard
Mike Thomas,,DB,,1988,New Mexico,Mike Sheppard
Dane O'Neal,,P,,1988,New Mexico,Mike Sheppard
Jeremy Leach,,QB,"282 Cmp, 511 Att, 3573 Yds, 22 TD",1989,New Mexico,Mike Sheppard
Marcus Goodloe,,QB,"6 Cmp, 17 Att, 110 Yds, 1 TD",1989,New Mexico,Mike Sheppard
Willie Gardner,,QB,"1 Cmp, 1 Att, 4 Yds, 0 TD",1989,New Mexico,Mike Sheppard
Dion Morrow,,RB,"148 Att, 664 Yds, 4.5 Avg",1989,New Mexico,Mike Sheppard
Aaron Givens,,RB,"44 Att, 151 Yds, 3.4 Avg",1989,New Mexico,Mike Sheppard
Derek Coffman,,RB,"39 Att, 198 Yds, 5.1 Avg",1989,New Mexico,Mike Sheppard
Myron Ashley,,RB,"36 Att, 70 Yds, 1.9 Avg",1989,New Mexico,Mike Sheppard
Marcellus Davis,,RB,"9 Att, 36 Yds, 4.0 Avg",1989,New Mexico,Mike Sheppard
Brian Balkey,,RB,"9 Att, 24 Yds, 2.7 Avg",1989,New Mexico,Mike Sheppard
Karnell Hollins,,RB,"7 Att, 3 Yds, 0.4 Avg",1989,New Mexico,Mike Sheppard
Chris McCray,,RB,"1 Att, 3 Yds, 3.0 Avg",1989,New Mexico,Mike Sheppard
Terance Mathis,,WR,"88 Rec, 1315 Yds, 14.9 Avg",1989,New Mexico,Mike Sheppard
Eric Morgan,,WR,"56 Rec, 763 Yds, 13.6 Avg",1989,New Mexico,Mike Sheppard
Mike Henderson,,WR,"37 Rec, 546 Yds, 14.8 Avg",1989,New Mexico,Mike Sheppard
