Player,Class,Pos,Summary,Year,School,Coach
Travis Wilson,JR,QB,"190 Cmp, 313 Att, 2170 Yds, 18 TD",2014,Utah,Kyle Whittingham
Kendal Thompson,JR,QB,"32 Cmp, 52 Att, 324 Yds, 2 TD",2014,Utah,Kyle Whittingham
Conner Manning,FR,QB,"2 Cmp, 6 Att, 28 Yds, 0 TD",2014,Utah,Kyle Whittingham
Brandon Cox,FR,QB,"3 Cmp, 3 Att, 17 Yds, 0 TD",2014,Utah,Kyle Whittingham
Adam Schulz,JR,QB,"2 Cmp, 2 Att, 31 Yds, 0 TD",2014,Utah,Kyle Whittingham
Jason Thompson,JR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",2014,Utah,Kyle Whittingham
Devontae Booker,JR,RB,"292 Att, 1512 Yds, 5.2 Avg",2014,Utah,Kyle Whittingham
Bubba Poole,JR,RB,"49 Att, 211 Yds, 4.3 Avg",2014,Utah,Kyle Whittingham
Troy McCormick,FR,RB,"30 Att, 178 Yds, 5.9 Avg",2014,Utah,Kyle Whittingham
Dre'Vian Young,FR,RB,"4 Att, 14 Yds, 3.5 Avg",2014,Utah,Kyle Whittingham
Andrew Fletcher,JR,RB,,2014,Utah,Kyle Whittingham
Tavaris Williams,FR,RB,,2014,Utah,Kyle Whittingham
Kaelin Clay,SR,WR,"43 Rec, 523 Yds, 12.2 Avg",2014,Utah,Kyle Whittingham
Dres Anderson,SR,WR,"22 Rec, 355 Yds, 16.1 Avg",2014,Utah,Kyle Whittingham
Delshawn McClellon,SO,WR,"7 Rec, 98 Yds, 14.0 Avg",2014,Utah,Kyle Whittingham
Dominique Hatfield,SO,WR,"1 Rec, 9 Yds, 9.0 Avg",2014,Utah,Kyle Whittingham
Kenneth Scott,JR,WR,"48 Rec, 506 Yds, 10.5 Avg",2014,Utah,Kyle Whittingham
Tim Patrick,JR,WR,"16 Rec, 177 Yds, 11.1 Avg",2014,Utah,Kyle Whittingham
Jameson Field,FR,WR,"1 Rec, 17 Yds, 17.0 Avg",2014,Utah,Kyle Whittingham
Andre Lewis,SR,WR,"1 Rec, 45 Yds, 45.0 Avg",2014,Utah,Kyle Whittingham
Kenric Young,FR,WR,"1 Rec, -1 Yds, -1.0 Avg",2014,Utah,Kyle Whittingham
Brian Allen,SO,WR,,2014,Utah,Kyle Whittingham
Tyler Cooperwood,JR,WR,,2014,Utah,Kyle Whittingham
Geoffrey Norwood,SR,WR,,2014,Utah,Kyle Whittingham
Ryan Petersen,SR,WR,,2014,Utah,Kyle Whittingham
Westlee Tonga,SR,TE,"30 Rec, 391 Yds, 13.0 Avg",2014,Utah,Kyle Whittingham
Siale Fakailoatonga,SO,TE,"2 Rec, 33 Yds, 16.5 Avg",2014,Utah,Kyle Whittingham
Wallace Gonzalez,FR,TE,,2014,Utah,Kyle Whittingham
J.J. Dielman,SO,OL,,2014,Utah,Kyle Whittingham
Christian Drews,FR,LB,,2014,Utah,Kyle Whittingham
Jacoby Hale,SR,LB,,2014,Utah,Kyle Whittingham
Tanner Larsen,FR,LB,,2014,Utah,Kyle Whittingham
Uaea Masina,SO,LB,,2014,Utah,Kyle Whittingham
Jared Norris,JR,LB,,2014,Utah,Kyle Whittingham
Gionni Paul,JR,LB,,2014,Utah,Kyle Whittingham
Marcus Sanders-Williams,SO,LB,,2014,Utah,Kyle Whittingham
Sharrieff Shah,SO,LB,,2014,Utah,Kyle Whittingham
Jason Whittingham,JR,LB,,2014,Utah,Kyle Whittingham
Brian Blechen,SR,DB,,2014,Utah,Kyle Whittingham
Tevin Carter,SR,DB,,2014,Utah,Kyle Whittingham
Wykie Freeman,SR,DB,,2014,Utah,Kyle Whittingham
Andre Godfrey,FR,DB,,2014,Utah,Kyle Whittingham
Charles Henderson,JR,DB,,2014,Utah,Kyle Whittingham
Travonne Hobbs,FR,DB,,2014,Utah,Kyle Whittingham
Chandler Johnson,SR,DB,,2014,Utah,Kyle Whittingham
Danny McCormick,FR,DB,,2014,Utah,Kyle Whittingham
Nick Mika,FR,DB,,2014,Utah,Kyle Whittingham
Davion Orphey,SR,DB,,2014,Utah,Kyle Whittingham
Eric Rowe,SR,DB,,2014,Utah,Kyle Whittingham
Monte Seabrook,FR,DB,,2014,Utah,Kyle Whittingham
Mo Talley,SO,DB,,2014,Utah,Kyle Whittingham
Justin Thomas,SO,DB,,2014,Utah,Kyle Whittingham
Marcus Williams,FR,DB,,2014,Utah,Kyle Whittingham
Tom Hackett,JR,P,,2014,Utah,Kyle Whittingham
Chris Van Orden,SR,P,,2014,Utah,Kyle Whittingham
Andy Phillips,SO,KR,,2014,Utah,Kyle Whittingham
Hunter Dimick,SO,DE,,2014,Utah,Kyle Whittingham
Chase Dominguez,SO,LS,,2014,Utah,Kyle Whittingham
Jason Fanaika,JR,DE,,2014,Utah,Kyle Whittingham
Viliseni Fauonuku,JR,DT,,2014,Utah,Kyle Whittingham
Sese Ianu,SR,DT,,2014,Utah,Kyle Whittingham
Lowell Lotulelei,FR,DT,,2014,Utah,Kyle Whittingham
Filipo Mokofisi,FR,DT,,2014,Utah,Kyle Whittingham
Nate Orchard,SR,DE,,2014,Utah,Kyle Whittingham
Greg Reese,SR,DE,,2014,Utah,Kyle Whittingham
Clint Shepard,JR,DT,,2014,Utah,Kyle Whittingham
Clarence Smith,FR,DE,,2014,Utah,Kyle Whittingham
Pita Taumoepenu,SO,DE,,2014,Utah,Kyle Whittingham
Stevie Tu'Ikolovatu,SO,DT,,2014,Utah,Kyle Whittingham
