Player,Class,Pos,Summary,Year,School,Coach
Brett Ratliff,SR,QB,"228 Cmp, 391 Att, 2796 Yds, 23 TD",2006,Utah,Kyle Whittingham
Tommy Grady,JR,QB,"7 Cmp, 14 Att, 102 Yds, 1 TD",2006,Utah,Kyle Whittingham
Kevin Dunn,FR,QB,,2006,Utah,Kyle Whittingham
Brady Phillips,FR,RB,,2006,Utah,Kyle Whittingham
Darryl Poston,SR,RB,"146 Att, 557 Yds, 3.8 Avg",2006,Utah,Kyle Whittingham
Darrell Mack,SO,RB,"43 Att, 173 Yds, 4.0 Avg",2006,Utah,Kyle Whittingham
Mike Liti,JR,RB,"37 Att, 183 Yds, 4.9 Avg",2006,Utah,Kyle Whittingham
R.J. Stanford,FR,RB,"11 Att, 48 Yds, 4.4 Avg",2006,Utah,Kyle Whittingham
Ray Stowers,SO,RB,"5 Att, 23 Yds, 4.6 Avg",2006,Utah,Kyle Whittingham
Fano Tagovailoa,SR,WR,"1 Rec, 35 Yds, 35.0 Avg",2006,Utah,Kyle Whittingham
Brent Casteel,SO,WR,"39 Rec, 600 Yds, 15.4 Avg",2006,Utah,Kyle Whittingham
Sean Smith,FR,WR,"1 Rec, 12 Yds, 12.0 Avg",2006,Utah,Kyle Whittingham
Marquis Wilson,SO,WR,"25 Rec, 398 Yds, 15.9 Avg",2006,Utah,Kyle Whittingham
Derrek Richards,JR,WR,"60 Rec, 717 Yds, 12.0 Avg",2006,Utah,Kyle Whittingham
Brian Hernandez,JR,WR,"47 Rec, 424 Yds, 9.0 Avg",2006,Utah,Kyle Whittingham
Bradon Godfrey,SO,WR,"22 Rec, 360 Yds, 16.4 Avg",2006,Utah,Kyle Whittingham
Freddie Brown,SO,WR,"17 Rec, 196 Yds, 11.5 Avg",2006,Utah,Kyle Whittingham
Jason Voss,SR,TE,,2006,Utah,Kyle Whittingham
Matt Sims,JR,TE,"4 Rec, 62 Yds, 15.5 Avg",2006,Utah,Kyle Whittingham
Colt Sampson,JR,TE,"3 Rec, 18 Yds, 6.0 Avg",2006,Utah,Kyle Whittingham
Zane Beadles,FR,OL,,2006,Utah,Kyle Whittingham
Corey Seiuli,SO,OL,,2006,Utah,Kyle Whittingham
Louie Sakoda,SO,K,,2006,Utah,Kyle Whittingham
Martail Burnett,JR,DL,,2006,Utah,Kyle Whittingham
Kenape Eliapo,FR,DL,,2006,Utah,Kyle Whittingham
Soli Lefiti,SR,DL,,2006,Utah,Kyle Whittingham
Gabe Long,JR,DL,,2006,Utah,Kyle Whittingham
Greg Newman,SO,DL,,2006,Utah,Kyle Whittingham
Alex Puccinelli,JR,DL,,2006,Utah,Kyle Whittingham
Paul Soliai,SR,DL,,2006,Utah,Kyle Whittingham
Casey Sutera,JR,DL,,2006,Utah,Kyle Whittingham
Kelly Talavou,SR,DL,,2006,Utah,Kyle Whittingham
Zeke Wily,FR,DL,,2006,Utah,Kyle Whittingham
Kyle Brady,JR,LB,,2006,Utah,Kyle Whittingham
Loma Olevao,JR,LB,,2006,Utah,Kyle Whittingham
Mike Wright,FR,LB,,2006,Utah,Kyle Whittingham
Joe Jiannoni,JR,LB,,2006,Utah,Kyle Whittingham
Malakai Mokofisi,JR,LB,,2006,Utah,Kyle Whittingham
Stevenson Sylvester,FR,LB,,2006,Utah,Kyle Whittingham
J.J. Williams,FR,LB,,2006,Utah,Kyle Whittingham
Eric Weddle,SR,DB,,2006,Utah,Kyle Whittingham
Joe Dale,FR,DB,,2006,Utah,Kyle Whittingham
Casey Evans,SR,DB,,2006,Utah,Kyle Whittingham
Justin Jones,FR,DB,,2006,Utah,Kyle Whittingham
Clint Mower,SO,DB,,2006,Utah,Kyle Whittingham
R.J. Rice,SO,DB,,2006,Utah,Kyle Whittingham
Mombroso Washington,JR,DB,,2006,Utah,Kyle Whittingham
Elijah Wesson,FR,DB,,2006,Utah,Kyle Whittingham
Shaun Harper,SR,DB,,2006,Utah,Kyle Whittingham
Brice McCain,SO,DB,,2006,Utah,Kyle Whittingham
Eric Shyne,SR,DB,,2006,Utah,Kyle Whittingham
Steve Tate,JR,DB,,2006,Utah,Kyle Whittingham
