Player,Class,Pos,Summary,Year,School,Coach
Travis Wilson,FR,QB,"127 Cmp, 203 Att, 1311 Yds, 7 TD",2012,Utah,Kyle Whittingham
Jon Hays,SR,QB,"63 Cmp, 104 Att, 653 Yds, 7 TD",2012,Utah,Kyle Whittingham
Jordan Wynn,JR,QB,"25 Cmp, 38 Att, 247 Yds, 2 TD",2012,Utah,Kyle Whittingham
Adam Schulz,FR,QB,"2 Cmp, 2 Att, 52 Yds, 0 TD",2012,Utah,Kyle Whittingham
John White,SR,RB,"218 Att, 1041 Yds, 4.8 Avg",2012,Utah,Kyle Whittingham
Kelvin York,JR,RB,"60 Att, 273 Yds, 4.6 Avg",2012,Utah,Kyle Whittingham
Jarrell Oliver,FR,RB,"23 Att, 52 Yds, 2.3 Avg",2012,Utah,Kyle Whittingham
Lucky Radley,SO,RB,"15 Att, 50 Yds, 3.3 Avg",2012,Utah,Kyle Whittingham
Karl Williams,JR,RB,"9 Rec, 83 Yds, 9.2 Avg",2012,Utah,Kyle Whittingham
Max Moala,SR,RB,"3 Rec, 35 Yds, 11.7 Avg",2012,Utah,Kyle Whittingham
Devonte Christopher,SR,WR,"22 Rec, 301 Yds, 13.7 Avg",2012,Utah,Kyle Whittingham
Quinton Pedroza,SO,WR,,2012,Utah,Kyle Whittingham
Dres Anderson,SO,WR,"36 Rec, 365 Yds, 10.1 Avg",2012,Utah,Kyle Whittingham
Reggie Dunn,SR,WR,"12 Rec, 74 Yds, 6.2 Avg",2012,Utah,Kyle Whittingham
Luke Matthews,SR,WR,"19 Rec, 204 Yds, 10.7 Avg",2012,Utah,Kyle Whittingham
Kenneth Scott,SO,WR,"32 Rec, 360 Yds, 11.3 Avg",2012,Utah,Kyle Whittingham
Anthony Denham,JR,WR,"11 Rec, 135 Yds, 12.3 Avg",2012,Utah,Kyle Whittingham
Sean Fitzgerald,JR,WR,"4 Rec, 61 Yds, 15.3 Avg",2012,Utah,Kyle Whittingham
Geoff Norwood,SO,WR,,2012,Utah,Kyle Whittingham
Jake Murphy,SO,TE,"33 Rec, 349 Yds, 10.6 Avg",2012,Utah,Kyle Whittingham
David Rolf,SR,TE,"10 Rec, 95 Yds, 9.5 Avg",2012,Utah,Kyle Whittingham
Dallin Rogers,SR,TE,"4 Rec, 26 Yds, 6.5 Avg",2012,Utah,Kyle Whittingham
Westlee Tonga,JR,TE,"4 Rec, 39 Yds, 9.8 Avg",2012,Utah,Kyle Whittingham
Kendrick Moeai,SR,TE,"1 Rec, 9 Yds, 9.0 Avg",2012,Utah,Kyle Whittingham
Patrick Greene,SR,OL,,2012,Utah,Kyle Whittingham
Latu Heimuli,JR,OL,,2012,Utah,Kyle Whittingham
Percy Taumoelau,JR,OL,,2012,Utah,Kyle Whittingham
Nick Marsh,JR,K,,2012,Utah,Kyle Whittingham
Coleman Petersen,SR,K,,2012,Utah,Kyle Whittingham
Nate Fakahafua,SO,DL,,2012,Utah,Kyle Whittingham
Viliseni Fauonuku,FR,DL,,2012,Utah,Kyle Whittingham
Jacoby Hale,SO,DL,,2012,Utah,Kyle Whittingham
Dave Kruger,SR,DL,,2012,Utah,Kyle Whittingham
Niasi Leota,JR,DL,,2012,Utah,Kyle Whittingham
Star Lotulelei,SR,DL,,2012,Utah,Kyle Whittingham
Thretton Palamo,JR,DL,,2012,Utah,Kyle Whittingham
Tenny Palepoi,JR,DL,,2012,Utah,Kyle Whittingham
Lt Tuipulotu,JR,DL,,2012,Utah,Kyle Whittingham
Joe Kruger,JR,DL,,2012,Utah,Kyle Whittingham
Boo Andersen,SR,LB,,2012,Utah,Kyle Whittingham
Nick Brown,JR,LB,,2012,Utah,Kyle Whittingham
Dave Fagergren,SR,LB,,2012,Utah,Kyle Whittingham
V.J. Fehoko,SO,LB,,2012,Utah,Kyle Whittingham
Lt Filiaga,FR,LB,,2012,Utah,Kyle Whittingham
Reshawn Hooker,FR,LB,,2012,Utah,Kyle Whittingham
Jared Norris,FR,LB,,2012,Utah,Kyle Whittingham
Victor Spikes,JR,LB,,2012,Utah,Kyle Whittingham
Travis Still,FR,LB,,2012,Utah,Kyle Whittingham
Jason Whittingham,FR,LB,,2012,Utah,Kyle Whittingham
Trevor Reilly,JR,LB,,2012,Utah,Kyle Whittingham
Joseph Bryant,FR,DB,,2012,Utah,Kyle Whittingham
Quade Chappuis,JR,DB,,2012,Utah,Kyle Whittingham
Wykie Freeman,SO,DB,,2012,Utah,Kyle Whittingham
Chandler Johnson,SO,DB,,2012,Utah,Kyle Whittingham
Tyron Morris-Edwards,SO,DB,,2012,Utah,Kyle Whittingham
Terrell Reese,SO,DB,,2012,Utah,Kyle Whittingham
Lewis Walker,SR,DB,,2012,Utah,Kyle Whittingham
Michael Walker,JR,DB,,2012,Utah,Kyle Whittingham
Tyler White,FR,DB,,2012,Utah,Kyle Whittingham
Mike Honeycutt,JR,DB,,2012,Utah,Kyle Whittingham
Brian Blechen,JR,DB,,2012,Utah,Kyle Whittingham
Charles Henderson,FR,DB,,2012,Utah,Kyle Whittingham
Ryan Lacy,SR,DB,,2012,Utah,Kyle Whittingham
Moe Lee,SR,DB,,2012,Utah,Kyle Whittingham
Eric Rowe,SO,DB,,2012,Utah,Kyle Whittingham
Reggie Topps,SR,DB,,2012,Utah,Kyle Whittingham
Sean Sellwood,SR,P,,2012,Utah,Kyle Whittingham
Tom Hackett,FR,P,,2012,Utah,Kyle Whittingham
