Player,Class,Pos,Summary,Year,School,Coach
Jake Bentley,SR,QB,"77 Cmp, 124 Att, 882 Yds, 6 TD",2020,Utah,Kyle Whittingham
Drew Lisk,SR,QB,"15 Cmp, 26 Att, 152 Yds, 0 TD",2020,Utah,Kyle Whittingham
Cameron Rising,SO,QB,"3 Cmp, 6 Att, 45 Yds, 0 TD",2020,Utah,Kyle Whittingham
Bryson Barnes,FR,QB,,2020,Utah,Kyle Whittingham
Nick Billoups,FR,QB,,2020,Utah,Kyle Whittingham
Cooper Justice,FR,QB,,2020,Utah,Kyle Whittingham
Carter Robinson,FR,QB,,2020,Utah,Kyle Whittingham
Ty Jordan,FR,RB,"83 Att, 597 Yds, 7.2 Avg",2020,Utah,Kyle Whittingham
Devin Brumfield,JR,RB,"21 Att, 85 Yds, 4.0 Avg",2020,Utah,Kyle Whittingham
Jordan Wilmore,SO,RB,"18 Att, 54 Yds, 3.0 Avg",2020,Utah,Kyle Whittingham
Micah Bernard,FR,RB,"15 Att, 76 Yds, 5.1 Avg",2020,Utah,Kyle Whittingham
Faysal Aden,FR,RB,,2020,Utah,Kyle Whittingham
TJ Green,JR,RB,,2020,Utah,Kyle Whittingham
Aaron Tapusoa,SR,RB,,2020,Utah,Kyle Whittingham
Elvis Vakapuna,FR,RB,,2020,Utah,Kyle Whittingham
Charlie Vincent,FR,RB,,2020,Utah,Kyle Whittingham
Braedon Wissler,FR,RB,,2020,Utah,Kyle Whittingham
Daniel Wood,FR,RB,,2020,Utah,Kyle Whittingham
Britain Covey,JR,WR,"19 Rec, 264 Yds, 13.9 Avg",2020,Utah,Kyle Whittingham
Bryan Thompson,JR,WR,"9 Rec, 187 Yds, 20.8 Avg",2020,Utah,Kyle Whittingham
Solomon Enis,JR,WR,"11 Rec, 108 Yds, 9.8 Avg",2020,Utah,Kyle Whittingham
Samson Nacua,SR,WR,"4 Rec, 29 Yds, 7.3 Avg",2020,Utah,Kyle Whittingham
Devaughn Vele,FR,WR,"2 Rec, 12 Yds, 6.0 Avg",2020,Utah,Kyle Whittingham
