Player,Class,Pos,Summary,Year,School,Coach
Brian Johnson,SO,QB,"210 Cmp, 330 Att, 2892 Yds, 18 TD",2005,Utah,Kyle Whittingham
Brett Ratliff,JR,QB,"48 Cmp, 77 Att, 642 Yds, 8 TD",2005,Utah,Kyle Whittingham
Quinton Ganther,SR,RB,"205 Att, 1120 Yds, 5.5 Avg",2005,Utah,Kyle Whittingham
Darrell Mack,FR,RB,"39 Att, 147 Yds, 3.8 Avg",2005,Utah,Kyle Whittingham
Mike Liti,SO,RB,"12 Att, 28 Yds, 2.3 Avg",2005,Utah,Kyle Whittingham
Darryl Poston,SR,RB,"6 Att, 19 Yds, 3.2 Avg",2005,Utah,Kyle Whittingham
Fano Tagovailoa,JR,WR,"6 Rec, 66 Yds, 11.0 Avg",2005,Utah,Kyle Whittingham
Drew Hackett,JR,WR,,2005,Utah,Kyle Whittingham
Jordan Johnson,FR,WR,,2005,Utah,Kyle Whittingham
John Peel,FR,WR,,2005,Utah,Kyle Whittingham
Brent Casteel,FR,WR,"39 Rec, 426 Yds, 10.9 Avg",2005,Utah,Kyle Whittingham
Marquis Wilson,FR,WR,"9 Rec, 149 Yds, 16.6 Avg",2005,Utah,Kyle Whittingham
John Madsen,SR,WR,"55 Rec, 672 Yds, 12.2 Avg",2005,Utah,Kyle Whittingham
Justin Walker,SR,WR,,2005,Utah,Kyle Whittingham
Travis Latendresse,SR,WR,"55 Rec, 810 Yds, 14.7 Avg",2005,Utah,Kyle Whittingham
Brian Hernandez,JR,WR,"39 Rec, 709 Yds, 18.2 Avg",2005,Utah,Kyle Whittingham
Derrek Richards,SO,WR,"16 Rec, 239 Yds, 14.9 Avg",2005,Utah,Kyle Whittingham
Freddie Brown,FR,WR,"2 Rec, 43 Yds, 21.5 Avg",2005,Utah,Kyle Whittingham
Sean O'Connell,JR,TE,,2005,Utah,Kyle Whittingham
Chad Jacobsen,SR,TE,"4 Rec, 69 Yds, 17.3 Avg",2005,Utah,Kyle Whittingham
Ameen Shaheen,JR,TE,"3 Rec, 20 Yds, 6.7 Avg",2005,Utah,Kyle Whittingham
Willie Sao,SR,TE,,2005,Utah,Kyle Whittingham
Jason Boone,SO,OL,,2005,Utah,Kyle Whittingham
Brock Condie,SR,OL,,2005,Utah,Kyle Whittingham
David Dirkmaat,SR,OL,,2005,Utah,Kyle Whittingham
Jason Voss,JR,OL,,2005,Utah,Kyle Whittingham
Dan Beardall,SR,K,,2005,Utah,Kyle Whittingham
Louie Sakoda,FR,K,,2005,Utah,Kyle Whittingham
Kite Afeaki,SR,DL,,2005,Utah,Kyle Whittingham
Derek Beardall,JR,DL,,2005,Utah,Kyle Whittingham
Martail Burnett,SO,DL,,2005,Utah,Kyle Whittingham
Steve Fifita,SR,DL,,2005,Utah,Kyle Whittingham
Soli Lefiti,JR,DL,,2005,Utah,Kyle Whittingham
Alex Puccinelli,SO,DL,,2005,Utah,Kyle Whittingham
Paul Soliai,JR,DL,,2005,Utah,Kyle Whittingham
Kelly Talavou,JR,DL,,2005,Utah,Kyle Whittingham
Reggie Turner,JR,DL,,2005,Utah,Kyle Whittingham
Afa Garrigan,FR,LB,,2005,Utah,Kyle Whittingham
Joe Jiannoni,SO,LB,,2005,Utah,Kyle Whittingham
Taylor Miller,SO,LB,,2005,Utah,Kyle Whittingham
Malakai Mokofisi,SO,LB,,2005,Utah,Kyle Whittingham
Brady Nielson,JR,LB,,2005,Utah,Kyle Whittingham
Loma Olevao,SO,LB,,2005,Utah,Kyle Whittingham
Charlie Tegantvoort,SR,LB,,2005,Utah,Kyle Whittingham
Kyle Brady,SO,LB,,2005,Utah,Kyle Whittingham
Grady Marshall,SR,LB,,2005,Utah,Kyle Whittingham
Spencer Toone,SR,LB,,2005,Utah,Kyle Whittingham
Eric Weddle,JR,DB,,2005,Utah,Kyle Whittingham
Kawika Casco,SR,DB,,2005,Utah,Kyle Whittingham
Brice McCain,FR,DB,,2005,Utah,Kyle Whittingham
Eugene Oates,SR,DB,,2005,Utah,Kyle Whittingham
Eric Shyne,JR,DB,,2005,Utah,Kyle Whittingham
Antonio Young,SR,DB,,2005,Utah,Kyle Whittingham
Casey Evans,JR,DB,,2005,Utah,Kyle Whittingham
Shaun Harper,JR,DB,,2005,Utah,Kyle Whittingham
Tim Harris,SR,DB,,2005,Utah,Kyle Whittingham
Ryan Smith,SO,DB,,2005,Utah,Kyle Whittingham
Steve Tate,SO,DB,,2005,Utah,Kyle Whittingham
Brent Rawlings,SO,P,,2005,Utah,Kyle Whittingham
