Player,Class,Pos,Summary,Year,School,Coach
Brian Johnson,JR,QB,"181 Cmp, 272 Att, 1847 Yds, 11 TD",2007,Utah,Kyle Whittingham
Tommy Grady,SR,QB,"58 Cmp, 115 Att, 681 Yds, 4 TD",2007,Utah,Kyle Whittingham
Corbin Louks,FR,QB,"5 Cmp, 8 Att, 41 Yds, 2 TD",2007,Utah,Kyle Whittingham
Darrell Mack,JR,RB,"253 Att, 1204 Yds, 4.8 Avg",2007,Utah,Kyle Whittingham
Ray Stowers,JR,RB,"47 Att, 261 Yds, 5.6 Avg",2007,Utah,Kyle Whittingham
Eddie Wide,FR,RB,"19 Att, 44 Yds, 2.3 Avg",2007,Utah,Kyle Whittingham
Darryl Poston,SR,RB,"12 Att, 37 Yds, 3.1 Avg",2007,Utah,Kyle Whittingham
Matt Asiata,JR,RB,"4 Att, 16 Yds, 4.0 Avg",2007,Utah,Kyle Whittingham
Trevor Moss,SO,RB,"1 Att, 8 Yds, 8.0 Avg",2007,Utah,Kyle Whittingham
Zac Eldridge,FR,RB,,2007,Utah,Kyle Whittingham
Jereme Brooks,FR,WR,"15 Rec, 183 Yds, 12.2 Avg",2007,Utah,Kyle Whittingham
Bradon Godfrey,JR,WR,"50 Rec, 524 Yds, 10.5 Avg",2007,Utah,Kyle Whittingham
Marquis Wilson,JR,WR,"18 Rec, 285 Yds, 15.8 Avg",2007,Utah,Kyle Whittingham
Brent Casteel,JR,WR,"7 Rec, 64 Yds, 9.1 Avg",2007,Utah,Kyle Whittingham
Derrek Richards,SR,WR,"57 Rec, 635 Yds, 11.1 Avg",2007,Utah,Kyle Whittingham
Freddie Brown,JR,WR,"20 Rec, 219 Yds, 11.0 Avg",2007,Utah,Kyle Whittingham
Brian Hernandez,SR,WR,"39 Rec, 385 Yds, 9.9 Avg",2007,Utah,Kyle Whittingham
Mike Hicken,FR,WR,"1 Rec, 19 Yds, 19.0 Avg",2007,Utah,Kyle Whittingham
Dallin Rogers,FR,TE,"7 Rec, 45 Yds, 6.4 Avg",2007,Utah,Kyle Whittingham
Colt Sampson,JR,TE,"2 Rec, 15 Yds, 7.5 Avg",2007,Utah,Kyle Whittingham
Matt Sims,SR,TE,"2 Rec, 15 Yds, 7.5 Avg",2007,Utah,Kyle Whittingham
Dustin Hensel,JR,OL,,2007,Utah,Kyle Whittingham
Caleb Schlauderaff,FR,OL,,2007,Utah,Kyle Whittingham
Zane Taylor,FR,OL,,2007,Utah,Kyle Whittingham
Louie Sakoda,JR,K,,2007,Utah,Kyle Whittingham
Kenape Eliapo,SO,DL,,2007,Utah,Kyle Whittingham
Nai Fotu,FR,DL,,2007,Utah,Kyle Whittingham
Gabe Long,SR,DL,,2007,Utah,Kyle Whittingham
Koa Misi,SO,DL,,2007,Utah,Kyle Whittingham
Greg Newman,JR,DL,,2007,Utah,Kyle Whittingham
Alex Puccinelli,SR,DL,,2007,Utah,Kyle Whittingham
Casey Sutera,SR,DL,,2007,Utah,Kyle Whittingham
Lei Talamaivao,FR,DL,,2007,Utah,Kyle Whittingham
Ryan Taylor,SR,DL,,2007,Utah,Kyle Whittingham
Aaron Tonga,JR,DL,,2007,Utah,Kyle Whittingham
Zeke Tuinei-Wily,SO,DL,,2007,Utah,Kyle Whittingham
Neli A'Asa,FR,DL,,2007,Utah,Kyle Whittingham
Martail Burnett,SR,DL,,2007,Utah,Kyle Whittingham
Paul Kruger,FR,DL,,2007,Utah,Kyle Whittingham
Kyle Brady,SR,LB,,2007,Utah,Kyle Whittingham
Kepa Gaison,SO,LB,,2007,Utah,Kyle Whittingham
Jamel King,FR,LB,,2007,Utah,Kyle Whittingham
Malakai Mokofisi,SR,LB,,2007,Utah,Kyle Whittingham
Loma Olevao,SR,LB,,2007,Utah,Kyle Whittingham
Stevenson Sylvester,SO,LB,,2007,Utah,Kyle Whittingham
Justin Taplin-Ross,FR,LB,,2007,Utah,Kyle Whittingham
Mike Wright,SO,LB,,2007,Utah,Kyle Whittingham
Joe Jiannoni,SR,LB,,2007,Utah,Kyle Whittingham
Terrell Cole,JR,DB,,2007,Utah,Kyle Whittingham
Clint Mower,JR,DB,,2007,Utah,Kyle Whittingham
Deshawn Richard,JR,DB,,2007,Utah,Kyle Whittingham
R.J. Stanford,SO,DB,,2007,Utah,Kyle Whittingham
Elijah Wesson,SO,DB,,2007,Utah,Kyle Whittingham
Joe Dale,SO,DB,,2007,Utah,Kyle Whittingham
Robert Johnson,SO,DB,,2007,Utah,Kyle Whittingham
Justin Jones,SO,DB,,2007,Utah,Kyle Whittingham
Brice McCain,JR,DB,,2007,Utah,Kyle Whittingham
R.J. Rice,JR,DB,,2007,Utah,Kyle Whittingham
Sean Smith,SO,DB,,2007,Utah,Kyle Whittingham
Steve Tate,SR,DB,,2007,Utah,Kyle Whittingham
