Player,Class,Pos,Summary,Year,School,Coach
Troy Williams,JR,QB,"207 Cmp, 390 Att, 2757 Yds, 15 TD",2016,Utah,Kyle Whittingham
Tyler Huntley,FR,QB,"5 Cmp, 7 Att, 60 Yds, 0 TD",2016,Utah,Kyle Whittingham
Joe Williams,SR,RB,"210 Att, 1407 Yds, 6.7 Avg",2016,Utah,Kyle Whittingham
Zack Moss,FR,RB,"84 Att, 382 Yds, 4.5 Avg",2016,Utah,Kyle Whittingham
Armand Shyne,SO,RB,"78 Att, 373 Yds, 4.8 Avg",2016,Utah,Kyle Whittingham
Troy McCormick,JR,RB,"39 Att, 194 Yds, 5.0 Avg",2016,Utah,Kyle Whittingham
Jordan Howard,JR,RB,"5 Att, 32 Yds, 6.4 Avg",2016,Utah,Kyle Whittingham
Devonta'e Henry-Cole,FR,RB,"1 Att, 2 Yds, 2.0 Avg",2016,Utah,Kyle Whittingham
Demari Simpkins,FR,WR,"19 Rec, 158 Yds, 8.3 Avg",2016,Utah,Kyle Whittingham
Cory Butler,SR,WR,"29 Rec, 372 Yds, 12.8 Avg",2016,Utah,Kyle Whittingham
Kyle Fulks,JR,WR,"6 Rec, 57 Yds, 9.5 Avg",2016,Utah,Kyle Whittingham
Tim Patrick,SR,WR,"45 Rec, 711 Yds, 15.8 Avg",2016,Utah,Kyle Whittingham
Raelon Singleton,SO,WR,"27 Rec, 464 Yds, 17.2 Avg",2016,Utah,Kyle Whittingham
Siaosi Wilson,FR,WR,"15 Rec, 183 Yds, 12.2 Avg",2016,Utah,Kyle Whittingham
Tyrone Smith,SO,WR,"10 Rec, 148 Yds, 14.8 Avg",2016,Utah,Kyle Whittingham
Tyler Cooperwood,SR,WR,"3 Rec, 17 Yds, 5.7 Avg",2016,Utah,Kyle Whittingham
Kenric Young,JR,WR,"1 Rec, 5 Yds, 5.0 Avg",2016,Utah,Kyle Whittingham
Dimitri Salido,JR,WR,,2016,Utah,Kyle Whittingham
Evan Moeai,SR,TE,"22 Rec, 308 Yds, 14.0 Avg",2016,Utah,Kyle Whittingham
Harrison Handley,JR,TE,"12 Rec, 168 Yds, 14.0 Avg",2016,Utah,Kyle Whittingham
Wallace Gonzalez,SO,TE,"1 Rec, 11 Yds, 11.0 Avg",2016,Utah,Kyle Whittingham
Isaac Asiata,SR,OL,,2016,Utah,Kyle Whittingham
Salesi Uhatafe,JR,OL,,2016,Utah,Kyle Whittingham
Hayes Hicken,FR,K,,2016,Utah,Kyle Whittingham
Andy Phillips,SR,K,,2016,Utah,Kyle Whittingham
Cody Barton,SO,LB,,2016,Utah,Kyle Whittingham
Christian Drews,JR,LB,,2016,Utah,Kyle Whittingham
Evan Eggiman,JR,LB,,2016,Utah,Kyle Whittingham
Kavika Luafatasaga,JR,LB,,2016,Utah,Kyle Whittingham
Sharrieff Shah,SR,LB,,2016,Utah,Kyle Whittingham
Sunia Tauteoli,JR,LB,,2016,Utah,Kyle Whittingham
Donavan Thompson,FR,LB,,2016,Utah,Kyle Whittingham
Terrell Burgess,FR,DB,,2016,Utah,Kyle Whittingham
Brian Allen,SR,DB,,2016,Utah,Kyle Whittingham
Julian Blackmon,FR,DB,,2016,Utah,Kyle Whittingham
Tyson Cisrow,FR,DB,,2016,Utah,Kyle Whittingham
MacKay Dunn,SO,DB,,2016,Utah,Kyle Whittingham
Jordan Fogal,JR,DB,,2016,Utah,Kyle Whittingham
Andre Godfrey,JR,DB,,2016,Utah,Kyle Whittingham
Chase Hansen,SO,DB,,2016,Utah,Kyle Whittingham
Chase Hansen,SO,DB,,2016,Utah,Kyle Whittingham
Dominique Hatfield,SR,DB,,2016,Utah,Kyle Whittingham
Boobie Hobbs,JR,DB,,2016,Utah,Kyle Whittingham
Casey Hughes,SO,DB,,2016,Utah,Kyle Whittingham
Reginald Porter,SR,DB,,2016,Utah,Kyle Whittingham
Justin Thomas,SR,DB,,2016,Utah,Kyle Whittingham
Jason Thompson,SR,DB,,2016,Utah,Kyle Whittingham
Marcus Williams,JR,DB,,2016,Utah,Kyle Whittingham
Mitch Wishnowsky,SO,P,,2016,Utah,Kyle Whittingham
Bradlee Anae,FR,DE,,2016,Utah,Kyle Whittingham
Hayden Clegg,SR,DE,,2016,Utah,Kyle Whittingham
Hunter Dimick,SR,DE,,2016,Utah,Kyle Whittingham
Chase Dominguez,SR,LS,,2016,Utah,Kyle Whittingham
Kylie Fitts,SR,DE,,2016,Utah,Kyle Whittingham
Leki Fotu,FR,DT,,2016,Utah,Kyle Whittingham
Chris Hart,FR,DE,,2016,Utah,Kyle Whittingham
Alani Havili-Katoa,SO,DT,,2016,Utah,Kyle Whittingham
Lowell Lotulelei,JR,DT,,2016,Utah,Kyle Whittingham
Filipo Mokofisi,JR,DT,,2016,Utah,Kyle Whittingham
Pasoni Tasini,SR,DT,,2016,Utah,Kyle Whittingham
Pita Taumoepenu,SR,DE,,2016,Utah,Kyle Whittingham
