Player,Class,Pos,Summary,Year,School,Coach
Alex Smith,JR,QB,"214 Cmp, 317 Att, 2952 Yds, 32 TD",2004,Utah,Kyle Whittingham
Brian Johnson,FR,QB,"14 Cmp, 21 Att, 142 Yds, 1 TD",2004,Utah,Kyle Whittingham
Fano Tagovailoa,JR,QB,"2 Cmp, 2 Att, 49 Yds, 0 TD",2004,Utah,Kyle Whittingham
Brigham Au,JR,QB,,2004,Utah,Kyle Whittingham
Adam Madsen,JR,QB,,2004,Utah,Kyle Whittingham
Quinton Ganther,JR,RB,"109 Att, 654 Yds, 6.0 Avg",2004,Utah,Kyle Whittingham
Marty Johnson,SR,RB,"165 Att, 802 Yds, 4.9 Avg",2004,Utah,Kyle Whittingham
Joe Johnson,FR,RB,"11 Att, 41 Yds, 3.7 Avg",2004,Utah,Kyle Whittingham
Darryl Poston,JR,RB,"1 Att, 3 Yds, 3.0 Avg",2004,Utah,Kyle Whittingham
Billy Kinsey,SO,RB,,2004,Utah,Kyle Whittingham
Paris Warren,SR,WR,"80 Rec, 1076 Yds, 13.5 Avg",2004,Utah,Kyle Whittingham
Steve Savoy,SO,WR,"67 Rec, 961 Yds, 14.3 Avg",2004,Utah,Kyle Whittingham
Jerome Wright,SR,WR,"5 Rec, 64 Yds, 12.8 Avg",2004,Utah,Kyle Whittingham
Travis Latendresse,SR,WR,"27 Rec, 411 Yds, 15.2 Avg",2004,Utah,Kyle Whittingham
Derrek Richards,FR,WR,"2 Rec, 53 Yds, 26.5 Avg",2004,Utah,Kyle Whittingham
Justin Walker,JR,WR,"1 Rec, -2 Yds, -2.0 Avg",2004,Utah,Kyle Whittingham
John Madsen,JR,WR,"27 Rec, 377 Yds, 14.0 Avg",2004,Utah,Kyle Whittingham
Thomas Huff,FR,WR,"1 Rec, 24 Yds, 24.0 Avg",2004,Utah,Kyle Whittingham
Blake Burdette,JR,TE,"3 Rec, 20 Yds, 6.7 Avg",2004,Utah,Kyle Whittingham
Jon Clark,JR,TE,"1 Rec, 20 Yds, 20.0 Avg",2004,Utah,Kyle Whittingham
Dan Beardall,JR,K,,2004,Utah,Kyle Whittingham
Bryan Borreson,JR,K,,2004,Utah,Kyle Whittingham
David Carroll,FR,K,,2004,Utah,Kyle Whittingham
Steve Fifita,JR,DL,,2004,Utah,Kyle Whittingham
Jonathan Fanene,SR,DL,,2004,Utah,Kyle Whittingham
Marquess Ledbetter,JR,DL,,2004,Utah,Kyle Whittingham
Sione Pouha,SR,DL,,2004,Utah,Kyle Whittingham
Corey Dodds,SR,LB,,2004,Utah,Kyle Whittingham
Grady Marshall,JR,LB,,2004,Utah,Kyle Whittingham
Spencer Toone,JR,LB,,2004,Utah,Kyle Whittingham
Bo Nagahi,SR,DB,,2004,Utah,Kyle Whittingham
Shaun Harper,SO,DB,,2004,Utah,Kyle Whittingham
Morgan Scalley,SR,DB,,2004,Utah,Kyle Whittingham
Ryan Smith,FR,DB,,2004,Utah,Kyle Whittingham
Eric Weddle,SO,DB,,2004,Utah,Kyle Whittingham
Matt Kovacevich,SR,P,,2004,Utah,Kyle Whittingham
