Player,Class,Pos,Summary,Year,School,Coach
Cole Bishop,FR,S,,2021,Utah,Kyle Whittingham
Jatravis Broughton,SO,CB,,2021,Utah,Kyle Whittingham
Xavier Carlton,FR,DE,,2021,Utah,Kyle Whittingham
Vonte Davis,SR,S,,2021,Utah,Kyle Whittingham
Van Fillinger,FR,DE,,2021,Utah,Kyle Whittingham
Devin Kaufusi,JR,DT,,2021,Utah,Kyle Whittingham
Kamo'i Latu,FR,S,,2021,Utah,Kyle Whittingham
Aaron Lowe,SO,CB,,2021,Utah,Kyle Whittingham
Faybian Marks,FR,CB,,2021,Utah,Kyle Whittingham
Malone Mataele,SO,CB,,2021,Utah,Kyle Whittingham
Brandon McKinney,SR,S,,2021,Utah,Kyle Whittingham
Viane Moala,SR,DT,,2021,Utah,Kyle Whittingham
Clark Phillips III,FR,CB,,2021,Utah,Kyle Whittingham
LaCarea Pleasant-Johnson,FR,CB,,2021,Utah,Kyle Whittingham
Fua Pututau,SO,DT,,2021,Utah,Kyle Whittingham
Hauati Pututau,SR,DT,,2021,Utah,Kyle Whittingham
Tennessee Pututau,FR,DT,,2021,Utah,Kyle Whittingham
Caine Savage,FR,CB,,2021,Utah,Kyle Whittingham
Miki Suguturaga,FR,DE,,2021,Utah,Kyle Whittingham
Mika Tafua,JR,DE,,2021,Utah,Kyle Whittingham
Junior Tafuna,FR,DT,,2021,Utah,Kyle Whittingham
Zemaiah Vaughn,FR,S,,2021,Utah,Kyle Whittingham
Aliki Vimahi,FR,DT,,2021,Utah,Kyle Whittingham
Kennan Aiono,FR,DE,,2021,Utah,Kyle Whittingham
Stone Azarcon,JR,S,,2021,Utah,Kyle Whittingham
Jonny Fanaika,FR,DE,,2021,Utah,Kyle Whittingham
David Fotu,SO,DT,,2021,Utah,Kyle Whittingham
JT Greep,FR,LS,,2021,Utah,Kyle Whittingham
Nick Howe,FR,CB,,2021,Utah,Kyle Whittingham
R.J. Hubert,JR,S,,2021,Utah,Kyle Whittingham
Taka Lautaha,FR,DT,,2021,Utah,Kyle Whittingham
Kenzel Lawler,FR,CB,,2021,Utah,Kyle Whittingham
Elisha Lloyd,FR,CB,,2021,Utah,Kyle Whittingham
Joe Ludwig,JR,FB,,2021,Utah,Kyle Whittingham
Keegan Markgraf,SR,LS,,2021,Utah,Kyle Whittingham
Jordan McMillan,SO,S,,2021,Utah,Kyle Whittingham
Shuhei Mitsumoto,FR,DE,,2021,Utah,Kyle Whittingham
Gavin Nawahine,FR,DE,,2021,Utah,Kyle Whittingham
Tevita Pahulu,FR,DT,,2021,Utah,Kyle Whittingham
Simote Pepa,FR,DT,,2021,Utah,Kyle Whittingham
Drew Rawls,FR,CB,,2021,Utah,Kyle Whittingham
Ben Renfro,FR,S,,2021,Utah,Kyle Whittingham
Elijah Shelton,SO,DE,,2021,Utah,Kyle Whittingham
Tyrone Smith,SR,S,,2021,Utah,Kyle Whittingham
Darrien Stewart,FR,S,,2021,Utah,Kyle Whittingham
Tanoa Togiai,FR,DT,,2021,Utah,Kyle Whittingham
Tyler Wegis,FR,DE,,2021,Utah,Kyle Whittingham
