Player,Class,Pos,Summary,Year,School,Coach
Tyler Huntley,SR,QB,"220 Cmp, 301 Att, 3092 Yds, 19 TD",2019,Utah,Kyle Whittingham
Jason Shelley,SO,QB,"6 Cmp, 11 Att, 43 Yds, 1 TD",2019,Utah,Kyle Whittingham
Drew Lisk,JR,QB,"7 Cmp, 9 Att, 52 Yds, 0 TD",2019,Utah,Kyle Whittingham
Blake Archuleta,FR,QB,,2019,Utah,Kyle Whittingham
Zach Hymas,SO,QB,,2019,Utah,Kyle Whittingham
Cameron Rising,SO,QB,,2019,Utah,Kyle Whittingham
Carter Robinson,FR,QB,,2019,Utah,Kyle Whittingham
Zack Moss,SR,RB,"235 Att, 1416 Yds, 6.0 Avg",2019,Utah,Kyle Whittingham
Devin Brumfield,SO,RB,"59 Att, 263 Yds, 4.5 Avg",2019,Utah,Kyle Whittingham
Jordan Wilmore,FR,RB,"49 Att, 194 Yds, 4.0 Avg",2019,Utah,Kyle Whittingham
Devonta'e Henry-Cole,JR,RB,"34 Att, 188 Yds, 5.5 Avg",2019,Utah,Kyle Whittingham
TJ Green,SO,RB,"23 Att, 68 Yds, 3.0 Avg",2019,Utah,Kyle Whittingham
Micah Bernard,FR,RB,,2019,Utah,Kyle Whittingham
Faysal Aden,FR,RB,,2019,Utah,Kyle Whittingham
Charlie Vincent,FR,RB,,2019,Utah,Kyle Whittingham
Mason Woodward,JR,RB,,2019,Utah,Kyle Whittingham
Derrick Vickers,SR,WR,"19 Rec, 202 Yds, 10.6 Avg",2019,Utah,Kyle Whittingham
Jaylen Dixon,SO,WR,"24 Rec, 343 Yds, 14.3 Avg",2019,Utah,Kyle Whittingham
Demari Simpkins,SR,WR,"32 Rec, 352 Yds, 11.0 Avg",2019,Utah,Kyle Whittingham
Britain Covey,JR,WR,"10 Rec, 77 Yds, 7.7 Avg",2019,Utah,Kyle Whittingham
Solomon Enis,SO,WR,"14 Rec, 158 Yds, 11.3 Avg",2019,Utah,Kyle Whittingham
Terrell Perriman,FR,WR,"2 Rec, 9 Yds, 4.5 Avg",2019,Utah,Kyle Whittingham
Samson Nacua,JR,WR,"18 Rec, 330 Yds, 18.3 Avg",2019,Utah,Kyle Whittingham
Bryan Thompson,SO,WR,"18 Rec, 461 Yds, 25.6 Avg",2019,Utah,Kyle Whittingham
Donte Banton,FR,WR,"1 Rec, 10 Yds, 10.0 Avg",2019,Utah,Kyle Whittingham
Devaughn Vele,FR,WR,,2019,Utah,Kyle Whittingham
Robbie Colenzo,FR,WR,,2019,Utah,Kyle Whittingham
Cameron Gardner,FR,WR,,2019,Utah,Kyle Whittingham
Patton Germann,FR,WR,,2019,Utah,Kyle Whittingham
Jason Heller,FR,WR,,2019,Utah,Kyle Whittingham
Sebastian Macaluso,FR,WR,,2019,Utah,Kyle Whittingham
Kyrese Rowan,FR,WR,,2019,Utah,Kyle Whittingham
Dylan Slavens,SO,WR,,2019,Utah,Kyle Whittingham
Tyrone Smith,SR,WR,,2019,Utah,Kyle Whittingham
Dominique Thompson,FR,WR,,2019,Utah,Kyle Whittingham
Brant Kuithe,SO,TE,"34 Rec, 602 Yds, 17.7 Avg",2019,Utah,Kyle Whittingham
Cole Fotheringham,SO,TE,"16 Rec, 156 Yds, 9.8 Avg",2019,Utah,Kyle Whittingham
Hunter Thedford,SR,TE,"2 Rec, 12 Yds, 6.0 Avg",2019,Utah,Kyle Whittingham
Ali'i Niumatalolo,JR,TE,"1 Rec, 10 Yds, 10.0 Avg",2019,Utah,Kyle Whittingham
Thomas Yassmin,FR,TE,,2019,Utah,Kyle Whittingham
Bapa Falemaka,JR,TE,,2019,Utah,Kyle Whittingham
Soa Rosales,FR,TE,,2019,Utah,Kyle Whittingham
Paul Maile,FR,OL,,2019,Utah,Kyle Whittingham
Simi Moala,FR,OL,,2019,Utah,Kyle Whittingham
Orlando Umana,JR,OL,,2019,Utah,Kyle Whittingham
London Bartholomew,JR,OL,,2019,Utah,Kyle Whittingham
Keaton Bills,FR,OL,,2019,Utah,Kyle Whittingham
Braedon E. Daniels,FR,OL,,2019,Utah,Kyle Whittingham
Luke Felix-Fualalo,FR,OL,,2019,Utah,Kyle Whittingham
Nick Ford,SO,OL,,2019,Utah,Kyle Whittingham
Kyle Lanterman,SR,OL,,2019,Utah,Kyle Whittingham
Sataoa Laumea,FR,OL,,2019,Utah,Kyle Whittingham
Alex Locklear,SR,OL,,2019,Utah,Kyle Whittingham
Johnny Maea,FR,OL,,2019,Utah,Kyle Whittingham
Bamidele Olaseni,JR,OL,,2019,Utah,Kyle Whittingham
Noah Osur-Myers,SR,OL,,2019,Utah,Kyle Whittingham
Darrin Paulo,SR,OL,,2019,Utah,Kyle Whittingham
Noah Reneau-Myers,SR,OL,,2019,Utah,Kyle Whittingham
Marist Talavou,FR,OL,,2019,Utah,Kyle Whittingham
Paul Toala,SR,OL,,2019,Utah,Kyle Whittingham
Stratten Wagner,JR,OL,,2019,Utah,Kyle Whittingham
Andrew Strauch,SR,K,,2019,Utah,Kyle Whittingham
Alex Saunders,FR,K,,2019,Utah,Kyle Whittingham
Falcon Kaumatule,FR,DL,,2019,Utah,Kyle Whittingham
Semisi Lauaki,FR,DL,,2019,Utah,Kyle Whittingham
Steven Moea'i,FR,DL,,2019,Utah,Kyle Whittingham
Francis Bernard,SR,LB,,2019,Utah,Kyle Whittingham
Francis Bernard,SR,LB,,2019,Utah,Kyle Whittingham
Trennan Carlson,JR,LB,,2019,Utah,Kyle Whittingham
Hayden Furey,FR,LB,,2019,Utah,Kyle Whittingham
Devin Lloyd,SO,LB,,2019,Utah,Kyle Whittingham
Sione Lund,SO,LB,,2019,Utah,Kyle Whittingham
Andrew Mata'afa,FR,LB,,2019,Utah,Kyle Whittingham
Moroni Anae,JR,LB,,2019,Utah,Kyle Whittingham
Manny Bowen,SR,LB,,2019,Utah,Kyle Whittingham
Samu Elisaia,JR,LB,,2019,Utah,Kyle Whittingham
Quinn Fabrizio,FR,LB,,2019,Utah,Kyle Whittingham
Carson Stokes,FR,LB,,2019,Utah,Kyle Whittingham
Iverson Taase,FR,LB,,2019,Utah,Kyle Whittingham
Taimi Taimi,FR,LB,,2019,Utah,Kyle Whittingham
Carson Wheaton,FR,LB,,2019,Utah,Kyle Whittingham
Julian Blackmon,SR,DB,,2019,Utah,Kyle Whittingham
Bronson Boyd,SO,DB,,2019,Utah,Kyle Whittingham
Jatravis Broughton,FR,DB,,2019,Utah,Kyle Whittingham
Terrell Burgess,SR,DB,,2019,Utah,Kyle Whittingham
Jayden Clemons,FR,DB,,2019,Utah,Kyle Whittingham
Vonte Davis,JR,DB,,2019,Utah,Kyle Whittingham
Javelin Guidry,JR,DB,,2019,Utah,Kyle Whittingham
Javelin Guidry,JR,DB,,2019,Utah,Kyle Whittingham
R.J. Hubert,SO,DB,,2019,Utah,Kyle Whittingham
Jaylon Johnson,JR,DB,,2019,Utah,Kyle Whittingham
Tareke Lewis,SR,DB,,2019,Utah,Kyle Whittingham
Malone Mataele,FR,DB,,2019,Utah,Kyle Whittingham
Josh Nurse,SR,DB,,2019,Utah,Kyle Whittingham
Keala Santiago,JR,DB,,2019,Utah,Kyle Whittingham
Nephi Sewell,JR,DB,,2019,Utah,Kyle Whittingham
Jordan Anderson,FR,DB,,2019,Utah,Kyle Whittingham
Stone Azarcon,SO,DB,,2019,Utah,Kyle Whittingham
Maxwell Cotton,FR,DB,,2019,Utah,Kyle Whittingham
Nygel King,JR,DB,,2019,Utah,Kyle Whittingham
Aaron Lowe,FR,DB,,2019,Utah,Kyle Whittingham
Kaleb Lundquist,FR,DB,,2019,Utah,Kyle Whittingham
JaTravis McCloud,FR,DB,,2019,Utah,Kyle Whittingham
Trey O'Guinn,SO,DB,,2019,Utah,Kyle Whittingham
LaCarea Pleasant-Johnson,FR,DB,,2019,Utah,Kyle Whittingham
Drew Rawls,FR,DB,,2019,Utah,Kyle Whittingham
Alphonso Taylor,FR,DB,,2019,Utah,Kyle Whittingham
Ben Lennon,FR,P,,2019,Utah,Kyle Whittingham
Jared March,FR,P,,2019,Utah,Kyle Whittingham
Bradlee Anae,SR,DE,,2019,Utah,Kyle Whittingham
Leki Fotu,SR,DT,,2019,Utah,Kyle Whittingham
Malik Haynes,SR,DE,,2019,Utah,Kyle Whittingham
Keegan Markgraf,JR,LS,,2019,Utah,Kyle Whittingham
Viane Moala,JR,DT,,2019,Utah,Kyle Whittingham
John Penisini,SR,DT,,2019,Utah,Kyle Whittingham
Fua Pututau,FR,DE,,2019,Utah,Kyle Whittingham
Hauati Pututau,JR,DE,,2019,Utah,Kyle Whittingham
Jadon Redding,FR,PK,,2019,Utah,Kyle Whittingham
Miki Suguturaga,FR,DE,,2019,Utah,Kyle Whittingham
Mika Tafua,SO,DE,,2019,Utah,Kyle Whittingham
Pita Tonga,JR,DT,,2019,Utah,Kyle Whittingham
Maxs Tupai,JR,DE,,2019,Utah,Kyle Whittingham
Scott Foley,SO,DT,,2019,Utah,Kyle Whittingham
Tyler Gonzalez,FR,DE,,2019,Utah,Kyle Whittingham
Nels Haltom,JR,UT,,2019,Utah,Kyle Whittingham
Mufi Hunt,JR,DT,,2019,Utah,Kyle Whittingham
Blake Kuithe,FR,DE,,2019,Utah,Kyle Whittingham
Jake Mitten,FR,DT,,2019,Utah,Kyle Whittingham
Eli Morrow,FR,DT,,2019,Utah,Kyle Whittingham
Noah Rodriguez-Trammell,SO,LS,,2019,Utah,Kyle Whittingham
