Player,Class,Pos,Summary,Year,School,Coach
Bret Engemann*,SO,QB,"72 Cmp, 134 Att, 896 Yds, 3 TD",2000,Brigham Young,LaVell Edwards
Charlie Peterson,JR,QB,"149 Cmp, 260 Att, 1617 Yds, 6 TD",2000,Brigham Young,LaVell Edwards
Brandon Doman,JR,QB,"51 Cmp, 92 Att, 782 Yds, 2 TD",2000,Brigham Young,LaVell Edwards
Luke Staley*,SO,RB,"130 Att, 479 Yds, 3.7 Avg",2000,Brigham Young,LaVell Edwards
Kalani Sitake*,SR,RB,"25 Att, 100 Yds, 4.0 Avg",2000,Brigham Young,LaVell Edwards
Jared Harper,,RB,,2000,Brigham Young,LaVell Edwards
Brian McDonald,JR,RB,"101 Att, 464 Yds, 4.6 Avg",2000,Brigham Young,LaVell Edwards
Marcus Whalen,,RB,"38 Att, 209 Yds, 5.5 Avg",2000,Brigham Young,LaVell Edwards
Will Snowden,SR,RB,"13 Rec, 98 Yds, 7.5 Avg",2000,Brigham Young,LaVell Edwards
Ned Stearns,JR,RB,"3 Att, 2 Yds, 0.7 Avg",2000,Brigham Young,LaVell Edwards
Mike Nielsen,JR,RB,"1 Rec, -2 Yds, -2.0 Avg",2000,Brigham Young,LaVell Edwards
Paul Peterson,JR,RB,,2000,Brigham Young,LaVell Edwards
David Christensen,,RB,,2000,Brigham Young,LaVell Edwards
Margin Hooks*,SR,WR,"61 Rec, 718 Yds, 11.8 Avg",2000,Brigham Young,LaVell Edwards
Jonathan Pittman*,SR,WR,"38 Rec, 691 Yds, 18.2 Avg",2000,Brigham Young,LaVell Edwards
Mike Rigell,JR,WR,"21 Rec, 220 Yds, 10.5 Avg",2000,Brigham Young,LaVell Edwards
Ben Horton,SR,WR,"23 Rec, 278 Yds, 12.1 Avg",2000,Brigham Young,LaVell Edwards
Soren Halladay,JR,WR,"5 Rec, 86 Yds, 17.2 Avg",2000,Brigham Young,LaVell Edwards
Tevita Ofahengame*,,TE,,2000,Brigham Young,LaVell Edwards
Doug Jolley,JR,TE,"14 Rec, 213 Yds, 15.2 Avg",2000,Brigham Young,LaVell Edwards
Tevita Ofahengaue,SR,TE,"22 Rec, 305 Yds, 13.9 Avg",2000,Brigham Young,LaVell Edwards
Gabriel Reid,SO,TE,"4 Rec, 50 Yds, 12.5 Avg",2000,Brigham Young,LaVell Edwards
Ben Archibald*,,OL,,2000,Brigham Young,LaVell Edwards
Aaron McCubbins*,,OL,,2000,Brigham Young,LaVell Edwards
Dustin Rykert*,,OL,,2000,Brigham Young,LaVell Edwards
Jason Scukanee*,,OL,,2000,Brigham Young,LaVell Edwards
Teag Whiting*,,OL,,2000,Brigham Young,LaVell Edwards
Kam Valgardson,,OL,,2000,Brigham Young,LaVell Edwards
Aaron Edmonds,JR,K,,2000,Brigham Young,LaVell Edwards
Owen Pochman,SR,K,,2000,Brigham Young,LaVell Edwards
Ryan Denney*,,DL,,2000,Brigham Young,LaVell Edwards
Setema Gali*,,DL,,2000,Brigham Young,LaVell Edwards
Chris Hoke*,,DL,,2000,Brigham Young,LaVell Edwards
Hans Olsen*,,DL,,2000,Brigham Young,LaVell Edwards
Brett Keisel,,DL,,2000,Brigham Young,LaVell Edwards
Justin Ena*,,LB,,2000,Brigham Young,LaVell Edwards
Isaac Kelley*,,LB,,2000,Brigham Young,LaVell Edwards
Paul Walkenhorst*,,LB,,2000,Brigham Young,LaVell Edwards
Josh Lowe,,LB,,2000,Brigham Young,LaVell Edwards
Jared Lee*,SR,DB,,2000,Brigham Young,LaVell Edwards
Danny Phillips*,,DB,,2000,Brigham Young,LaVell Edwards
Tyson Smith*,SR,DB,,2000,Brigham Young,LaVell Edwards
Dustin Staley*,,DB,,2000,Brigham Young,LaVell Edwards
Michael Lafitte,,DB,,2000,Brigham Young,LaVell Edwards
Michael Madsen,SO,DB,,2000,Brigham Young,LaVell Edwards
Derrus Wilson,,DB,,2000,Brigham Young,LaVell Edwards
_ Christenson,,,,2000,Brigham Young,LaVell Edwards
Ryan Skinner,,,,2000,Brigham Young,LaVell Edwards
