Player,Class,Pos,Summary,Year,School,Coach
Kedon Slovis,SR,QB,"153 Cmp, 266 Att, 1716 Yds, 12 TD",2023,Brigham Young,Kalani Sitake
Jake Retzlaff,JR,QB,"63 Cmp, 125 Att, 648 Yds, 3 TD",2023,Brigham Young,Kalani Sitake
Cade Fennegan,JR,QB,,2023,Brigham Young,Kalani Sitake
Nick Billoups,JR,QB,,2023,Brigham Young,Kalani Sitake
Ryder Burton,FR,QB,,2023,Brigham Young,Kalani Sitake
Cole Hagen,FR,QB,,2023,Brigham Young,Kalani Sitake
LJ Martin,FR,RB,"109 Att, 518 Yds, 4.8 Avg",2023,Brigham Young,Kalani Sitake
Aidan Robbins,SR,RB,"101 Att, 485 Yds, 4.8 Avg",2023,Brigham Young,Kalani Sitake
Deion Smith,JR,RB,"23 Att, 64 Yds, 2.8 Avg",2023,Brigham Young,Kalani Sitake
Miles Davis,JR,RB,"16 Att, 78 Yds, 4.9 Avg",2023,Brigham Young,Kalani Sitake
Enoch Nawahine,JR,RB,"1 Att, 1 Yds, 1.0 Avg",2023,Brigham Young,Kalani Sitake
Mason Fakahua,JR,RB,"6 Rec, 27 Yds, 4.5 Avg",2023,Brigham Young,Kalani Sitake
Nukuluve Helu,FR,RB,,2023,Brigham Young,Kalani Sitake
Hinckley Ropati,SR,RB,,2023,Brigham Young,Kalani Sitake
Parker Kingston,SO,WR,"19 Rec, 207 Yds, 10.9 Avg",2023,Brigham Young,Kalani Sitake
Keelan Marion,SO,WR,"20 Rec, 216 Yds, 10.8 Avg",2023,Brigham Young,Kalani Sitake
Kody Epps,JR,WR,"21 Rec, 259 Yds, 12.3 Avg",2023,Brigham Young,Kalani Sitake
Chase Roberts,JR,WR,"42 Rec, 573 Yds, 13.6 Avg",2023,Brigham Young,Kalani Sitake
Darius Lassiter,SR,WR,"29 Rec, 365 Yds, 12.6 Avg",2023,Brigham Young,Kalani Sitake
Keanu Hill,JR,WR,"12 Rec, 187 Yds, 15.6 Avg",2023,Brigham Young,Kalani Sitake
Talmage Gunther,JR,WR,"1 Rec, 3 Yds, 3.0 Avg",2023,Brigham Young,Kalani Sitake
Jojo Phillips,FR,WR,"1 Rec, 5 Yds, 5.0 Avg",2023,Brigham Young,Kalani Sitake
Koa Eldredge,FR,WR,,2023,Brigham Young,Kalani Sitake
