Player,Class,Pos,Summary,Year,School,Coach
Zach Wilson,SO,QB,"199 Cmp, 319 Att, 2382 Yds, 11 TD",2019,Brigham Young,Kalani Sitake
Baylor Romney,FR,QB,"54 Cmp, 85 Att, 747 Yds, 7 TD",2019,Brigham Young,Kalani Sitake
Jaren Hall,FR,QB,"31 Cmp, 46 Att, 420 Yds, 1 TD",2019,Brigham Young,Kalani Sitake
Joe Critchlow,SO,QB,"9 Cmp, 12 Att, 73 Yds, 0 TD",2019,Brigham Young,Kalani Sitake
Rhett Reilly,FR,QB,,2019,Brigham Young,Kalani Sitake
Lopini Katoa,SO,RB,"85 Att, 358 Yds, 4.2 Avg",2019,Brigham Young,Kalani Sitake
Sione Finau,FR,RB,"59 Att, 359 Yds, 6.1 Avg",2019,Brigham Young,Kalani Sitake
Ty'Son Williams,SR,RB,"49 Att, 264 Yds, 5.4 Avg",2019,Brigham Young,Kalani Sitake
Emmanuel Esukpa,SR,RB,"46 Att, 190 Yds, 4.1 Avg",2019,Brigham Young,Kalani Sitake
Jackson McChesney,FR,RB,"25 Att, 274 Yds, 11.0 Avg",2019,Brigham Young,Kalani Sitake
Alec Wyble-Meza,SO,RB,"3 Att, 6 Yds, 2.0 Avg",2019,Brigham Young,Kalani Sitake
Beau Hoge,SR,RB,,2019,Brigham Young,Kalani Sitake
Chase Wester,SO,RB,,2019,Brigham Young,Kalani Sitake
Micah Simon,SR,WR,"51 Rec, 616 Yds, 12.1 Avg",2019,Brigham Young,Kalani Sitake
Aleva Hifo,SR,WR,"42 Rec, 483 Yds, 11.5 Avg",2019,Brigham Young,Kalani Sitake
Dax Milne,SO,WR,"21 Rec, 285 Yds, 13.6 Avg",2019,Brigham Young,Kalani Sitake
Tevita Ika,FR,WR,"3 Rec, 28 Yds, 9.3 Avg",2019,Brigham Young,Kalani Sitake
Gunner Romney,SO,WR,"31 Rec, 377 Yds, 12.2 Avg",2019,Brigham Young,Kalani Sitake
Talon Shumway,SR,WR,"43 Rec, 561 Yds, 13.0 Avg",2019,Brigham Young,Kalani Sitake
Keanu Hill,FR,WR,"3 Rec, 40 Yds, 13.3 Avg",2019,Brigham Young,Kalani Sitake
Koy Harris,FR,WR,,2019,Brigham Young,Kalani Sitake
Batchlor Johnson,SR,WR,,2019,Brigham Young,Kalani Sitake
Luc Andrada,FR,WR,,2019,Brigham Young,Kalani Sitake
Jacob Boren,FR,WR,,2019,Brigham Young,Kalani Sitake
Brayden Cosper,FR,WR,,2019,Brigham Young,Kalani Sitake
Talmage Gunther,FR,WR,,2019,Brigham Young,Kalani Sitake
Neil Pau'u,JR,WR,,2019,Brigham Young,Kalani Sitake
Spencer Romney,SO,WR,,2019,Brigham Young,Kalani Sitake
Nephi Stevens,SR,WR,,2019,Brigham Young,Kalani Sitake
Jacob Talbot,SO,WR,,2019,Brigham Young,Kalani Sitake
Austin Whetzel,JR,WR,,2019,Brigham Young,Kalani Sitake
Masen Wake,FR,TE,,2019,Brigham Young,Kalani Sitake
Matt Bushman,JR,TE,"47 Rec, 688 Yds, 14.6 Avg",2019,Brigham Young,Kalani Sitake
Moroni Laulu-Pututau,SR,TE,"9 Rec, 124 Yds, 13.8 Avg",2019,Brigham Young,Kalani Sitake
Isaac Rex,FR,TE,"1 Rec, 23 Yds, 23.0 Avg",2019,Brigham Young,Kalani Sitake
Carter Wheat,FR,TE,"1 Rec, 8 Yds, 8.0 Avg",2019,Brigham Young,Kalani Sitake
Kyle Griffitts,JR,TE,,2019,Brigham Young,Kalani Sitake
Nate Heaps,SO,TE,,2019,Brigham Young,Kalani Sitake
Darius McFarland,FR,TE,,2019,Brigham Young,Kalani Sitake
Alema Pilimai,SO,TE,,2019,Brigham Young,Kalani Sitake
Hank Tuipulotu,FR,TE,,2019,Brigham Young,Kalani Sitake
Chandon Herring,JR,OL,,2019,Brigham Young,Kalani Sitake
Ethan Atagi,FR,OL,,2019,Brigham Young,Kalani Sitake
Clark Barrington,FR,OL,,2019,Brigham Young,Kalani Sitake
Brady Christensen,SO,OL,,2019,Brigham Young,Kalani Sitake
James Empey,SO,OL,,2019,Brigham Young,Kalani Sitake
Blake Freeland,FR,OL,,2019,Brigham Young,Kalani Sitake
J.T. Gentry,FR,OL,,2019,Brigham Young,Kalani Sitake
Caden Haws,FR,OL,,2019,Brigham Young,Kalani Sitake
Tristen Hoge,JR,OL,,2019,Brigham Young,Kalani Sitake
Brayden Keim,FR,OL,,2019,Brigham Young,Kalani Sitake
Harris LaChance,FR,OL,,2019,Brigham Young,Kalani Sitake
Kieffer Longson,JR,OL,,2019,Brigham Young,Kalani Sitake
Addison Pulsipher,SR,OL,,2019,Brigham Young,Kalani Sitake
Keanu Saleapaga,SO,OL,,2019,Brigham Young,Kalani Sitake
Thomas Shoaf,SR,OL,,2019,Brigham Young,Kalani Sitake
Jacob Smith,FR,OL,,2019,Brigham Young,Kalani Sitake
Joe Tukuafu,SO,OL,,2019,Brigham Young,Kalani Sitake
Mo Unutoa,SO,OL,,2019,Brigham Young,Kalani Sitake
Brevan Ward,SO,OL,,2019,Brigham Young,Kalani Sitake
Skyler Southam,SO,K,,2019,Brigham Young,Kalani Sitake
Khyiris Tonga,JR,DL,,2019,Brigham Young,Kalani Sitake
Austin Chambers,JR,DL,,2019,Brigham Young,Kalani Sitake
Zac Dawe,JR,DL,,2019,Brigham Young,Kalani Sitake
Bracken El-Bakri,JR,DL,,2019,Brigham Young,Kalani Sitake
Lorenzo Fauatea,SO,DL,,2019,Brigham Young,Kalani Sitake
Devin Kaufusi,SO,DL,,2019,Brigham Young,Kalani Sitake
Uriah Leiataua,JR,DL,,2019,Brigham Young,Kalani Sitake
Atunaisa Mahe,FR,DL,,2019,Brigham Young,Kalani Sitake
JJ Nwigwe,SR,DL,,2019,Brigham Young,Kalani Sitake
Trajan Pili,SR,DL,,2019,Brigham Young,Kalani Sitake
Gabe Summers,FR,DL,,2019,Brigham Young,Kalani Sitake
Alden Tofa,SO,DL,,2019,Brigham Young,Kalani Sitake
Earl Tuioti-Mariner,SO,DL,,2019,Brigham Young,Kalani Sitake
