Player,Class,Pos,Summary,Year,School,Coach
Jake Retzlaff,SR,QB,"213 Cmp, 368 Att, 2947 Yds, 20 TD",2024,Brigham Young,Kalani Sitake
Gerry Bohanon,SR,QB,"3 Cmp, 4 Att, 27 Yds, 0 TD",2024,Brigham Young,Kalani Sitake
Treyson Bourguet,JR,QB,,2024,Brigham Young,Kalani Sitake
Cole Hagen,SO,QB,,2024,Brigham Young,Kalani Sitake
McCae Hillstead,FR,QB,,2024,Brigham Young,Kalani Sitake
Noah Lugo,FR,QB,,2024,Brigham Young,Kalani Sitake
Hinckley Ropati,SR,RB,"68 Att, 360 Yds, 5.3 Avg",2024,Brigham Young,Kalani Sitake
LJ Martin,SO,RB,"137 Att, 718 Yds, 5.2 Avg",2024,Brigham Young,Kalani Sitake
Enoch Nawahine,SR,RB,"30 Att, 98 Yds, 3.3 Avg",2024,Brigham Young,Kalani Sitake
Sione I Moa,FR,RB,"29 Att, 144 Yds, 5.0 Avg",2024,Brigham Young,Kalani Sitake
Miles Davis,SR,RB,"18 Att, 76 Yds, 4.2 Avg",2024,Brigham Young,Kalani Sitake
Pokaiaua Haunga,FR,RB,"18 Att, 81 Yds, 4.5 Avg",2024,Brigham Young,Kalani Sitake
Mason Fakahua,SR,RB,,2024,Brigham Young,Kalani Sitake
Jovesa Damuni,FR,RB,,2024,Brigham Young,Kalani Sitake
Charles Miska,FR,RB,,2024,Brigham Young,Kalani Sitake
Parker Kingston,JR,WR,"13 Rec, 196 Yds, 15.1 Avg",2024,Brigham Young,Kalani Sitake
Keelan Marion,JR,WR,"24 Rec, 346 Yds, 14.4 Avg",2024,Brigham Young,Kalani Sitake
Chase Roberts,SR,WR,"52 Rec, 854 Yds, 16.4 Avg",2024,Brigham Young,Kalani Sitake
Darius Lassiter,SR,WR,"45 Rec, 703 Yds, 15.6 Avg",2024,Brigham Young,Kalani Sitake
Keanu Hill,SR,WR,"12 Rec, 108 Yds, 9.0 Avg",2024,Brigham Young,Kalani Sitake
Jojo Phillips,SO,WR,"10 Rec, 211 Yds, 21.1 Avg",2024,Brigham Young,Kalani Sitake
Kody Epps,SR,WR,"8 Rec, 54 Yds, 6.8 Avg",2024,Brigham Young,Kalani Sitake
Cody Hagen,FR,WR,"3 Rec, 29 Yds, 9.7 Avg",2024,Brigham Young,Kalani Sitake
Dominique McKenzie,FR,WR,,2024,Brigham Young,Kalani Sitake
Marquis Montgomery,JR,WR,,2024,Brigham Young,Kalani Sitake
Tei Nacua,FR,WR,,2024,Brigham Young,Kalani Sitake
Rowan Reay,FR,WR,,2024,Brigham Young,Kalani Sitake
Weston Covey,FR,WR,,2024,Brigham Young,Kalani Sitake
Ty West,FR,WR,,2024,Brigham Young,Kalani Sitake
Prince Zombo,FR,WR,,2024,Brigham Young,Kalani Sitake
Ryner Swanson,FR,TE,"10 Rec, 91 Yds, 9.1 Avg",2024,Brigham Young,Kalani Sitake
Mata'ava Ta'ase,SR,TE,"9 Rec, 91 Yds, 10.1 Avg",2024,Brigham Young,Kalani Sitake
Jackson Bowers,SO,TE,,2024,Brigham Young,Kalani Sitake
Ethan Erickson,SR,TE,,2024,Brigham Young,Kalani Sitake
Anthony Olsen,JR,TE,,2024,Brigham Young,Kalani Sitake
Ray Paulo,SR,TE,,2024,Brigham Young,Kalani Sitake
Nason Coleman,SO,TE,,2024,Brigham Young,Kalani Sitake
Noah Moeaki,FR,TE,,2024,Brigham Young,Kalani Sitake
Will Zundell,FR,TE,,2024,Brigham Young,Kalani Sitake
Kaden Chidester,SO,OL,,2024,Brigham Young,Kalani Sitake
Jake Eichorn,SO,OL,,2024,Brigham Young,Kalani Sitake
Caleb Etienne,SR,OL,,2024,Brigham Young,Kalani Sitake
Isaiah Jatta,SR,OL,,2024,Brigham Young,Kalani Sitake
Brayden Keim,SR,OL,,2024,Brigham Young,Kalani Sitake
Weylin Lapuaho,SO,OL,,2024,Brigham Young,Kalani Sitake
Austin Leausa,SO,OL,,2024,Brigham Young,Kalani Sitake
Sonny Makasini,JR,OL,,2024,Brigham Young,Kalani Sitake
Bruce Mitchell,JR,OL,,2024,Brigham Young,Kalani Sitake
Connor Pay,SR,OL,,2024,Brigham Young,Kalani Sitake
David Clifford,FR,OL,,2024,Brigham Young,Kalani Sitake
Sam Dawe,JR,OL,,2024,Brigham Young,Kalani Sitake
Jake Griffin,SO,OL,,2024,Brigham Young,Kalani Sitake
Sione Hingano,FR,OL,,2024,Brigham Young,Kalani Sitake
Weston Jones,SO,OL,,2024,Brigham Young,Kalani Sitake
Jackson Nelson,FR,OL,,2024,Brigham Young,Kalani Sitake
Trevin Ostler,SO,OL,,2024,Brigham Young,Kalani Sitake
Trevor Pay,FR,OL,,2024,Brigham Young,Kalani Sitake
Ikinasio Tupou,FR,OL,,2024,Brigham Young,Kalani Sitake
Will Ferrin,SO,K,,2024,Brigham Young,Kalani Sitake
Matthias Dunn,SO,K,,2024,Brigham Young,Kalani Sitake
Tyler Batty,SR,DL,,2024,Brigham Young,Kalani Sitake
Choe Bryant-Strother,JR,DL,,2024,Brigham Young,Kalani Sitake
David Latu,JR,DL,,2024,Brigham Young,Kalani Sitake
Logan Lutui,JR,DL,,2024,Brigham Young,Kalani Sitake
Blake Mangelson,SR,DL,,2024,Brigham Young,Kalani Sitake
John Nelson,SR,DL,,2024,Brigham Young,Kalani Sitake
Joshua Singh,SR,DL,,2024,Brigham Young,Kalani Sitake
Iosefa Letuli,FR,DL,,2024,Brigham Young,Kalani Sitake
Siale Esera,SO,LB,,2024,Brigham Young,Kalani Sitake
Isaiah Glasker,SO,LB,,2024,Brigham Young,Kalani Sitake
Miles Hall,SO,LB,,2024,Brigham Young,Kalani Sitake
Ace Kaufusi,SO,LB,,2024,Brigham Young,Kalani Sitake
Maika Kaufusi,SO,LB,,2024,Brigham Young,Kalani Sitake
Jack Kelly,JR,LB,,2024,Brigham Young,Kalani Sitake
Aisea Moa,JR,LB,,2024,Brigham Young,Kalani Sitake
Sione Moa,JR,LB,,2024,Brigham Young,Kalani Sitake
Bodie Schoonover,JR,LB,,2024,Brigham Young,Kalani Sitake
Harrison Taggart,SO,LB,,2024,Brigham Young,Kalani Sitake
Peter Tuipulotu,SO,LB,,2024,Brigham Young,Kalani Sitake
Lucky Finau,SO,LB,,2024,Brigham Young,Kalani Sitake
Nuu Sellesin,SO,LB,,2024,Brigham Young,Kalani Sitake
Talan Alfrey,SR,DB,,2024,Brigham Young,Kalani Sitake
Kevin Doe,SO,DB,,2024,Brigham Young,Kalani Sitake
Chika Ebunoha,JR,DB,,2024,Brigham Young,Kalani Sitake
Koa Eldredge,SO,DB,,2024,Brigham Young,Kalani Sitake
